2011 scottish intermediate zone,Total
S02001262 : Ashgrove,135
S02001283 : Balgownie and Donmouth East,200
S02001282 : Balgownie and Donmouth West,140
"S02001240 : Braeside, Mannofield, Broomhill and Seafield East",200
"S02001242 : Braeside, Mannofield, Broomhill and Seafield North",205
"S02001241 : Braeside, Mannofield, Broomhill and Seafield South",145
S02001277 : Bucksburn North,565
S02001276 : Bucksburn South,130
S02001250 : City Centre East,640
S02001249 : City Centre West,1230
S02001256 : Cove North,580
S02001255 : Cove South,130
S02001236 : Culter,175
"S02001238 : Cults, Bieldside and Milltimber East",345
"S02001237 : Cults, Bieldside and Milltimber West",200
S02001272 : Cummings Park,45
S02001279 : Danestone,125
S02001284 : Denmore,275
S02001278 : Dyce,305
S02001251 : Ferryhill North,220
S02001252 : Ferryhill South,275
"S02001263 : Froghall, Powis and Sunnybank",120
S02001239 : Garthdee,100
S02001261 : George Street,405
S02001260 : Hanover North,90
S02001259 : Hanover South,375
S02001243 : Hazlehead,255
S02001274 : Heathryfold and Middlefield,50
S02001268 : Hilton,125
"S02001253 : Kincorth, Leggart and Nigg North",70
"S02001254 : Kincorth, Leggart and Nigg South",225
S02001275 : Kingswells,320
S02001270 : Mastrick,105
S02001245 : Midstocket,235
S02001273 : Northfield,80
S02001265 : Old Aberdeen,75
S02001281 : Oldmachar East,120
S02001280 : Oldmachar West,110
S02001246 : Rosemount,210
S02001264 : Seaton,95
S02001271 : Sheddocksley,45
S02001269 : Stockethill,105
S02001244 : Summerhill,100
S02001266 : Tillydrone,85
S02001258 : Torry East,55
S02001257 : Torry West,185
S02001247 : West End North,760
S02001248 : West End South,270
S02001267 : Woodside,105
