Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
National Trust For Scotland - Aberdeen & District Members Centre,SC000109,Aberdeen City,AB15 7PR,57.12456027,-2.14374395,S02001241,S01006538
Shepherd Trust,SC000112,Aberdeen City,AB10 1RD,57.14589821,-2.10419814,S02001249,S01006586
Dr Wm Guilds Trust Scheme 1934,SC006213,Aberdeen City,AB10 1JU,57.14695683,-2.10583721,S02001249,S01006586
Kirk Of St Nicholas Uniting,SC008689,Aberdeen City,AB10 1JZ,57.14763566,-2.09962519,S02001249,S01006586
YMCA Aberdeen,SC013487,Aberdeen City,AB10 1RP,57.14730552,-2.1077718,S02001249,S01006586
Royal British Legion Scotland Aberdeen Branch,SC014119,Aberdeen City,AB10 1BD,57.14745859,-2.09631943,S02001249,S01006586
Patrick Mitchell Hunter Fund,SC017380,Aberdeen City,AB10 1RD,57.14589821,-2.10419814,S02001249,S01006586
Dr William Guilds Managers,SC017929,Aberdeen City,AB10 1JU,57.14695683,-2.10583721,S02001249,S01006586
Nether Don Fishers Fund,SC022305,Aberdeen City,AB10 1RD,57.14589821,-2.10419814,S02001249,S01006586
Nether Don Widows Fund,SC022306,Aberdeen City,AB10 1RD,57.14589821,-2.10419814,S02001249,S01006586
Cairns Counselling ,SC023108,Aberdeen City,AB10 1RJ,57.1469385,-2.10626684,S02001249,S01006586
Aberdeen Day Project Limited,SC030100,Aberdeen City,AB25 1NT,57.1483199,-2.10858457,S02001249,S01006586
Aberdeen African Choir,SC050828,Aberdeen City,AB10 1SH,57.14560894,-2.10636218,S02001249,S01006586
Croileagan Obar Dheathain,SC000549,Aberdeen City,AB21 7FL,57.20030218,-2.18670468,S02001277,S01006748
RCCG Fountain Of Love Inverurie,SC045781,Aberdeen City,AB21 7FP,57.20102997,-2.18045232,S02001277,S01006748
St Johns Episcopal Church: Aberdeen,SC000608,Aberdeen City,AB15 8TQ,57.15613355,-2.22955979,S02001275,S01006734
1st Kingswells Scout Group,SC047403,Aberdeen City,AB15 8TG,57.15681726,-2.22404279,S02001275,S01006734
Culter Community Playgroup,SC000761,Aberdeen City,AB14 0UD,57.09633073,-2.26708214,S02001236,S01006506
Culter & District Community Association,SC005948,Aberdeen City,AB14 0UD,57.09633073,-2.26708214,S02001236,S01006506
Culter Theatre Club,SC021432,Aberdeen City,AB14 0UD,57.09633073,-2.26708214,S02001236,S01006506
47th Aberdeen (Culter) Boys Brigade,SC036739,Aberdeen City,AB14 0UF,57.09749011,-2.271002,S02001236,S01006506
East Cults Playgroup,SC001160,Aberdeen City,AB15 9EX,57.11508521,-2.18944548,S02001238,S01006525
Cults Parish Church of Scotland,SC017517,Aberdeen City,AB15 9TD,57.11652222,-2.18360734,S02001238,S01006525
Rubislaw Pipe Band,SC034973,Aberdeen City,AB15 9TY,57.11725255,-2.19373343,S02001238,S01006525
55th (Kincorth) Scout Group,SC035512,Aberdeen City,AB15 9TY,57.11725255,-2.19373343,S02001238,S01006525
Peterculter Parish Church of Scotland,SC001452,Aberdeen City,AB13 0EG,57.10931205,-2.24010006,S02001237,S01006514
St Thomas Indian Orthodox Church Aberdeen,SC046256,Aberdeen City,AB13 0EJ,57.10722022,-2.23945919,S02001237,S01006514
Aberdeen Lads Club,SC001641,Aberdeen City,AB24 2XL,57.17251955,-2.11905785,S02001266,S01006678
Aberdeen Lads Club Community Project,SC046505,Aberdeen City,AB24 2XL,57.17251955,-2.11905785,S02001266,S01006678
Donside Village Community SCIO,SC046955,Aberdeen City,AB24 2PF,57.17454632,-2.11301128,S02001266,S01006678
"Mannofield Church of Scotland, Aberdeen",SC001680,Aberdeen City,AB10 6UZ,57.13199598,-2.13775971,S02001242,S01006545
Printfield Community Project/Forum,SC001762,Aberdeen City,AB24 4AU,57.16801382,-2.124467,S02001267,S01006682
Fersands & Fountain Community Project,SC026690,Aberdeen City,AB24 2QY,57.16957084,-2.12144611,S02001267,S01006682
Aberdeen & District Cerebral Palsy Association,SC001785,Aberdeen City,AB21 9BF,57.18916987,-2.17596033,S02001277,S01006743
Aberdeen Stoneywood Scout Group,SC040165,Aberdeen City,AB21 9HS,57.18671735,-2.18236771,S02001277,S01006743
"Woodside Parish Church of Scotland, Aberdeen",SC001966,Aberdeen City,AB24 4DQ,57.17004208,-2.126359,S02001268,S01006693
Aberdeen Women's Alliance,SC039022,Aberdeen City,AB24 4DL,57.17014189,-2.12536715,S02001268,S01006693
The Lazarus Project,SC045117,Aberdeen City,AB24 4NR,57.16962467,-2.13044204,S02001268,S01006693
RCCG- City of the Great King,SC046811,Aberdeen City,AB24 4NR,57.16962467,-2.13044204,S02001268,S01006693
Queens Cross Church Of Scotland Aberdeen,SC002019,Aberdeen City,AB10 1YN,57.1426907,-2.12449746,S02001247,S01006571
James Allan Of Midbeltie's Fund For Widows,SC003865,Aberdeen City,AB15 4YL,57.14214643,-2.12970071,S02001247,S01006571
Home-Start Aberdeen,SC012942,Aberdeen City,AB10 1YD,57.14301613,-2.11286535,S02001247,S01006571
St Marys Episcopal Church: Aberdeen,SC014062,Aberdeen City,AB10 1UN,57.14385149,-2.12248534,S02001247,S01006571
Female Society for Relief of Aged and Indigent Old Women,SC016491,Aberdeen City,AB15 4YL,57.14214643,-2.12970071,S02001247,S01006571
John And Gladys Colquhoun Trust Fund,SC025417,Aberdeen City,AB10 1XE,57.14352384,-2.1175599,S02001247,S01006571
A.D.H.D. Aberdeen And The North East,SC027742,Aberdeen City,AB25 2BX,57.14568634,-2.1200952,S02001247,S01006571
27th Scout Group Rosehill Avenue,SC031060,Aberdeen City,AB25 2DD,57.14491903,-2.1239431,S02001247,S01006571
Tom And Thelma Wilson Trust,SC035023,Aberdeen City,AB10 1XE,57.14352384,-2.1175599,S02001247,S01006571
"St Clement's Scottish Episcopal Church, Mastrick, in the Diocese of Aberdeen & Orkney",SC002152,Aberdeen City,AB22 8TY,57.18677754,-2.11692001,S02001281,S01006769
3rd Aberdeen Boys Brigade,SC034680,Aberdeen City,AB22 8DB,57.18537048,-2.1228877,S02001281,S01006769
Instant Neighbour Aberdeen,SC002223,Aberdeen City,AB24 3YJ,57.16671241,-2.11384714,S02001266,S01006677
Tillydrone Community Campus SCIO,SC049786,Aberdeen City,AB24 2SZ,57.16817013,-2.11109018,S02001266,S01006677
St Ninians Episcopal Church: Aberdeen,SC002429,Aberdeen City,AB10 7FP,57.13542355,-2.1149734,S02001252,S01006601
Milltimber Community Association,SC002537,Aberdeen City,AB13 0JT,57.11076799,-2.23500786,S02001237,S01006515
65th Aberdeen (Milltimber) Scout Group,SC039649,Aberdeen City,AB13 0JD,57.10968558,-2.23257408,S02001237,S01006515
Milltimber Community Association SCIO,SC048117,Aberdeen City,AB13 0JT,57.11076799,-2.23500786,S02001237,S01006515
The Lighthouse Support Centre,SC050042,Aberdeen City,AB13 0JE,57.10888693,-2.23691101,S02001237,S01006515
Rubislaw Playgroups,SC002911,Aberdeen City,AB15 5PZ,57.1515556,-2.12583304,S02001245,S01006558
