Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Culter,8,85.0,79.0,37.0,1.47,0.63
"Cults, Bieldside and Milltimber West",9,83.0,82.0,39.0,1.75,0.19
"Cults, Bieldside and Milltimber East",9,84.0,82.0,50.0,3.03,0.43
Garthdee,4,82.0,76.0,18.0,1.07,0.36
"Braeside, Mannofield, Broomhill and Seafield East",10,85.0,81.0,44.0,0.66,0.0
"Braeside, Mannofield, Broomhill and Seafield South",10,87.0,82.0,36.0,1.24,0.0
"Braeside, Mannofield, Broomhill and Seafield North",10,84.0,84.0,41.0,0.6,0.4
Hazlehead,8,86.0,78.0,44.0,1.2,0.0
Summerhill,5,81.0,74.0,26.0,0.52,0.26
Midstocket,9,76.0,76.0,52.0,1.55,0.22
Rosemount,7,80.0,78.0,37.0,0.71,0.18
West End North,10,85.0,83.0,207.0,2.73,0.0
West End South,10,87.0,83.0,43.0,1.28,0.0
City Centre West,7,81.0,75.0,309.0,28.38,0.0
City Centre East,4,81.0,77.0,246.0,4.61,1.54
Ferryhill North,9,83.0,78.0,45.0,1.43,0.41
Ferryhill South,9,81.0,81.0,55.0,1.21,0.2
"Kincorth, Leggart and Nigg North",4,82.0,75.0,18.0,0.0,0.76
"Kincorth, Leggart and Nigg South",6,86.0,78.0,43.0,0.38,0.19
Cove South,10,86.0,83.0,33.0,0.5,0.25
Cove North,7,80.0,77.0,167.0,2.3,0.86
Torry West,3,76.0,71.0,35.0,0.57,0.95
Torry East,2,76.0,71.0,13.0,0.48,0.0
Hanover South,5,74.0,77.0,117.0,0.31,0.62
Hanover North,7,81.0,76.0,23.0,0.51,0.25
George Street,5,83.0,72.0,58.0,0.72,0.29
Ashgrove,5,78.0,72.0,35.0,0.78,0.26
"Froghall, Powis and Sunnybank",7,80.0,79.0,21.0,1.42,0.53
Seaton,4,83.0,70.0,20.0,0.42,0.42
Old Aberdeen,5,82.0,73.0,18.0,1.94,0.48
Tillydrone,4,78.0,77.0,16.0,1.1,0.74
Woodside,2,73.0,70.0,27.0,0.78,0.26
Hilton,7,83.0,80.0,20.0,0.97,0.48
Stockethill,4,77.0,74.0,20.0,0.19,0.77
Mastrick,3,81.0,72.0,23.0,0.89,0.67
Sheddocksley,4,79.0,74.0,10.0,0.42,0.42
Cummings Park,3,79.0,76.0,13.0,0.0,0.59
Northfield,3,79.0,74.0,15.0,0.37,0.37
Heathryfold and Middlefield,3,76.0,74.0,10.0,0.79,0.4
Kingswells,9,86.0,82.0,51.0,1.93,0.32
Bucksburn South,6,83.0,77.0,28.0,0.43,0.0
Bucksburn North,7,80.0,79.0,107.0,0.94,0.38
Dyce,7,80.0,80.0,59.0,0.77,0.58
Danestone,10,81.0,77.0,32.0,1.02,0.26
Oldmachar West,9,86.0,81.0,24.0,1.29,0.22
Oldmachar East,9,81.0,81.0,25.0,1.47,0.21
Balgownie and Donmouth West,7,83.0,80.0,38.0,0.82,0.82
Balgownie and Donmouth East,9,86.0,81.0,77.0,1.92,0.38
Denmore,8,80.0,80.0,71.0,0.51,0.0
