2011 scottish intermediate zone,Total
S02001325 : Aberchirder and Whitehills,245
S02001286 : Aboyne and South Deeside,355
S02001332 : Auchnagatt,255
S02001322 : Auchterless and Monquhitter,275
S02001312 : Balmedie and Potterton,260
S02001297 : Banchory East,210
S02001298 : Banchory West,180
S02001295 : Banchory-Devenick and Findon,430
S02001326 : Banff,180
S02001317 : Barrahill,310
S02001307 : Blackburn,190
S02001320 : Clashindarroch,400
S02001299 : Crathes and Torphins,295
S02001300 : Cromar and Kildrummy,325
S02001333 : Cruden,195
S02001330 : Deer and Mormond,325
"S02001296 : Dunecht, Durris and Drumoak",480
S02001305 : Durno-Chapel of Garioch,455
S02001285 : East Cairngorms,255
S02001313 : Ellon East,290
S02001314 : Ellon West,90
"S02001290 : Fetteresso, Netherley and Catter",380
S02001342 : Fraserburgh Central-Academy,135
S02001343 : Fraserburgh Harbour and Broadsea,335
S02001341 : Fraserburgh Lochpots,35
S02001340 : Fraserburgh Smiddyhill,200
S02001318 : Fyvie-Rothie,295
S02001328 : Gardenstown and King Edward,325
S02001310 : Garlogie and Elrick,360
S02001301 : Howe of Alford,415
S02001321 : Huntly,195
"S02001319 : Insch, Oyne and Ythanwells",375
S02001303 : Inverurie North,185
S02001304 : Inverurie South,330
S02001302 : Kemnay,85
S02001306 : Kintore,340
S02001338 : Longside and Rattray,455
S02001327 : Macduff,140
S02001289 : Mearns North and Inverbervie,295
S02001288 : Mearns South and Benholm,215
S02001287 : Mearns and Laurencekirk,265
S02001331 : Mintlaw,95
S02001329 : New Pitsligo,230
S02001311 : Newmachar and Fintray,210
S02001293 : Newtonhill,95
S02001335 : Peterhead Bay,60
S02001336 : Peterhead Harbour,450
S02001334 : Peterhead Links,160
S02001337 : Peterhead Ugieside,150
S02001294 : Portlethen,160
"S02001324 : Portsoy, Fordyce and Cornhill",205
S02001339 : Rosehearty and Strathbeg,385
S02001292 : Stonehaven North,305
S02001291 : Stonehaven South,215
S02001323 : Turriff,195
S02001309 : Westhill Central,135
S02001308 : Westhill North and South,235
S02001315 : Ythanside,355
S02001316 : Ythsie,350
