Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
St Peters Episcopal Church: Fraserburgh,SC000068,Aberdeenshire,AB43 8TN,57.66540516,-1.97505009,S02001339,S01007104
Bruce Bequest,SC008449,Aberdeenshire,AB43 5XS,57.6383992,-1.95580725,S02001339,S01007104
Lonmay Parish Church of Scotland,SC008813,Aberdeenshire,AB43 8XS,57.63539123,-1.95912688,S02001339,S01007104
Fraserburgh West Parish Church Of Scotland,SC016334,Aberdeenshire,AB43 8XT,57.62898989,-1.92608037,S02001339,S01007104
Huntly Stroke Club,SC000090,Aberdeenshire,AB54 8PZ,57.446999,-2.79767455,S02001321,S01007012
Networks of Wellbeing Ltd,SC021861,Aberdeenshire,AB54 8SX,57.44522771,-2.79935208,S02001321,S01007012
Huntly ASDitude,SC047934,Aberdeenshire,AB54 8SX,57.44522771,-2.79935208,S02001321,S01007012
Mcrobert Mortification Forglen,SC000358,Aberdeenshire,AB45 1AN,57.66386525,-2.52352697,S02001326,S01007032
Whitehills Parish Church Of Scotland,SC002085,Aberdeenshire,AB45 1LA,57.66958583,-2.53242705,S02001326,S01007032
Mcrobert Mortification Gamrie,SC003618,Aberdeenshire,AB45 1AN,57.66386525,-2.52352697,S02001326,S01007032
Banff Castle Community Association,SC009962,Aberdeenshire,AB45 1DL,57.66583388,-2.52316983,S02001326,S01007032
Simpson Trust,SC014008,Aberdeenshire,AB45 1AN,57.66386525,-2.52352697,S02001326,S01007032
Macduff Parish Church of Scotland,SC015786,Aberdeenshire,AB45 1JX,57.66852206,-2.53120452,S02001326,S01007032
Princess Royal Sports & Community Trust (SCIO),SC023857,Aberdeenshire,AB45 1AZ,57.66293653,-2.52002742,S02001326,S01007032
Home-Start Deveron,SC026191,Aberdeenshire,AB45 1AF,57.66478335,-2.52089192,S02001326,S01007032
Banff Preservation Society,SC028199,Aberdeenshire,AB45 1DL,57.66583388,-2.52316983,S02001326,S01007032
Imagine at Twenty Seven,SC046605,Aberdeenshire,AB45 1AU,57.66397982,-2.52188605,S02001326,S01007032
The Banff Boys' Brigade Hall Trust ,SC047941,Aberdeenshire,AB45 1DR,57.66701205,-2.52498037,S02001326,S01007032
"Banff, Macduff and District Men's Shed",SC048855,Aberdeenshire,AB45 1JJ,57.66949453,-2.52417809,S02001326,S01007032
Inverallochy & Rathen East Parish Church Of Scotland,SC000375,Aberdeenshire,AB43 8YA,57.67620242,-1.92896908,S02001339,S01007105
Roads Project,SC032484,Aberdeenshire,AB43 8YL,57.67820891,-1.93542054,S02001339,S01007105
St Combs Community Church,SC035619,Aberdeenshire,AB43 8YL,57.67820891,-1.93542054,S02001339,S01007105
Udny Station Community Assoc,SC000412,Aberdeenshire,AB41 6QJ,57.31024312,-2.15389758,S02001316,S01006981
Udny Station Pre-School & Playgroup,SC017150,Aberdeenshire,AB41 6QJ,57.31024312,-2.15389758,S02001316,S01006981
1st Udny Brownies,SC041755,Aberdeenshire,AB41 7RN,57.32943275,-2.10860479,S02001316,S01006981
Cultercullen Community Park SCIO,SC046002,Aberdeenshire,AB41 6QQ,57.30710159,-2.12769283,S02001316,S01006981
BiPolar Aberdeen,SC046976,Aberdeenshire,AB41 6PS,57.33359716,-2.13951154,S02001316,S01006981
John Hunter Trust,SC000428,Aberdeenshire,AB12 5GJ,57.08142875,-2.26233924,S02001296,S01006853
John Hunter Prize Fund,SC007550,Aberdeenshire,AB12 5GJ,57.08142875,-2.26233924,S02001296,S01006853
Maryculter Trinity Church Of Scotland,SC013648,Aberdeenshire,AB12 5FS,57.08384663,-2.23445792,S02001296,S01006853
Blaikiewell Animal Sanctuary,SC026054,Aberdeenshire,AB12 5FS,57.08384663,-2.23445792,S02001296,S01006853
1st Maryculter Scout Group,SC035590,Aberdeenshire,AB12 5GT,57.05885279,-2.24979803,S02001296,S01006853
The Maryculter Woodlands Trust ,SC044224,Aberdeenshire,AB12 5BZ,57.08270692,-2.23860813,S02001296,S01006853
St Annes Episcopal Church: Kemnay,SC000474,Aberdeenshire,AB51 5LY,57.24649717,-2.45782168,S02001305,S01006910
Fetternear Hall Trust,SC009387,Aberdeenshire,AB51 5LS,57.24474447,-2.49137107,S02001305,S01006910
Aboyne Highland Games,SC040590,Aberdeenshire,AB51 5PQ,57.23293887,-2.41743418,S02001305,S01006910
Grange Parish Trust,SC000502,Aberdeenshire,AB42 1TP,57.50657064,-1.78062047,S02001336,S01007086
Banff & Buchan Citizens Advice Bureau,SC008276,Aberdeenshire,AB42 1BY,57.50478578,-1.77700995,S02001336,S01007086
Peterhead Schools Ambulance Car Trust,SC009314,Aberdeenshire,AB42 1HY,57.50522677,-1.77749121,S02001336,S01007086
Peterhead Harbour Medical Health Trust,SC010385,Aberdeenshire,AB42 1HY,57.50522677,-1.77749121,S02001336,S01007086
Age Peterhead,SC011107,Aberdeenshire,AB42 1TD,57.50550941,-1.77987587,S02001336,S01007086
