Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Ballater (Rd) Limited,57.04557381,-3.04125514,AB35 5QW,S02001285
Banchory & District Initiative Limited,57.05401422,-2.50497027,AB31 5SQ,S02001298
Belhelvie Community Trust,57.25136899,-2.05988218,AB23 8XF,S02001312
Birse Community Trust,57.03126547,-2.65493144,AB31 6NY,S02001286
Boyndie Trust Limited,57.66298889,-2.60329436,AB45 2JT,S02001325
Braemar Community Limited,57.00494793,-3.40853405,AB35 5YT,S02001285
Fetterangus Community Association,57.54712528,-2.02590242,AB42 4HD,S02001330
Fraserburgh Development Trust Ltd,57.69406964,-2.00785833,AB43 9HP,S02001343
Huntly & District Development Trust,57.44757639,-2.78584031,AB54 8BR,S02001321
Portsoy Community Enterprise,57.68357212,-2.68698393,AB45 2SS,S02001324
Strathdon Community Development Trust,57.19609757,-3.03876982,AB36 8TG,S02001285
Tarland Development Group,57.12743726,-2.86199842,AB34 4ZQ,S02001300
Udny Community Trust  Company Limited,57.33743194,-2.18226789,AB41 7NY,S02001316
