Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
East Cairngorms,8,85.0,82.0,84.0,8.61,1.66
Aboyne and South Deeside,8,86.0,80.0,67.0,6.84,1.14
Mearns and Laurencekirk,8,80.0,77.0,59.0,4.92,1.12
Mearns South and Benholm,6,83.0,81.0,53.0,3.7,0.74
Mearns North and Inverbervie,7,83.0,79.0,53.0,4.1,1.42
"Fetteresso, Netherley and Catter",8,83.0,81.0,78.0,2.47,0.21
Stonehaven South,8,82.0,78.0,42.0,3.89,0.39
Stonehaven North,9,83.0,80.0,55.0,4.29,0.72
Newtonhill,8,87.0,82.0,33.0,3.13,0.69
Portlethen,10,82.0,80.0,38.0,1.66,0.48
Banchory-Devenick and Findon,8,84.0,81.0,73.0,0.85,0.17
"Dunecht, Durris and Drumoak",8,88.0,82.0,93.0,5.43,0.78
Banchory East,9,86.0,79.0,50.0,4.07,0.24
Banchory West,9,83.0,82.0,63.0,6.66,1.05
Crathes and Torphins,9,85.0,81.0,68.0,3.91,0.92
Cromar and Kildrummy,8,84.0,80.0,83.0,5.64,1.02
Howe of Alford,8,83.0,85.0,65.0,4.37,0.62
Kemnay,7,80.0,76.0,25.0,4.9,0.87
Inverurie North,7,82.0,81.0,35.0,2.66,0.0
Inverurie South,6,81.0,79.0,63.0,5.17,1.15
Durno-Chapel of Garioch,9,84.0,81.0,60.0,3.32,0.27
Kintore,9,84.0,82.0,58.0,4.6,0.34
Blackburn,8,83.0,79.0,55.0,2.62,0.29
Westhill North and South,9,83.0,80.0,46.0,2.16,0.39
Westhill Central,10,85.0,86.0,36.0,4.75,0.53
Garlogie and Elrick,9,83.0,79.0,93.0,0.77,0.0
Newmachar and Fintray,8,84.0,81.0,49.0,4.0,0.94
Balmedie and Potterton,8,82.0,83.0,49.0,1.88,0.38
Ellon East,9,83.0,80.0,48.0,1.81,0.49
Ellon West,8,82.0,78.0,23.0,3.78,0.25
Ythanside,8,87.0,82.0,75.0,3.36,0.84
Ythsie,8,86.0,79.0,57.0,5.82,0.65
Barrahill,9,84.0,80.0,61.0,4.35,0.59
Fyvie-Rothie,7,86.0,79.0,75.0,3.29,0.25
"Insch, Oyne and Ythanwells",8,84.0,81.0,74.0,6.54,0.79
Clashindarroch,7,83.0,80.0,88.0,5.07,1.1
Huntly,6,81.0,77.0,47.0,5.34,0.73
Auchterless and Monquhitter,7,83.0,83.0,97.0,2.46,0.35
Turriff,6,83.0,78.0,45.0,2.29,1.14
"Portsoy, Fordyce and Cornhill",6,82.0,78.0,65.0,3.19,1.28
Aberchirder and Whitehills,5,84.0,77.0,65.0,5.58,0.53
Banff,5,80.0,77.0,45.0,4.75,0.75
Macduff,5,81.0,75.0,37.0,2.61,0.78
Gardenstown and King Edward,6,83.0,79.0,103.0,5.69,0.63
New Pitsligo,5,82.0,79.0,79.0,3.77,0.69
Deer and Mormond,7,84.0,79.0,65.0,7.16,0.99
Mintlaw,6,80.0,80.0,37.0,3.51,0.39
Auchnagatt,7,85.0,81.0,81.0,3.81,0.32
Cruden,6,83.0,78.0,45.0,3.43,1.14
Peterhead Links,6,83.0,79.0,36.0,1.82,0.0
Peterhead Bay,4,82.0,72.0,25.0,2.54,0.0
Peterhead Harbour,3,74.0,72.0,77.0,4.95,0.68
Peterhead Ugieside,7,82.0,77.0,36.0,2.18,0.0
Longside and Rattray,6,82.0,78.0,58.0,2.43,0.13
Rosehearty and Strathbeg,6,84.0,78.0,61.0,4.25,0.63
Fraserburgh Smiddyhill,8,80.0,78.0,50.0,1.99,0.25
Fraserburgh Lochpots,3,81.0,75.0,16.0,1.35,0.45
Fraserburgh Central-Academy,5,81.0,73.0,54.0,2.02,0.81
Fraserburgh Harbour and Broadsea,2,79.0,72.0,99.0,3.86,0.3
