2011 scottish intermediate zone,Total
S02001369 : Angus Glens,315
S02001354 : Arbroath Cliffburn,70
S02001353 : Arbroath Harbour,325
S02001352 : Arbroath Keptie,85
S02001351 : Arbroath Kirkton,190
S02001350 : Arbroath Landward,170
S02001355 : Arbroath Warddykes,65
S02001361 : Brechin East,115
S02001362 : Brechin West,180
S02001349 : Carnoustie East,140
S02001348 : Carnoustie West,125
S02001365 : Forfar Central,225
S02001364 : Forfar East,185
S02001366 : Forfar West,115
S02001360 : Friockheim,260
S02001359 : Hillside,155
S02001368 : Kirriemuir,195
S02001367 : Kirriemuir Landward,175
S02001363 : Letham and Glamis,330
S02001356 : Lunan,140
S02001347 : Monifieth East,125
S02001346 : Monifieth West,35
S02001345 : Monikie,260
S02001358 : Montrose North,170
S02001357 : Montrose South,280
S02001344 : South Angus,200
