name,postcode
Aberlemno Village Hall,DD8 3XE
Airlie Village Hall,DD8 5NP
Angus Alive,DD9 6LB
Angus Centre For Peforming Arts,DD7 7AD
Angus Citizens Advice,DD11 1NN
Angus Community Enterprise (Augment),DD11 1LN
Angus Third Sector Centre,DD8 1BX
Arbroath Community Centre,DD11 1AT
Arbroath Library,DD11 1AH
Arbroath Sports Centre,DD11 3EW
Birkhill Millennium Hall,DD2 5NS
Borrowfield Community Centre,DD10 9DF
Boys' Brigade St Bride's Hall,DD7 6ES
Brechin City Hall,DD9 6EE
Brechin Community Campus,DD9 6LB
Brechin Leisure Centre,DD9 6LB
Brechin Library,DD9 7AD
Brechin Mechanics' Institute,DD9 6JQ
Carnoustie Leisure Centre,DD7 7JB
Carnoustie Library,DD7 6AN
Charleston Village Hall,DD8 1UG
Colliston Village Hall,DD11 3RR
Community Access and Learning Centre Dundee and Angus College,DD11 3EA
Community Spirit,DD11 1LE
Eassie and Nevay Hall,DD8 1SQ
Farnell Hall,DD9 6UH
Forfar Community Campus,DD8 3TG
Forfar Library,DD8 1BA
Forfar Reid Hall,DD8 3HX
GEMS Shed,DD10 8PY
Gerard Hall,DD5 4JN
Glensview Community Group,DD8 1NB
Hillside Village Hall,DD10 9JG
Hospitalfield House,DD11 2NH
Inglis Memorial Hall Library Visitor Centre,DD9 7TF
Kingsmuir Hall,DD8 2RT
Kirrie Connections,DD8 4HN
Kirriemuir Library,DD8 4BS
Kirriemuir Town Hall,DD8 4BS
Letham Village Hall Angus,DD8 2PD
Lilybank Resource Centre,DD8 2JJ
Menmuir Hall,DD9 7RN
Monifieth Community Cabin,DD5 4NG
Monifieth Library,DD5 4AE
Monikie Memorial Hall,DD5 3QA
Montrose Library,DD10 8PH
Montrose Sports Centre,DD10 8TR
Montrose Town Hall,DD10 8HG
Murroes Community Hall,DD4 0PP
Northmuir Hall,DD8 4TN
Saltire Sports Centre,DD11 5JN
St Andrews Church Hall,DD9 6JB
St Vigeans Church Hall,DD11 4RB
Stracathro Parish Hall,DD9 7QJ
Strathmore Hall,DD8 3EZ
Tealing Village Hall,DD4 0QW
The Boyack Centre,DD5 4EF
The Crickety,DD9 7EA
The Hub at Friockheim,DD11 4TG
The Royal British Legion (Arbroath),DD11 3AP
Websters Sports Centre,DD8 5AT
Wellbank Village Hall,DD5 3PE
Whitehills Health and Community Care Centre,DD8 3DY
