Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
City Of Brechin Civic Trust,SC000008,Angus,DD9 6HB,56.73140292,-2.66135926,S02001362,S01007235
Brechin Mechanics Institute Trust,SC003031,Angus,DD9 6JQ,56.73179978,-2.66275547,S02001362,S01007235
Angus Agricultural Association,SC004879,Angus,DD9 6AT,56.73190572,-2.65631777,S02001362,S01007235
Brechin Gardner Memorial Church Of Scotland,SC008630,Angus,DD9 6AW,56.73214745,-2.65476929,S02001362,S01007235
Brechin Cathedral Church of Scotland,SC010332,Angus,DD9 6EU,56.73160701,-2.66183681,S02001362,S01007235
Brechin & District Charitable Trust,SC029920,Angus,DD9 6AX,56.73270788,-2.65582508,S02001362,S01007235
1st Kingsmuir Brownie Unit,SC047992,Angus,DD9 6EZ,56.73118934,-2.65927985,S02001362,S01007235
Little Lambs Baby and Toddler Group [SCIO],SC051179,Angus,DD9 6AQ,56.73296069,-2.65558431,S02001362,S01007235
Abbeyfield Monifieth Society Ltd,SC000267,Angus,DD5 4JN,56.48051096,-2.82012659,S02001347,S01007154
Monifieth Athletic Football Club,SC047019,Angus,DD5 4NQ,56.47946664,-2.82180881,S02001347,S01007154
Carnoustie and Monifieth Men's Shed,SC047664,Angus,DD5 4JG,56.4802002,-2.81956787,S02001347,S01007154
Montrose Congregational Church,SC000453,Angus,DD10 9SZ,56.69850505,-2.47150687,S02001356,S01007207
Knox United Free Church Of Scotland,SC000674,Angus,DD10 9RG,56.70045715,-2.47081276,S02001356,S01007207
Ferryden Playgroup,SC001482,Angus,DD10 9RF,56.6992722,-2.47530496,S02001356,S01007207
1st Ferryden Rainbow Guides,SC035887,Angus,DD10 9SX,56.697645,-2.47324332,S02001356,S01007207
2nd Montrose Rainbow Unit,SC038536,Angus,DD10 9SX,56.697645,-2.47324332,S02001356,S01007207
Dun and Hillside Church Of Scotland,SC000572,Angus,DD10 9TJ,56.69675756,-2.50918787,S02001356,S01007205
Montrose: South and Ferryden Church Of Scotland,SC009016,Angus,DD10 9TB,56.69403353,-2.4826026,S02001356,S01007205
13th Arbroath Guide Company,SC032598,Angus,DD10 9TG,56.66493448,-2.51195616,S02001356,S01007205
Monifieth Further Education Association,SC000736,Angus,DD8 2BG,56.64249568,-2.88450878,S02001365,S01007258
