Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
South Angus,8,87,83,37.0,2.2,0.37
Monikie,8,83,80,39.0,2.24,0.45
Monifieth West,9,83,82,13.0,0.73,0.0
Monifieth East,9,82,80,25.0,2.2,0.8
Carnoustie West,5,82,77,24.0,2.07,0.19
Carnoustie East,8,81,80,27.0,4.18,0.57
Arbroath Landward,7,82,83,53.0,3.77,0.31
Arbroath Kirkton,6,82,78,36.0,2.48,0.38
Arbroath Keptie,6,81,78,24.0,3.39,0.28
Arbroath Harbour,3,78,72,70.0,5.6,0.86
Arbroath Cliffburn,4,81,77,14.0,1.18,0.0
Arbroath Warddykes,3,81,77,14.0,3.09,0.88
Lunan,6,85,81,48.0,6.55,0.0
Montrose South,5,80,76,51.0,2.57,0.73
Montrose North,5,81,78,36.0,3.0,0.21
Hillside,7,86,83,41.0,2.4,0.27
Friockheim,6,88,83,74.0,5.09,0.85
Brechin East,3,80,74,33.0,1.45,0.58
Brechin West,7,82,78,48.0,5.82,0.79
Letham and Glamis,6,81,82,61.0,5.53,0.92
Forfar East,7,82,78,42.0,2.26,0.68
Forfar Central,3,82,76,47.0,6.54,0.63
Forfar West,5,81,77,24.0,3.14,0.21
Kirriemuir Landward,6,83,78,62.0,3.89,0.71
Kirriemuir,6,81,77,33.0,2.71,0.85
Angus Glens,6,84,82,90.0,5.7,0.57
