2011 scottish intermediate zone,Total
S02001373 : Benderloch Trail,395
S02001381 : Bute,100
S02001380 : Campbeltown,225
S02001384 : Cowal North,205
S02001383 : Cowal South,140
S02001386 : Dunoon,210
S02001387 : Garelochhead,150
S02001376 : Greater Lochgilphead,200
S02001390 : Helensburgh Centre,290
S02001391 : Helensburgh East,55
S02001389 : Helensburgh North,105
S02001388 : Helensburgh West and Rhu,115
S02001385 : Hunter's Quay,110
S02001379 : Kintyre Trail,255
S02001377 : Knapdale,215
S02001374 : Loch Awe,175
S02001392 : Lomond Shore,120
S02001375 : Mid Argyll,240
"S02001370 : Mull, Iona, Coll and Tiree",440
S02001372 : Oban North,195
S02001371 : Oban South,370
S02001382 : Rothesay Town,165
S02001378 : Whisky Isles,350
