Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Kintyre Agricultural Society,SC000143,Argyll and Bute,PA28 6PF,55.42298239,-5.63291901,S02001379,S01007331
Bridgend Episcopal Church (St Columba's),SC018473,Argyll and Bute,PA28 6NS,55.44887129,-5.6461695,S02001379,S01007331
St Kiaran Episcopal Church: Campbelltown,SC023277,Argyll and Bute,PA28 6NS,55.44887129,-5.6461695,S02001379,S01007331
Kintyre Crime Prevention Panel,SC041547,Argyll and Bute,PA28 6GA,55.45171545,-5.69399291,S02001379,S01007331
Machrihanish Airbase Community Company,SC042435,Argyll and Bute,PA28 6NU,55.44324498,-5.69517784,S02001379,S01007331
Kintyre Youth Theatre Community Arts Training,SC046491,Argyll and Bute,PA28 6PR,55.41389057,-5.6950101,S02001379,S01007331
Islay Arts Assoc,SC000272,Argyll and Bute,PA47 7SW,55.68024961,-6.50563942,S02001378,S01007325
Islay Festival Association,SC004390,Argyll and Bute,PA49 7UN,55.76837942,-6.35967576,S02001378,S01007325
Islay & Jura Sick Childrens Fund,SC007384,Argyll and Bute,PA49 7UN,55.76837942,-6.35967576,S02001378,S01007325
Islay Natural History Trust,SC013713,Argyll and Bute,PA48 7TX,55.73954933,-6.37842513,S02001378,S01007325
Rhinns of Islay Hall Committee,SC019971,Argyll and Bute,PA47 7SH,55.68048848,-6.50770476,S02001378,S01007325
Islay Pipe Band Association,SC028598,Argyll and Bute,PA47 7SR,55.67695885,-6.50413014,S02001378,S01007325
Bowmore Harbour Improvement Association,SC029708,Argyll and Bute,PA48 7TL,55.73761943,-6.38032904,S02001378,S01007325
Islay Development Initiative Ltd,SC030558,Argyll and Bute,PA44 7NZ,55.78895718,-6.25179974,S02001378,S01007325
Iomairt Chille-Chomain,SC032361,Argyll and Bute,PA48 7UE,55.71224249,-6.42399078,S02001378,S01007325
Cantilena Festival On Islay,SC033071,Argyll and Bute,PA48 7UE,55.71224249,-6.42399078,S02001378,S01007325
Bruichladdich Hall Committee,SC035687,Argyll and Bute,PA49 7UR,55.76686648,-6.36630327,S02001378,S01007325
2nd Islay Rainbow Unit,SC038396,Argyll and Bute,PA49 7UT,55.79565071,-6.39649711,S02001378,S01007325
Islay and Jura Youth Action,SC042860,Argyll and Bute,PA49 7UX,55.78650312,-6.44815922,S02001378,S01007325
Islay Link Club,SC043571,Argyll and Bute,PA44 7PQ,55.78587379,-6.25875775,S02001378,S01007325
Islay and Jura Bump to Birth Fund,SC046019,Argyll and Bute,PA47 7SR,55.67695885,-6.50413014,S02001378,S01007325
Islay Heritage,SC046938,Argyll and Bute,PA44 7PS,55.81692065,-6.39581644,S02001378,S01007325
1st Islay Scout Group (3rd Argyll),SC047258,Argyll and Bute,PA49 7UN,55.76837942,-6.35967576,S02001378,S01007325
Museum of Islay Life/Taigh-tasgaidh Muinntir Ìle,SC048723,Argyll and Bute,PA48 7UA,55.74291614,-6.37759104,S02001378,S01007325
Islay Youth Football Club (SCIO),SC049238,Argyll and Bute,PA49 7UN,55.76837942,-6.35967576,S02001378,S01007325
Islay Natural History Trust (SCIO),SC049310,Argyll and Bute,PA48 7TX,55.73954933,-6.37842513,S02001378,S01007325
Rhinns Playing Field Association,SC049507,Argyll and Bute,PA47 7SN,55.68070428,-6.50868487,S02001378,S01007325
This Is Islay SCIO,SC049646,Argyll and Bute,PA49 7UR,55.76686648,-6.36630327,S02001378,S01007325
Islay And Jura Toy Library,SC037579,Argyll and Bute,PA44 7NZ,55.78895718,-6.25179974,S02001378,S01007325
The Younger (Benmore) Trust,SC000284,Argyll and Bute,PA23 8SG,56.07703244,-4.98920154,S02001384,S01007355
Lochgoilhead & Kilmorich Church (Church of Scotland),SC006458,Argyll and Bute,PA24 8AD,56.16830588,-4.91444764,S02001384,S01007355
Sandbank Parent And Toddler Group,SC009776,Argyll and Bute,PA23 8PW,55.97566229,-4.94172633,S02001384,S01007355
