Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Ardentinny Community Trust Ltd,56.05691848,-4.91355189,PA23 8TS,S02001384
Ardrishaig Community Trust,56.01424271,-5.44764365,PA30 8DX,S02001376
Arrochar & Tarbet Community Development Trust,56.19635676,-4.74503012,G83 7AB,S02001384
Carradale Community Trust,55.58066602,-5.49003927,PA28 6QX,S02001379
Colintraive and Glendaruel Development Trust,55.91777559,-5.13809165,PA22 3AS,S02001383
Colonsay Community Development Company,56.07095281,-6.18965316,PA61 7YW,S02001378
Craignish Community Company,56.17229017,-5.55137064,PA31 8AN,S02001375
Dalavich Improvement Group,56.26304138,-5.2797482,PA35 1HN,S02001374
Development Coll,56.6233998,-6.52757721,PA78 6SY,S02001370
Dunadd Community Enterprise,56.13897087,-5.48381903,PA31 8RQ,S02001375
Eilean Eisdeal Trust,56.29159883,-5.65571104,PA34 4TB,S02001374
Glenbarr Community Development Association,55.42453174,-5.60642038,PA28 6GE,S02001380
Here We Are (Cairndow) Ltd,56.26964932,-4.93330156,PA26 8BL,S02001384
Iomairt Chille-Chomain,55.71224249,-6.42399078,PA48 7UE,S02001378
Iona Renewables,56.3269165,-6.40481444,PA76 6SP,S02001370
Island of Kerrera Development Trust,56.40070345,-5.52873089,PA34 4SX,S02001371
Islay Development Initiative,55.78895718,-6.25179974,PA44 7NZ,S02001378
Isle of Gigha Heritage Trust,55.68538537,-5.73664807,PA41 7AA,S02001379
Isle of Luing Community Trust,56.25042735,-5.6538968,PA34 4TX,S02001374
Lismore Community Trust,56.53227898,-5.47239492,PA34 5UL,S02001373
Luss & Arden Community Development Trust,56.14630604,-4.66768348,G83 8PD,S02001392
Machrihanish Airbase Community Company,55.44324498,-5.69517784,PA28 6NU,S02001379
Mull & Iona Community Trust,56.32468277,-6.36329467,PA66 6BL,S02001370
South West Mull and Iona Development,56.32468277,-6.36329467,PA66 6BL,S02001370
North West Mull Community Woodland Company Ltd,56.59990937,-6.27890523,PA75 6QY,S02001370
Oban Communities Trust,56.41273087,-5.47087564,PA34 5NA,S02001372
South Islay Development,55.63303841,-6.19167161,PA42 7BY,S02001378
South Kintyre Development Trust,55.42365976,-5.60580326,PA28 6AB,S02001380
Strachur & District Community Development Company Ltd,56.16220108,-5.0894156,PA27 8BY,S02001384
Tarbert & Skipness Community Trust,55.86438412,-5.40601106,PA29 6UQ,S02001377
The Isle of Jura Development Trust,55.85267452,-5.94770593,PA60 7XG,S02001378
Tighnabruaich District Development Trust,55.91354396,-5.22079332,PA21 2EB,S02001383
Tiree Community Development Trust,56.49435737,-6.88462794,PA77 6UP,S02001370
