2011 scottish intermediate zone,Total
S02001624 : Abbeyhill,65
S02001579 : Baberton and Juniper Green,115
S02001576 : Balerno and Bonnington Village,220
S02001661 : Balgreen and Roseburn,150
"S02001674 : Barnton, Cammo and Cramond South",115
"S02001629 : Bingham, Magdalene and The Christians",55
"S02001609 : Blackford, West Mains and Mayfield Road",285
S02001664 : Blackhall,270
S02001580 : Bonaly and The Pentlands,180
S02001649 : Bonnington,245
S02001667 : Boswall and Pilton,115
S02001586 : Broomhouse and Bankhead,180
S02001653 : Broughton North and Powderhall,220
S02001654 : Broughton South,175
S02001617 : Bruntsfield,265
"S02001623 : Canongate, Southside and Dumbiedykes",300
S02001657 : Canonmills and New Town North,330
S02001680 : Carrick Knowe,35
S02001675 : Clermiston and Drumbrae,105
S02001582 : Clovenstone and Wester Hailes,30
S02001596 : Colinton Mains and Firrhill,60
S02001581 : Colinton and Kingsknowe,140
S02001659 : Comely Bank,135
S02001598 : Comiston and Swanston,125
S02001679 : Corstorphine,295
S02001678 : Corstorphine North,95
S02001681 : Corstorphine South,85
S02001636 : Craigentinny,115
"S02001663 : Craigleith, Orchard Brae and Crewe Toll",200
S02001593 : Craiglockhart,180
S02001627 : Craigmillar,265
S02001673 : Cramond,80
S02001578 : Currie East,105
S02001577 : Currie West,130
"S02001684 : Dalmeny, Kirkliston and Newbridge",410
S02001619 : Dalry and Fountainbridge,255
S02001660 : Deans Village,1935
S02001665 : Drylaw,75
S02001633 : Duddingston and Portobello South,130
S02001676 : East Craigs North,75
S02001677 : East Craigs South,125
S02001645 : Easter Road and Hawkhill Avenue,125
S02001599 : Fairmilehead,145
S02001604 : Fernieside and Moredun South,70
S02001600 : Gilmerton South and the Murrays,105
S02001591 : Gorgie East,115
S02001590 : Gorgie West,160
"S02001602 : Gracemount, Southhouse and Burdiehouse",95
S02001668 : Granton South and Wardieburn,30
S02001670 : Granton West and Salvesen,75
S02001669 : Granton and Royston Mains,135
S02001643 : Great Junction Street,355
S02001595 : Greenbank and The Braids,140
S02001647 : Hillside and Calton Hill,305
S02001603 : Hyvots and Gilmerton,50
"S02001652 : Inverleith, Goldenacre and Warriston",150
"S02001630 : Jewel, Brunstane and Newcraighall",205
S02001631 : Joppa,170
S02001646 : Leith (Albert Street),90
S02001639 : Leith (Hermitage and Prospect Bank),100
S02001606 : Liberton East,70
S02001607 : Liberton West and Braid Hills,125
S02001588 : Longstone and Saughton,80
S02001613 : Marchmont East and Sciennes,210
S02001614 : Marchmont West,115
S02001625 : Meadowbank and Abbeyhill North,145
S02001621 : Meadows and Southside,395
S02001616 : Merchiston and Greenhill,270
S02001605 : Moredun and Craigour,30
S02001615 : Morningside,285
S02001594 : Morningside and Craighouse,155
S02001601 : Mortonhall and Anwickhill,65
S02001634 : Mountcastle,40
S02001671 : Muirhouse,90
S02001584 : Murrayburn and Wester Hailes North,70
S02001662 : Murrayfield and Ravelston,195
S02001655 : New Town East and Gayfield,420
S02001656 : New Town West,1050
S02001611 : Newington and Dalkeith Road,170
S02001628 : Niddrie,50
S02001641 : North Leith and Newhaven,165
S02001635 : Northfield and Piershill,60
"S02001622 : Old Town, Princes Street and Leith Street",2180
S02001597 : Oxgangs,25
S02001585 : Parkhead and Sighthill,45
S02001648 : Pilrig,120
S02001618 : Polwarth,90
S02001632 : Portobello,230
S02001610 : Prestonfield,75
S02001685 : Queensferry East,200
S02001686 : Queensferry West,90
"S02001683 : Ratho, Ingliston and Gogar",350
S02001637 : Restalrig (Loganlea) and Craigentinny West,45
S02001638 : Restalrig and Lochend,45
S02001592 : Shandon,140
S02001672 : Siverknowes and Davidson's Mains,175
S02001589 : Slateford and Chesser,175
S02001682 : South Gyle,650
S02001644 : South Leith,200
S02001587 : Stenhouse and Saughton Mains,105
S02001658 : Stockbridge,340
S02001583 : The Calders,55
S02001612 : The Grange,260
S02001608 : The Inch,65
S02001642 : The Shore and Constitution Street,510
S02001620 : Tollcross,1525
S02001651 : Trinity,140
S02001650 : Trinity East and The Dudleys,130
S02001666 : West Pilton,65
S02001640 : Western Harbour and Leith Docks,330
S02001626 : Willowbrae and Duddingston Village,155
