name,postcode
Ainslie Park Leisure Centre,EH5 2HF
Art and Design Library,EH1 1EG
Balerno Community Centre ,EH14 7EQ
Balerno Library,EH14 7EQ
Balgreen Library,EH11 3AT
Bellfield,EH15 2BP
Bingham Community Centre,EH15 3HZ
Blackhall Library,EH4 5EG
Calder Residents,EH1 3EG
Cameron House Community Education Centre,EH16 5EU
Carrickvale Community Centre,EH11 3HH
Central Library,EH1 1EG
Chabad Jewish Community of Edinburgh,EH3 9AL
Citizens Advice Edinburgh,EH11 1BG
Citizens Advice Leith,EH6 8PG
Citizens Advice Portobello,EH15 1EY
Clovenstone Community Centre,EH14 3EY
Colinton Library,EH13 0BQ
Colinton Mains Community Centre,EH13 9EJ
Community Learning and Development,EH1 1LT
Corstophine Astoria Centre,EH12 7HD
Corstophine Hub,EH12 7SL
Corstophine Library,EH12 7HD
Corstophine Public Hall,EH12 7HD
Craigentinny Community Centre,EH7 6JE
Craighall Centre,EH6 4RB
Craiglockhart Cafe,EH14 1BZ
Craiglockhart Leisure Centre and Tennis Centre,EH14 1BZ
Craigmillar Community Art Centre,EH15 3HS
Craigmillar Library,EH16 4DS
Craigmillar Literacy Trust,EH16 4DP
Craigmount Community Education Wing,EH12 8JH
Craigroyston Community Centre,EH4 4HA
Cramond Kirk Hall,EH4 6NS
Currie Community Centre,EH14 5RU
Currie Library,EH14 5NX
Dalry 183 Creative and Cultural Hub,EH11 2EB
Drumbrae Community Allotment,EH4 7SH
Drumbrae Leisure Centre,EH4 7SF
Drumbrae Library Hub,EH4 7FE
Drylaw Neighbourhood Centre,EH4 2SA
Duncan Place,EH6 8HW
East Neighbourhood Centre,EH16 4DS
Edinburgh Community Meditation Service,EH1 3QN
Edinburgh Forum,EH6 4UH
Edinburgh Hindu Mandir and Cultural Centre,EH6 7EG
English Training Centre,EH7 6DZ
Eric Liddell Centre,EH10 4DP
Faith in Elderly People,EH12 5EL
Forever Young Club,EH11 3HH
Fort Community Centre,EH6 4HF
Fountainbridge Library,EH11 1BG
Gate 55,EH11 4PB
Gilmerton Community Centre,EH17 8QG
Gilmerton Library,EH17 8RG
Goodtrees Neighbourhood Centre,EH17 7LB
Gorgie War Memorial Hall,EH11 2RQ
Gracemount Leisure Centre,EH16 6RN
Granton Library,EH5 1DD
Granton Parish Church,EH5 2DA
Grassmarket Community Project,EH1 1EL
Greyfriars Charteris Centre,EH8 9RR
Hays Community Business Centre,EH16 4RW
Inch Community Education Centre,EH16 5UF
Inch Park Community Sports Club,EH16 5UD
Iqra Academy Edinburgh,EH16 5PH
Jack Kane Community Wing,EH16 4ND
Jack Kane Sports Centre,EH16 4ND
Juniper Green Village Hall,EH14 5DX
Juniper Green Village Hall,EH14 5DX
Kin Collective,EH6 8HW
Kirkliston Community Centre,EH29 9AQ
Kirkliston Leisure Centre,EH29 9EY
Kirkliston Library,EH29 9BE
Kurdish Community Centre,EH14 2AA
Lauriston Hall,EH3 9DJ
Leith Central Community Council,EH7 4AG
Leith Community Centre,EH6 6AD
Leith Library,EH6 4AE
LifeCare Edinburgh,EH4 1JB
Local People Leading,EH3 7EH
Longstone Community Centre,EH14 2DU
M E S Sports Centre,EH4 3NT
Magdalene Community Education Centre,EH15 3BE
McDonald Road Library,EH7 4LU
McHattie Building,EH11 3HH
McLaren Hall,EH7 6LE
Meadowbank Sports Centre,EH7 6AE
Meggetland Sports Complex,EH14 1XN
Mescid-i Eyüp Sultan And Turkish Community Centre,EH11 2RZ
Moredun Community Education Centre,EH17 7NE
Moredun Library,EH17 7HL
Morningside Library,EH10 4PU
Muirhouse Library,EH5 1QE
Muirhouse Millennium Centre,EH4 4RW
Munro Community Centre,EH4 7NT
Nelson Hall Community Centre,EH8 9QZ
Newington Library,EH9 2LN
North Edinburgh Arts,EH4 4TZ
North Edinburgh Community Resource Centre,EH4 4PJ
North Merchiston Club,EH11 1EP
Northfield Willowbrae Community Centre,EH8 7PP
Northfield and Willowbrae Community Council,EH8 7PP
Number 7 (Community Space),EH4 1HU
Out of the Blue Drill Hall,EH6 8RG
Oxgangs Library,EH13 9LY
Oxgangs Neighbourhood Centre,EH13 9EU
Pentland Community Centre,EH13 9LS
Piershill Library,EH8 7BQ
Pilmeny Youth Centre,EH6 8RF
Pilton Community Health Project,EH5 2PW
Polish - Scottish Cultural Project Polsko-Szkocki Dom Kultury,EH16 6FH
Portobello Community Centre,EH15 1AP
Portobello Library,EH15 1AU
Prentice Centre,EH4 4GA
Prestonfield and District Neighbourhood Project,EH16 5EX
Rannoch Community Education Centre,EH4 7ES
Ratho Community Centre,EH28 8TT
Ratho Library,EH28 8RF
Ratho Masonic Hall,EH28 8RE
Redhall Walled Garden,EH14 2LZ
Roseberry Hall,EH30 9LL
Royston Wardieburn Community Centre,EH5 1NF
Saheliya,EH7 4NW
Saint Stephen's Theatre,EH3 5AB
Sandys Community Centre,EH16 4DW
Saughton Sports Complex,EH11 3HB
Saughtonhall Community Association,EH12 5RN
