Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Water Of Leith Conservation Trust,SC000015,City of Edinburgh,EH14 1TQ,55.92380779,-3.24727191,S02001593,S01008510
Kirkliston Community Centre Association,SC000028,City of Edinburgh,EH29 9AQ,55.95746133,-3.40324294,S02001684,S01009000
Kirkliston After School Club,SC028153,City of Edinburgh,EH29 9AQ,55.95746133,-3.40324294,S02001684,S01009000
2nd Kirkliston Brownies,SC036226,City of Edinburgh,EH29 9FQ,55.95985256,-3.40315328,S02001684,S01009000
2nd Kirkliston Rainbow Unit,SC044010,City of Edinburgh,EH29 9AR,55.95702713,-3.40428438,S02001684,S01009000
2nd Kirkliston Guide Unit,SC050570,City of Edinburgh,EH29 9FF,55.95817519,-3.39735816,S02001684,S01009000
Meadowbank Church of Scotland Edinburgh,SC000052,City of Edinburgh,EH5 3EQ,55.97892299,-3.20319503,S02001650,S01008825
Episcopal Church Of The Good Shepherd,SC000357,City of Edinburgh,EH12 6JJ,55.94608367,-3.25251962,S02001662,S01008881
Jewish Board Of Guardians,SC004015,City of Edinburgh,EH12 6HZ,55.94710924,-3.24797302,S02001662,S01008881
Edinburgh: Corstorphine St Anne's Parish Church (Church of Scotland),SC006300,City of Edinburgh,EH12 6HT,55.94571217,-3.25016981,S02001662,S01008881
Augustine United Church,SC000385,City of Edinburgh,EH1 1EL,55.94752717,-3.19123605,S02001622,S01008678
"St Giles' Cathedral, Edinburgh (Church of Scotland)",SC003565,City of Edinburgh,EH1 1RE,55.94958795,-3.190915,S02001622,S01008678
St Giles Appeal Trust,SC007126,City of Edinburgh,EH1 1RE,55.94958795,-3.190915,S02001622,S01008678
Roots:Globalscope Edinburgh,SC044374,City of Edinburgh,EH8 9AA,55.94697849,-3.18663953,S02001622,S01008678
The Signet Library Heritage Fund,SC044547,City of Edinburgh,EH1 1RF,55.94951716,-3.18987193,S02001622,S01008678
SHRUB Cooperative,SC048825,City of Edinburgh,EH1 1JG,55.94827486,-3.1882485,S02001622,S01008678
St Giles' Heritage and Culture SCIO,SC049530,City of Edinburgh,EH1 1RE,55.94958795,-3.190915,S02001622,S01008678
Dean Village Association,SC000404,City of Edinburgh,EH4 3BU,55.95223432,-3.22073614,S02001660,S01008870
Scottish Community Drama Association Edinburgh District,SC021396,City of Edinburgh,EH4 3BB,55.95233435,-3.21880146,S02001660,S01008870
Canongate Youth (SCIO),SC000600,City of Edinburgh,EH1 1LT,55.94812563,-3.18601808,S02001622,S01008679
The Runciman Apse Trust,SC046772,City of Edinburgh,EH1 1TQ,55.94983787,-3.18456513,S02001622,S01008679
Networking Key Services Limited,SC000697,City of Edinburgh,EH3 9NH,55.94108199,-3.20719264,S02001617,S01008638
Cramond School Parent Teacher Association,SC000709,City of Edinburgh,EH4 6PW,55.97330953,-3.30196784,S02001673,S01008942
197th City Of Edinburgh Brownie Guides,SC032188,City of Edinburgh,EH4 6PW,55.97330953,-3.30196784,S02001673,S01008942
213 Cramond Rainbow Guides,SC036695,City of Edinburgh,EH4 6RB,55.97222139,-3.30883741,S02001673,S01008942
Bingham & District 50+ Project,SC000782,City of Edinburgh,EH15 3HZ,55.93933071,-3.12352002,S02001629,S01008712
Jewel Miners Welfare Charitable Society,SC015240,City of Edinburgh,EH15 3LJ,55.94040071,-3.11553003,S02001629,S01008712
St Ninians Kids Club,SC034110,City of Edinburgh,EH15 3DB,55.94149983,-3.11421675,S02001629,S01008712
Mayfield Salisbury Parish (Edinburgh) Church of Scotland,SC000785,City of Edinburgh,EH9 1TQ,55.9335502,-3.17675263,S02001612,S01008604
