Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Balerno and Bonnington Village,9,90.0,85.0,37.0,2.19,0.34
Currie West,8,85.0,82.0,21.0,1.13,0.0
Currie East,9,92.0,83.0,30.0,2.85,0.57
Baberton and Juniper Green,9,85.0,83.0,27.0,2.78,0.46
Bonaly and The Pentlands,10,88.0,85.0,38.0,3.78,0.0
Colinton and Kingsknowe,9,84.0,82.0,31.0,2.43,0.44
Clovenstone and Wester Hailes,2,76.0,70.0,8.0,1.96,0.28
The Calders,2,77.0,70.0,12.0,1.93,0.64
Murrayburn and Wester Hailes North,1,80.0,73.0,18.0,0.79,0.52
Parkhead and Sighthill,6,85.0,81.0,14.0,1.59,0.0
Broomhouse and Bankhead,3,77.0,71.0,46.0,2.04,0.0
Stenhouse and Saughton Mains,3,79.0,71.0,17.0,1.49,0.83
Longstone and Saughton,5,83.0,78.0,17.0,1.74,0.22
Slateford and Chesser,6,82.0,78.0,33.0,1.34,0.19
Gorgie West,5,81.0,76.0,28.0,1.77,0.53
Gorgie East,6,83.0,75.0,29.0,1.25,0.25
Shandon,10,84.0,81.0,26.0,1.3,0.0
Craiglockhart,10,86.0,83.0,35.0,1.38,0.79
Morningside and Craighouse,9,86.0,80.0,32.0,1.45,0.0
Greenbank and The Braids,10,92.0,84.0,32.0,1.15,0.0
Colinton Mains and Firrhill,5,82.0,78.0,15.0,2.54,0.51
Oxgangs,4,82.0,75.0,9.0,1.51,0.38
Comiston and Swanston,10,87.0,86.0,24.0,1.75,0.19
Fairmilehead,10,89.0,87.0,25.0,1.57,0.0
Gilmerton South and the Murrays,7,83.0,81.0,24.0,0.9,0.0
Mortonhall and Anwickhill,8,87.0,84.0,26.0,1.62,0.0
"Gracemount, Southhouse and Burdiehouse",3,79.0,73.0,16.0,2.52,0.5
Hyvots and Gilmerton,3,80.0,76.0,13.0,1.04,0.52
Fernieside and Moredun South,4,79.0,75.0,16.0,0.47,0.7
Moredun and Craigour,3,79.0,73.0,9.0,1.81,0.3
Liberton East,9,82.0,76.0,22.0,1.59,0.0
Liberton West and Braid Hills,8,78.0,78.0,34.0,1.37,0.0
The Inch,4,79.0,76.0,13.0,0.59,0.0
"Blackford, West Mains and Mayfield Road",9,83.0,80.0,40.0,2.37,0.28
Prestonfield,6,82.0,74.0,23.0,0.91,0.61
Newington and Dalkeith Road,9,84.0,78.0,26.0,1.37,0.0
The Grange,10,85.0,81.0,44.0,4.05,0.17
Marchmont East and Sciennes,10,83.0,73.0,43.0,1.44,0.0
Marchmont West,10,83.0,78.0,25.0,0.44,0.0
Morningside,10,87.0,83.0,47.0,1.16,0.33
Merchiston and Greenhill,9,83.0,79.0,52.0,1.94,0.19
Bruntsfield,9,84.0,83.0,44.0,1.01,0.17
Polwarth,8,81.0,78.0,19.0,1.88,0.21
Dalry and Fountainbridge,5,81.0,77.0,31.0,0.74,0.61
Tollcross,6,82.0,75.0,233.0,4.28,0.46
Meadows and Southside,9,85.0,83.0,47.0,3.65,0.12
"Old Town, Princes Street and Leith Street",5,83.0,75.0,318.0,4.38,1.02
"Canongate, Southside and Dumbiedykes",5,77.0,71.0,32.0,1.62,0.54
Abbeyhill,5,85.0,78.0,22.0,0.0,0.0
Meadowbank and Abbeyhill North,7,81.0,80.0,28.0,1.16,0.19
Willowbrae and Duddingston Village,8,84.0,81.0,30.0,1.55,0.0
Craigmillar,2,72.0,67.0,44.0,3.66,1.66
Niddrie,1,75.0,68.0,10.0,0.82,0.62
"Bingham, Magdalene and The Christians",2,77.0,72.0,15.0,1.93,0.55
"Jewel, Brunstane and Newcraighall",7,82.0,79.0,44.0,0.22,0.22
Joppa,8,83.0,79.0,33.0,2.89,0.19
Portobello,6,86.0,79.0,52.0,3.15,0.67
Duddingston and Portobello South,9,87.0,82.0,32.0,1.95,0.0
Mountcastle,8,85.0,81.0,16.0,1.99,0.8
Northfield and Piershill,5,86.0,76.0,17.0,1.14,0.29
Craigentinny,10,85.0,81.0,41.0,2.82,0.0
Restalrig (Loganlea) and Craigentinny West,3,79.0,72.0,13.0,1.13,0.56
Restalrig and Lochend,2,75.0,68.0,10.0,1.15,0.46
Leith (Hermitage and Prospect Bank),8,81.0,80.0,22.0,1.31,0.0
Western Harbour and Leith Docks,6,78.0,76.0,70.0,1.9,0.21
North Leith and Newhaven,4,77.0,74.0,30.0,2.57,0.37
The Shore and Constitution Street,6,82.0,81.0,92.0,1.8,0.0
Great Junction Street,4,79.0,75.0,62.0,3.16,0.18
South Leith,5,80.0,74.0,37.0,1.64,0.55
Easter Road and Hawkhill Avenue,6,83.0,78.0,32.0,2.58,0.52
Leith (Albert Street),6,77.0,72.0,25.0,1.7,0.28
Hillside and Calton Hill,8,86.0,82.0,50.0,1.99,0.5
Pilrig,5,83.0,77.0,34.0,3.09,0.0
Bonnington,6,80.0,73.0,62.0,1.52,0.0
Trinity East and The Dudleys,10,88.0,80.0,34.0,2.08,0.52
Trinity,9,83.0,79.0,29.0,2.31,0.21
"Inverleith, Goldenacre and Warriston",10,85.0,81.0,38.0,1.79,0.0
Broughton North and Powderhall,8,86.0,84.0,50.0,1.58,0.0
Broughton South,9,84.0,81.0,35.0,1.59,0.4
New Town East and Gayfield,9,83.0,78.0,152.0,2.9,0.36
New Town West,9,88.0,86.0,315.0,1.5,0.0
Canonmills and New Town North,10,83.0,78.0,103.0,2.49,0.62
Stockbridge,9,86.0,83.0,59.0,2.09,0.7
Comely Bank,10,87.0,82.0,32.0,1.65,0.0
Deans Village,9,84.0,82.0,274.0,4.25,0.57
Balgreen and Roseburn,8,83.0,82.0,34.0,2.27,0.23
Murrayfield and Ravelston,10,87.0,83.0,44.0,2.46,0.0
"Craigleith, Orchard Brae and Crewe Toll",10,86.0,80.0,42.0,2.1,0.0
Blackhall,10,86.0,82.0,45.0,2.17,0.33
Drylaw,3,81.0,78.0,15.0,1.65,0.21
West Pilton,2,77.0,74.0,12.0,2.41,0.37
Boswall and Pilton,7,79.0,76.0,20.0,0.7,0.17
Granton South and Wardieburn,2,77.0,72.0,10.0,1.34,1.34
Granton and Royston Mains,4,77.0,70.0,33.0,1.69,0.0
Granton West and Salvesen,4,79.0,76.0,17.0,0.93,0.46
Muirhouse,2,79.0,73.0,15.0,2.31,0.82
Silverknowes and Davidson's Mains,10,84.0,85.0,39.0,2.66,0.0
Cramond,10,83.0,84.0,29.0,1.81,0.36
"Barnton, Cammo and Cramond South",10,90.0,82.0,29.0,4.99,0.0
Clermiston and Drumbrae,5,80.0,76.0,17.0,1.29,0.81
East Craigs North,6,83.0,79.0,17.0,0.91,0.0
East Craigs South,10,87.0,83.0,24.0,2.08,0.19
Corstorphine North,9,85.0,83.0,25.0,0.26,0.0
Corstorphine,9,84.0,81.0,53.0,3.21,0.71
Carrick Knowe,8,83.0,82.0,13.0,1.1,0.0
Corstorphine South,8,85.0,79.0,19.0,1.53,0.0
South Gyle,8,88.0,82.0,129.0,1.98,0.0
"Ratho, Ingliston and Gogar",7,84.0,80.0,97.0,1.39,0.83
"Dalmeny, Kirkliston and Newbridge",6,84.0,82.0,48.0,1.62,0.35
Queensferry East,8,84.0,80.0,40.0,2.99,0.4
Queensferry West,8,87.0,81.0,23.0,2.31,0.0
