Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Alva Parish Church Of Scotland,SC000006,Clackmannanshire,FK12 5AT,56.14991377,-3.80106671,S02001396,S01007428
Alva Toddlers Group,SC009357,Clackmannanshire,FK12 5EL,56.15273778,-3.80398417,S02001396,S01007428
Clackmannanshire Citizens Advice Bureau Limited,SC001839,Clackmannanshire,FK10 1HS,56.11439733,-3.79387379,S02001402,S01007466
Tillicoultry Old Age Pensioners Outing Fund,SC002564,Clackmannanshire,FK10 1EB,56.11335704,-3.79001358,S02001402,S01007466
Alloa Day Home Trust,SC003413,Clackmannanshire,FK10 1EB,56.11335704,-3.79001358,S02001402,S01007466
Old Folks Welfare Fund Tillicoultry Town Council,SC004079,Clackmannanshire,FK10 1EB,56.11335704,-3.79001358,S02001402,S01007466
Thomas Murray Trust,SC005595,Clackmannanshire,FK10 1HP,56.11386576,-3.79335046,S02001402,S01007466
Clackmannanshire Educational Trust Scheme 1957,SC008282,Clackmannanshire,FK10 1EB,56.11335704,-3.79001358,S02001402,S01007466
Clackmannan District Council Charitable Trust,SC011479,Clackmannanshire,FK10 1EB,56.11335704,-3.79001358,S02001402,S01007466
Miss Annie Johnston Spittal Bequest,SC018529,Clackmannanshire,FK10 1EB,56.11335704,-3.79001358,S02001402,S01007466
Reachout With Arts In Mind,SC023779,Clackmannanshire,FK10 1EX,56.11227305,-3.79658946,S02001402,S01007466
26th Stirling Boys Brigade (Alloa : Moncrieff U F Church),SC033108,Clackmannanshire,FK10 1DS,56.11442195,-3.7971239,S02001402,S01007466
Community Maintenance and Environmental Enterprise Limited,SC042064,Clackmannanshire,FK10 1HS,56.11439733,-3.79387379,S02001402,S01007466
Wimpy Park Community Group,SC047539,Clackmannanshire,FK10 1BT,56.11089112,-3.79026897,S02001402,S01007466
Connect Alloa,SC049028,Clackmannanshire,FK10 1LJ,56.11361286,-3.79591207,S02001402,S01007466
Gartmorn Dam Country Park Development Trust,SC049288,Clackmannanshire,FK10 1HS,56.11439733,-3.79387379,S02001402,S01007466
Clackmannanshire Economic Regeneration Trust SCIO,SC050327,Clackmannanshire,FK10 1HS,56.11439733,-3.79387379,S02001402,S01007466
St James Episcopal Church: Dollar,SC002988,Clackmannanshire,FK14 7BL,56.16884307,-3.66623951,S02001399,S01007445
Moncrieff United Free Church,SC003371,Clackmannanshire,FK10 2BL,56.12204477,-3.79014369,S02001403,S01007468
The Workshop-Alloa Community Arts Centre,SC003420,Clackmannanshire,FK10 2BL,56.12204477,-3.79014369,S02001403,S01007468
Tillicoultry Evangelical Union Congregational Church,SC004116,Clackmannanshire,FK13 6DS,56.15293665,-3.74191196,S02001398,S01007435
Menstrie Parish Church of Scotland,SC004778,Clackmannanshire,FK11 7HW,56.1492339,-3.84530605,S02001395,S01007424
Menstrie Charitable Association,SC010114,Clackmannanshire,FK11 7AQ,56.15228783,-3.84780307,S02001395,S01007424
Menstrie Tiny Tots,SC023049,Clackmannanshire,FK11 7AN,56.15090166,-3.84675446,S02001395,S01007424
"St Serfs Church of Scotland, Tullibody",SC005918,Clackmannanshire,FK10 2TL,56.13371529,-3.82895304,S02001394,S01007415
Tullibody & Cambus Pensioners Association,SC029794,Clackmannanshire,FK10 2RW,56.13561698,-3.83523913,S02001394,S01007415
Hawkhill Community Association,SC006797,Clackmannanshire,FK10 1SB,56.11526474,-3.78175444,S02001402,S01007463
Community House Limited,SC035942,Clackmannanshire,FK10 1QE,56.11302022,-3.77849835,S02001402,S01007463
Alloa Amateur Gymnastics Club,SC051283,Clackmannanshire,FK10 1RY,56.11688025,-3.77940031,S02001402,S01007463
