Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Tullibody South,5,79,78,22.0,1.44,0.96
Tullibody North and Glenochil,4,84,77,21.0,2.06,0.0
Menstrie,7,82,78,16.0,1.39,0.35
Alva,5,81,76,19.0,2.59,0.86
"Fishcross, Devon Village and Coalsnaughton",4,80,88,24.0,2.63,0.0
Tillicoultry,5,81,79,28.0,1.94,0.86
Dollar and Muckhart,9,86,82,49.0,1.92,1.1
"Clackmannan, Kennet and Forestmill",5,81,74,16.0,1.38,0.59
Sauchie,4,76,74,35.0,6.45,1.76
Alloa South and East,1,79,70,56.0,4.5,3.15
Alloa North,5,80,77,11.0,1.05,0.18
Alloa West,6,84,76,28.0,0.89,1.18
