2011 scottish intermediate zone,Total
S02001442 : Annan East,150
S02001441 : Annan West,180
S02001439 : Annandale East,320
S02001440 : Annandale West,210
S02001428 : Calside,40
S02001415 : Castle Douglas,315
S02001434 : Collin,215
S02001416 : Dalbeattie,105
S02001417 : Dalbeattie Rural,205
S02001430 : Dumfries Central,560
S02001443 : Eastriggs,100
S02001413 : Gatehouse,210
S02001429 : Georgetown,25
S02001418 : Glenkens,270
S02001444 : Gretna,255
S02001433 : Heathhall,125
S02001427 : Kingholm,175
S02001414 : Kirkcudbright,305
S02001438 : Langholm and Eskdale,205
S02001432 : Locharbriggs,45
S02001435 : Lochmaben,145
S02001423 : Lochside and Lincluden,55
S02001436 : Lockerbie,235
S02001410 : Machars North,235
S02001411 : Machars South,335
S02001421 : Mid Nithsdale,320
S02001437 : Moffat,210
S02001426 : New Abbey,185
S02001412 : Newton Stewart,255
S02001431 : Nunholm,165
S02001408 : Rhins North,235
S02001409 : Rhins South,125
S02001422 : Shawhead,140
S02001406 : Stranraer East,215
S02001407 : Stranraer South,80
S02001405 : Stranraer West,45
S02001424 : Summerville,115
S02001420 : Thornhill,245
S02001425 : Troqueer,50
S02001419 : Upper Nithsdale,165
