name,postcode
Annan Community Centre,DG12 6AW
Annan Library,DG12 6AQ
Applegarth Hall,DG11 2RR
Assembly Rooms,DG1 1EJ
Auldgirth Community Hall,DG2 0XG
Balmaghie Public Hall,DG7 2PN
Barbour Memorial Hall,DG1 4QY
Buccleuch Centre,DG13 0AW
Cairnryan Hall,DG9 8QX
Canonbie Public Hall,DG14 0UX
Carronbridge Village Hall,DG3 5AY
Carrutherstown Village Hall,DG1 4LA
Castle Douglas Library,DG7 1AE
Castle Douglas Town Hall,DG7 1DE
Closeburn Village Hall,DG3 5HR
Colvend Public Hall,DG5 4QD
Corsock Village Hall,DG7 3DN
Cresswell and Larchfield Community Centre,DG1 2DT
Crocketford Village Hall,DG2 8RU
Crossmichael Church Hall,DG7 3AU
Crossmichael Memorial Hall,DG7 3AY
Dalbeattie Library,DG5 4AD
Dalbeattie Town Hall,DG5 4JT
Dalry Library,DG7 3UP
Dalry Town Hall,DG7 3SW
Dalswinton Village Hall,DG2 0XU
Douglas Hall,DG5 4PY
Dumfries Activity and Resource Centre,DG1 2PS
Dumfries Citizens Advice,DG1 2PQ
Dumfries Day Centre,DG1 2JX
Durisdeer Village Hall,DG3 5BQ
Easterbrook Hall,DG1 4TA
Eastriggs Library,DG12 6PZ
Ecclefechan Village Hall,DG11 3EW
Eskdale Leisure Centre,DG13 0AP
Eskdalemuir Community Hub,DG13 0QJ
Ewart Library,DG1 1JA
Garlieston Village Hall,DG8 8BQ
Gatehouse Library,DG7 2HS
Georgetown Community Centre,DG1 4DF
Georgetown Library,DG1 4EJ
Gillespie Memorial Hall,DG1 4LU
Glenlochar Community Centre,DG7 3AY
Glenluce Hall,DG8 0PS
Glenriddell Hall,DG2 0TA
Gretna Library,DG16 5AQ
Heathhall Community Centre,DG1 1XA
Hillview Leisure Centre,DG4 6SD
Holywood Village Hall,DG2 0RB
Hutton Hall Community Centre,DG1 4RP
"John McNeillie Library, Wigtown",DG8 9JH
Johnstonebridge Community Centre,DG11 1ES
Kingholm Quay Community Centre,DG1 4SY
Kippford Village Hall,DG5 4LL
Kirkbean Village Hall,DG2 8DW
Kirkcolm Public Hall,DG9 0NN
Kirkconnel Library,DG4 6RA
Kirkconnel Miners Memorial Hall,DG4 6ND
Kirkcudbright Library,DG6 4JG
Kirkinner Hall,DG8 9AN
Kirkpatrick Durham Village Hall,DG7 3HQ
Langholm Community Centre,DG13 0AA
Langholm Library,DG13 0JQ
Langholm Town Hall,DG13 0JQ
Leswalt Memorial Hall,DG9 0LW
Lincluden Community Centre,DG2 0DH
Lochans Village Hall,DG9 9BZ
Locharbriggs Community Centre,DG1 1UL
Locharbriggs Village Hall,DG1 1QE
Lochmaben Community Centre,DG11 1QY
Lochmaben Community Portacabin,DG11 1NR
Lochmaben Library,DG1 1NQ
Lochside Community Centre,DG2 9NS
Lochthorn Library,DG1 1UF
Lochvale House,DG1 4DF
Lockerbie Library,DG11 2JL
Lockerbie Town Hall,DG11 2HB
Lockerbie Youth Centre,DG11 2HE
Loreburn Hall,DG1 2HP
Maxwell Hall,DG8 9SD
McFarlan Memorial Hall,DG1 4NF
McMillan Hall,DG8 6EQ
Midsteeple Quarter,DG1 1JD
Moffat Library,DG10 9HF
Moffat Town Hall Redevelopment,DG10 9HF
Nelson House,DG12 6PP
New Galloway Town Hall,DG7 3SW
New Luce Memorial Hall,DG8 0AJ
Newington Leisure Centre,DG12 6JY
Newton Stewart Library,DG8 6ER
Noblehill Community Centre,DG1 2EU
North West Community Campus,DG2 9LU
North West Resource Centre,DG2 0BX
Oasis Youth Centre,DG1 1LW
Palnackie Village Hall,DG7 1PQ
Parton Village Hall,DG7 3NE
Port William Library,DG8 9SD
Portpatrick Hall,DG9 8TZ
Richard Greenhow Centre,DG16 5AQ
Ringford Village Hall,DG7 2AL
Royal Four Towns Hall,DG11 1JN
Rugman's Hall,DG1 2RX
Ryan Centre,DG9 7AP
Sacro,DG1 2AT
Sanquhar Community Centre,DG4 6BT
Sanquhar Library,DG4 6DZ
Sanquhar Town Hall,DG4 6DF
Sorbie Village Hall,DG8 8EG
South Machars Community Centre,DG8 8PN
Speddoch Hall,DG2 9TZ
St Cowans Hall,DG8 0HH
St Ninians Hall,DG8 8LH
Stakeford and Summerville Community Centre,DG2 0AB
Stormont Hall,DG16 5HY
Stranraer Library,DG9 7LD
Stranraer Millennium Centre Community Trust,DG9 7JP
Summerhill Community Centre,DG2 9EF
The Hub,DG1 2RL
The Merrick Leisure Centre,DG8 6JQ
The Oven,DG1 2QT
The Smithy,DG1 2QT
Thornhill Community Centre,DG3 5LH
Thornhill Library,DG3 5NW
Troqueer Community Centre,DG2 7EZ
Twynholm Village Hall,DG6 4NT
Victoria Hall Complex,DG12 6EE
Wanlockhead Community Centre,ML12 6WT
Whauphill Village Hall,DG8 9NN
