Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Dumfries & Galloway Arts Festival,SC000236,Dumfries and Galloway,DG1 1JQ,55.07408338,-3.60756162,S02001431,S01007613
St Johns The Evangelist Episcopal Church: Dumfries,SC007742,Dumfries and Galloway,DG1 1LW,55.07096604,-3.60746792,S02001431,S01007613
John Primrose Trust,SC009173,Dumfries and Galloway,DG1 1LN,55.07069481,-3.60690888,S02001431,S01007613
Mouswald Trust,SC014437,Dumfries and Galloway,DG1 1LN,55.07069481,-3.60690888,S02001431,S01007613
River Of Life Church,SC019962,Dumfries and Galloway,DG1 1LU,55.07253829,-3.60410086,S02001431,S01007613
Ian M Wardlaw Drama Trust,SC021770,Dumfries and Galloway,DG1 1LN,55.07069481,-3.60690888,S02001431,S01007613
Rhet Dumfries And Galloway Countryside Initiative,SC034814,Dumfries and Galloway,DG1 1LN,55.07069481,-3.60690888,S02001431,S01007613
The Oasis Youth Centre Management Committee,SC040019,Dumfries and Galloway,DG1 1LW,55.07096604,-3.60746792,S02001431,S01007613
SWing Band,SC047463,Dumfries and Galloway,DG1 1HF,55.07099898,-3.60565245,S02001431,S01007613
Include Us,SC048168,Dumfries and Galloway,DG1 1JA,55.07166623,-3.60888994,S02001431,S01007613
The River of Life Church (Dumfries),SC049246,Dumfries and Galloway,DG1 1LU,55.07253829,-3.60410086,S02001431,S01007613
INSPIRED COMMUNITY ENTERPRISE TRUST LTD,SC050602,Dumfries and Galloway,DG1 1BZ,55.07165659,-3.61029916,S02001431,S01007613
The Murray Usher Foundation,SC000266,Dumfries and Galloway,DG6 4UR,54.84562263,-4.0416692,S02001414,S01007529
The Dumfries & Galloway Outdoor Access Trust ,SC046070,Dumfries and Galloway,DG6 4HF,54.8463084,-4.03883785,S02001414,S01007529
Eaglesfield Public Hall,SC000325,Dumfries and Galloway,DG11 3PA,55.0602471,-3.1950318,S02001439,S01007653
"Hoddom, Kirtle-Eaglesfield and Middlebie Church of Scotland",SC000722,Dumfries and Galloway,DG11 3NT,55.06176364,-3.18975347,S02001439,S01007653
Middlebie Community Centre,SC027663,Dumfries and Galloway,DG11 3HT,55.07404885,-3.23572668,S02001439,S01007653
Eaglesfield Sports Association,SC029906,Dumfries and Galloway,DG11 3PH,55.05563259,-3.20640079,S02001439,S01007653
Birrens Historic Group,SC045560,Dumfries and Galloway,DG11 3LH,55.06638813,-3.22366776,S02001439,S01007653
St Mary's Episcopal Church: Gatehouse Of Fleet,SC000527,Dumfries and Galloway,DG7 2EB,54.88116982,-4.17780389,S02001413,S01007522
Gatehouse Of Fleet Pre-School Under 5's Group,SC009319,Dumfries and Galloway,DG7 2JD,54.8837956,-4.18324653,S02001413,S01007522
Gatehouse Music Society,SC013231,Dumfries and Galloway,DG7 2FA,54.88617401,-4.20086941,S02001413,S01007522
Galloway District Scout Council,SC015674,Dumfries and Galloway,DG7 2EB,54.88116982,-4.17780389,S02001413,S01007522
The Mill On The Fleet,SC019830,Dumfries and Galloway,DG7 2HP,54.88226313,-4.18299214,S02001413,S01007522
Gatehouse YMCA,SC026829,Dumfries and Galloway,DG7 2JW,54.88298378,-4.1834053,S02001413,S01007522
Kirkcudbright Hospital League Of Friends,SC035131,Dumfries and Galloway,DG7 2EQ,54.88001587,-4.19397038,S02001413,S01007522
Gatehouse Development Initiative,SC036088,Dumfries and Galloway,DG7 2HP,54.88226313,-4.18299214,S02001413,S01007522
