Name,Longitude,Latitude,postcode,Local authority
Covid-19 Mutual Aid UK,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
COVID-10 Mutual Aid UK,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
UK Mutual Aid,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Covid Community Project,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
We Care UK Mutual Aid Group,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Helpfulpeeps,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Covid-19 Mutual Aid - UK,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Free Emotional Support by Registered Mental Health Professionals,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Kidscape Parent Support,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Share your supplies,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Helping Our Seniors,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Quarterlife,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Oera Linda - Order of Priestesses,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
COVID-19 Night Owls,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
GleamDream,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Share the Care,-3.435973,55.378051,DG10 9DX,Dumfries and Galloway
Dumfries and Galloway Multicultural Association,-3.6135973,55.06898519999999,DG1 2RQ,Dumfries and Galloway
Lend a hand Lockerbie ,-3.3652449,55.1353742,DG11 2FF,Dumfries and Galloway
Johnstone Community Council,-3.420740599999999,55.20844439999999,DG11 1ER,Dumfries and Galloway
Waterbeck & Middlebie Community Support,-3.1769208,55.1321367,DG11 2QE,Dumfries and Galloway
Thornhill Community Council,-3.7583944,55.239312,DG3 5NB,Dumfries and Galloway
