2011 scottish intermediate zone,Total
S02001474 : Ardler and St Marys,150
S02001470 : Balgay,50
S02001460 : Barnhill,90
S02001453 : Baxter Park,60
S02001459 : Broughty Ferry East,75
S02001458 : Broughty Ferry West,385
S02001465 : Caird Park,60
S02001472 : Charleston,60
S02001448 : City Centre,645
S02001454 : Craigie and  Craigiebank,110
S02001449 : Docks and Wellgate,380
S02001457 : Douglas East,65
S02001455 : Douglas West,45
S02001467 : Downfield,60
S02001468 : Fairmuir,225
S02001463 : Fintry,120
S02001450 : Hilltown,200
S02001466 : Kirkton,45
S02001469 : Law,130
S02001464 : Linlathen and Midcraigie,135
S02001473 : Lochee,170
S02001447 : Logie and Blackness,105
S02001471 : Menzieshill,60
S02001446 : Perth Road,450
S02001452 : Stobswell,150
S02001451 : The Glens,90
S02001456 : West Ferry,65
S02001461 : West Pitkerro,210
S02001445 : Westend,140
S02001475 : Western Edge,230
S02001462 : Whitfield,70
