name,postcode
Albert Hall,DD2 2JE
Ardler Community Centre,DD2 3SU
Ardler Complex,DD2 3TP
Ardler Village Trust,DD2 3WN
Arthurstone Community Library,DD4 6RT
Barnhill Community Centre,DD5 2PU
Bharatiya Ashram,DD1 5RB
Blackness Community Library,DD2 1EJ
Boomerang Community Centre,DD4 6ET
Brooksbank Centre & Services,DD4 8DG
Broughty Ferry Library,DD5 2HN
Camperdown Masonic Lodge,DD1 2QA
Chamber East,DD1 1EP
Charleston Community Centre And Library,DD2 4NL
Coldside Community Library,DD3 7SE
Community Re-Use Hub,DD4 0NT
Community Services Complex,DD4 0DX
DFC Community Trust,DD3 7JY
DISC: Dundee International Sports Centre,DD4 7AA
Douglas Community And Library Centre,DD4 8SD
Douglas Sports Centre,DD4 8TG
Dundee Age Concern,DD3 8AW
Dundee Citizens Advice,DD1 1DB
Dundee International Women's Centre,DD3 7PY
Dundee North West Community Sports Club,DD3 8PF
Dundee Volunteer and Voluntary Action,DD1 1LL
Dundee West Church,DD1 4JW
Enterprise Centre,DD1 1LL
Fairfield Community Sports Hub,DD4 0JX
Fairmuir Social Club,DD3 8HL
Faith In Community Dundee,DD3 0AX
Finmill Centre,DD4 9EW
Finmill Community Centre,DD4 9EW
Fintry Community Library,DD4 9EW
Forthill Community Sports Club,DD5 3BL
Grey Lodge Settlement,DD1 2QF
Grove Swim and Sports Centre,DD5 1AB
Haven,DD3 7AU
Hilltown Community Centre,DD3 7DR
Hub Community Library and Learning Centre,DD4 8ES
Kirkton Community Centre And Library,DD3 0AX
Lochee Community Hub,DD2 3BL
Lochee Swimming and Leisure Centre,DD2 3AQ
Love And Light Spiritual And Wellbeing Centre,DD3 7PX
Menzieshill Community Centre,DD2 4TQ
Menzieshill Library,DD2 4BH
Mitchell Street Community Centre,DD2 2LJ
New Scottish Arts,DD1 4XA
Olympia,DD1 3JU
Rainbow House Dundee,DD4 8HZ
RockSolid Dundee,DD4 8RD
Scottish Islamic Cultural Centre of Dundee,DD4 6RU
St Aidan’s Centre,DD5 2EY
St Marys Community Facility,DD3 9NH
St. Paul's Swim and Sports Centre,DD3 0EH
Tajdar e Madina Masjid,DD1 2NP
Tayside Deaf Hub,DD1 5EF
Tayside Hindu Cultural and Community Centre,DD2 1AQ
The Attic Lounge,DD3 0DU
The Cardboard City,DD1 4DG
The Chaplaincy Centre - University of Dundee,DD1 4HN
The Circle,DD2 3SX
The Crescent,DD4 0HU
The Dundonald Centre,DD4 6SQ
The Maxwell Centre,DD3 7EW
The Roundhouse,DD4 0HU
The Scotty Centre,DD4 6PX
Transform Community Development,DD1 5QW
Whitfield Community Project,DD4 0HU
Whitfield Library,DD4 0HU
