Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
St Luke's And Queen Street Church Of Scotland: Broughty Ferry,SC000088,Dundee City,DD5 1QA,56.47310116,-2.90635881,S02001456,S01007750
Dundee Chamber Of Commerce -George R Donald Medal Fund,SC000190,Dundee City,DD1 3JA,56.46229987,-2.96038582,S02001449,S01007707
Dundee Parish Church (St Marys) Church of Scotland,SC002198,Dundee City,DD1 3BR,56.46200259,-2.95349746,S02001449,S01007707
Dundee Sailors Home & Hostel,SC000253,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Balgay Childrens Society,SC002453,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Isabella Agnes Smith Fund,SC006676,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Lord Armitsteads Trust For The Benefit Of The Citizens Of Dundee,SC006817,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Dundee Islamic Society,SC007413,Dundee City,DD1 5DD,56.46231747,-2.98111017,S02001446,S01007691
Dundee Sick Nursing Society,SC007498,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Dundee Rep and Scottish Dance Theatre Limited,SC017315,Dundee City,DD1 1PB,56.45766548,-2.97630072,S02001446,S01007691
Royal Victoria Hospital (Dundee) Outdoor Fund,SC017795,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Hospital Fund,SC018896,Dundee City,DD1 1NZ,56.45795777,-2.9756916,S02001446,S01007691
Camperdown Estate Trust,SC018899,Dundee City,DD1 1NZ,56.45795777,-2.9756916,S02001446,S01007691
Belmont Estate Trust,SC018900,Dundee City,DD1 1NZ,56.45795777,-2.9756916,S02001446,S01007691
Generator,SC025493,Dundee City,DD1 4JG,56.45679316,-2.98888613,S02001446,S01007691
Advocating Together (Dundee) SCIO,SC026064,Dundee City,DD1 4DD,56.45635398,-2.98988074,S02001446,S01007691
Lord Provist Of Dundee Charity Fund,SC027022,Dundee City,DD1 1NZ,56.45795777,-2.9756916,S02001446,S01007691
Isabella Agnes Smith Housing Association Limited,SC030862,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Dundee Science Centre,SC033272,Dundee City,DD1 4QB,56.45582713,-2.97699993,S02001446,S01007691
Dundee Museums Foundation,SC043389,Dundee City,DD1 4EZ,56.45730557,-2.96718844,S02001446,S01007691
Dundee Rep Theatre Foundation,SC046517,Dundee City,DD1 1PB,56.45766548,-2.97630072,S02001446,S01007691
Feeling Strong,SC048394,Dundee City,DD1 4NX,56.45659073,-2.9792912,S02001446,S01007691
Dor's Angels [SCIO],SC049874,Dundee City,DD1 1NR,56.45819967,-2.97577894,S02001446,S01007691
Feeling Strong SCIO,SC050991,Dundee City,DD1 4NX,56.45659073,-2.9792912,S02001446,S01007691
Dundee: Whitfield Parish Church of Scotland,SC000316,Dundee City,DD4 0NA,56.48957482,-2.91787617,S02001462,S01007784
30th B Dundee Guides,SC031947,Dundee City,DD4 0XW,56.49165201,-2.92369191,S02001462,S01007784
Dundee Volunteer and Voluntary Action,SC000487,Dundee City,DD1 1LL,56.46231216,-2.97494317,S02001448,S01007705
Dundee Women's Aid Company Limited,SC006691,Dundee City,DD1 1PW,56.46110057,-2.97591826,S02001448,S01007705
High School of Dundee Scholarship Fund,SC011441,Dundee City,DD1 1HU,56.4629647,-2.97307734,S02001448,S01007705
Old Glenalmond Club Scholarship Fund,SC014091,Dundee City,DD1 1LN,56.462166,-2.97295954,S02001448,S01007705
The Inclusion Group (Dundee),SC026317,Dundee City,DD1 1DJ,56.46257331,-2.97142823,S02001448,S01007705
High School of Dundee Foundation,SC030842,Dundee City,DD1 1HU,56.4629647,-2.97307734,S02001448,S01007705
Ward Road Gym Sports Development (Dundee),SC034124,Dundee City,DD1 1NE,56.4614451,-2.97552139,S02001448,S01007705
Art Angel (Scotland) Limited,SC035334,Dundee City,DD1 1PW,56.46110057,-2.97591826,S02001448,S01007705
Dundee Community Transport SCIO,SC036755,Dundee City,DD1 1LL,56.46231216,-2.97494317,S02001448,S01007705
Dundee Womens Festival SCIO,SC044450,Dundee City,DD1 1LL,56.46231216,-2.97494317,S02001448,S01007705
Peyton Fairfield's Warrior Foundation (SCIO),SC046379,Dundee City,DD1 1LL,56.46231216,-2.97494317,S02001448,S01007705
Central Baptist Church Dundee,SC050871,Dundee City,DD1 1LX,56.46156672,-2.97490783,S02001448,S01007705
Jean Drummond Centre,SC001115,Dundee City,DD2 3DT,56.47493968,-3.01476431,S02001473,S01007855
Dundee Civic Trust SCIO,SC001399,Dundee City,DD2 1NG,56.4563108,-3.00531062,S02001445,S01007687
St Marys Episcopal Church: Broughty Ferry,SC001750,Dundee City,DD5 3SX,56.48275194,-2.85157745,S02001461,S01007775
Broughty Ferry Baptist Church,SC011937,Dundee City,DD5 3TZ,56.48348705,-2.85312024,S02001461,S01007775
2nd Monifieth Guide Unit,SC033559,Dundee City,DD5 3UJ,56.48376062,-2.84991135,S02001461,S01007775
Friends of Barnhill Parent Council of Barnhill Primary School,SC003073,Dundee City,DD5 3SQ,56.47965309,-2.85538839,S02001460,S01007773
49th Dundee Scout Group,SC006308,Dundee City,DD5 3SB,56.47960663,-2.8569135,S02001460,S01007773
30th Dundee Brownie Unit,SC034320,Dundee City,DD5 3SF,56.4806867,-2.85271643,S02001460,S01007773
Barnhill After School Care Club SCIO,SC038545,Dundee City,DD5 3SQ,56.47965309,-2.85538839,S02001460,S01007773
81st A Dundee Brownies,SC042670,Dundee City,DD5 3SF,56.4806867,-2.85271643,S02001460,S01007773
Ferry Athletic Youth Football Club,SC050205,Dundee City,DD5 3ES,56.47955993,-2.85976994,S02001460,S01007773
Church of Scotland Presbytery Of Dundee,SC003162,Dundee City,DD2 4TW,56.46627921,-3.05139248,S02001475,S01007868
Dundee: West Church Of Scotland,SC017136,Dundee City,DD2 4UF,56.46561697,-3.0553181,S02001475,S01007868
Little Stars Toddler Group,SC046454,Dundee City,DD2 4UF,56.46561697,-3.0553181,S02001475,S01007868
Hillcrest Foundation,SC049967,Dundee City,DD2 1EG,56.47043904,-3.05668556,S02001475,S01007868
Dundee: Camperdown Parish Church of Scotland,SC003677,Dundee City,DD2 4RP,56.47554222,-3.03966764,S02001472,S01007847
Dundee Christian Youth Trust,SC003691,Dundee City,DD4 7DS,56.47617836,-2.94313819,S02001453,S01007735
Dundee & Angus Cricket Development Group Trust,SC042922,Dundee City,DD4 7EL,56.47815557,-2.94895077,S02001453,S01007735
The Reconnection Project,SC045759,Dundee City,DD4 7DS,56.47617836,-2.94313819,S02001453,S01007735
St Stephens & West Parish Church Of Scotland: Broughty Ferry,SC003714,Dundee City,DD4 6PE,56.46963343,-2.95544179,S02001452,S01007732
Boomerang Community Centre [SCIO],SC047467,Dundee City,DD4 6ET,56.4692448,-2.95574043,S02001452,S01007732
"Wellbeing Works, Dundee",SC003907,Dundee City,DD1 2DB,56.46474566,-2.96937386,S02001449,S01007711
Dundee: St Andrew's Parish Church of Scotland,SC011775,Dundee City,DD1 2JB,56.46552511,-2.9650441,S02001449,S01007711
Hame SCIO,SC050430,Dundee City,DD1 2EY,56.4638255,-2.96639669,S02001449,S01007711
Dundee District Scout Council,SC004220,Dundee City,DD5 2BU,56.46548238,-2.87633065,S02001458,S01007759
Broughty Ferry YMCA,SC007330,Dundee City,DD5 1DJ,56.46766975,-2.87701405,S02001458,S01007759
Friends Of Barnhill Rock Garden Broughty Ferry,SC028973,Dundee City,DD5 1AE,56.46883302,-2.87640786,S02001458,S01007759
