Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Westend,9,86,81,24.0,2.07,0.35
Perth Road,6,78,70,60.0,3.2,0.4
Logie and Blackness,4,78,73,19.0,0.9,0.18
City Centre,4,73,71,134.0,4.58,1.25
Docks and Wellgate,3,78,71,68.0,2.16,0.72
Hilltown,2,74,69,42.0,1.26,1.26
The Glens,2,78,68,19.0,0.42,0.0
Stobswell,2,79,71,26.0,1.39,1.04
Baxter Park,7,85,81,19.0,1.88,0.31
Craigie and  Craigiebank,5,82,76,26.0,1.89,0.0
Douglas West,2,76,71,10.0,2.26,0.23
West Ferry,8,84,84,21.0,1.93,0.0
Douglas East,2,79,71,24.0,1.82,1.09
Broughty Ferry West,8,86,81,75.0,3.3,0.58
Broughty Ferry East,9,86,78,20.0,2.17,0.27
Barnhill,8,86,79,21.0,2.52,0.0
West Pitkerro,8,81,79,32.0,0.61,0.0
Whitfield,2,78,73,11.0,0.82,0.98
Fintry,4,79,73,19.0,0.94,0.47
Linlathen and Midcraigie,2,73,70,26.0,1.91,0.57
Caird Park,5,80,77,18.0,2.13,0.91
Kirkton,3,76,75,11.0,1.22,0.24
Downfield,6,83,78,13.0,0.63,0.21
Fairmuir,6,82,78,61.0,1.36,0.27
Law,2,76,72,28.0,0.43,0.0
Balgay,6,84,75,13.0,1.57,0.26
Menzieshill,2,73,63,14.0,0.68,0.45
Charleston,2,76,71,14.0,0.71,0.24
Lochee,2,75,72,31.0,1.44,0.36
Ardler and St Marys,2,79,74,25.0,1.33,0.83
Western Edge,9,88,84,51.0,2.21,0.0
