2011 scottish intermediate zone,Total
S02001500 : Altonhill North and Onthank,45
"S02001501 : Altonhill South, Longpark and Hillhead",130
S02001485 : Auchinleck,90
S02001494 : Bellfield and Kirkstyle,55
S02001502 : Bonnyton and Town Centre,485
"S02001504 : Crosshouse, Gatehead and Kilmaurs Rural",125
S02001484 : Cumnock North,195
S02001481 : Cumnock Rural,255
S02001483 : Cumnock South and Craigens,55
S02001489 : Darvel,105
S02001498 : Dean and New Farm Loch North,30
S02001477 : Doon Valley North,90
S02001476 : Doon Valley South,100
S02001479 : Drongan,50
S02001492 : Earlston and Hurlford Rural,190
S02001491 : Galston,140
"S02001503 : Grange, Howard and Gargieston",160
S02001495 : Kilmarnock South Central and Caprington,240
S02001505 : Kilmaurs,60
S02001480 : Mauchline,105
S02001478 : Mauchline Rural,215
S02001482 : New Cumnock,65
S02001497 : New Farm Loch South,55
S02001490 : Newmilns,80
S02001486 : Northern and Irvine Valley Rural,425
S02001496 : Piersland,110
S02001493 : Shortlees,70
S02001499 : Southcraig and Beansburn,140
S02001487 : Stewarton East,165
S02001488 : Stewarton West,40
