name,postcode
Altonhill Community Centre,KA3 1QQ
Auchinleck Leisure Centre,KA18 2LY
Auchinleck Library,KA18 2JY
Ayrshire Muslim Education Centre,KA3 7AH
Balmoral Road Centre,KA3 1HL
Barony Sports Village,KA18 1FQ
Bellsbank Community Centre,KA6 7SJ
Bonnyton Community Centre,KA3 1HL
Boswell Centre,KA18 2LA
Burns House Library,KA5 5BZ
Catrine Community Centre,KA5 6RT
Centre Stane Mauchline Community Centre,KA5 5DA
CentreStage,KA1 3AE
Citizens Advice Cumnock,KA18 1LF
Crosshouse Community Education Centre,KA2 0JJ
Crosshouse Library,KA2 0LE
Cumnock Library,KA18 1LH
Cumnock Town Hall,KA18 1BY
Dalmellington Community Centre,KA6 7SJ
Dalrymple Community Centre,KA6 6FA
Darvel Library,KA17 0AQ
Darvel Town Hall,KA17 0AQ
Dick Institute,KA1 3BU
Doon Valley Leisure Centre,KA6 7SJ
Drongan Community Centre,KA6 7BZ
Drongan Library,KA6 7BY
Galleon Centre,KA1 1QY
Galston Community Centre,KA4 8EN
Galston Library,KA4 8HQ
Grange Leisure Centre,KA1 2EN
Hareshaw Hall,KA3 6JB
Howard Centre,KA1 2BT
Hunter Fitness Suite,KA3 1NQ
Hurlford Community Centre,KA1 5DD
Kilmarnock YMCA Plus,KA3 1AP
Kilmaurs Community Centre,KA3 2TT
Kilmaurs Masonic Hall,KA3 2SZ
Loudoun Leisure Centre,KA4 8PD
Mauchline Community Centre,KA5 5DA
Morton Hall,KA16 9DG
Muirkirk Community Wing,KA18 3RH
NWKLEUS,KA3 2DF
Netherthird Community Centre,KA18 3AR
New Cumnock Town Hall,KA18 4AN
Newmilns Library,KA16 9DQ
Ochiltree Community Hub,KA18 2PE
Patna Community Centre,KA6 7LX
Patna Library,KA6 7LY
Rankinston Community Centre,KA6 7HB
Riccarton Community Centre,KA1 4HW
Rose Reilly Sports Centre,KA3 3DN
Shortlees Community Centre,KA1 4SR
Sir Alexander Fleming Centre,KA1 2AS
Sorn Village Hall,KA5 6HU
St John's Community Hall,KA18 1JU
St Joseph's Leisure Centre,KA3 7SL
Stewarton Area Centre,KA3 5AP
Stewarton Community Centre,KA3 5BG
Stewarton Library,KA3 5AP
Take A Bow Opportunity Centre,KA3 7PH
Vibrant Communities,KA1 1HW
Whatriggs Library,KA1 3SZ
William McIlvanney Leisure Centre,KA3 7DF
