Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Ochiltree Parish Church Of Scotland,SC000130,East Ayrshire,KA18 2PZ,55.46283748,-4.36238926,S02001478,S01007883
Ochiltree Old Peoples Welfare Committee,SC011653,East Ayrshire,KA18 2PE,55.45990794,-4.36700701,S02001478,S01007883
Cumnock & Doon Valley Disability Forum,SC028295,East Ayrshire,KA18 2PB,55.46162817,-4.36310787,S02001478,S01007883
Dunlop Church Of Scotland,SC000447,East Ayrshire,KA3 4DT,55.72899106,-4.51707799,S02001486,S01007930
Ayr County Ayrshire Cattle Club,SC000730,East Ayrshire,KA18 1FJ,55.46199178,-4.27759587,S02001481,S01007899
St Andrews United Free Church: Cumnock,SC002917,East Ayrshire,KA18 3BX,55.44028671,-4.23171301,S02001481,S01007899
Getting You To The Starting Line,SC045015,East Ayrshire,KA18 3LU,55.47725096,-4.21058748,S02001481,S01007899
Hurlford Church of Scotland,SC001084,East Ayrshire,KA3 1TS,55.62683287,-4.48875783,S02001499,S01007997
Kilmarnock South Parish Church of Scotland,SC012430,East Ayrshire,KA3 1TW,55.62483383,-4.48982248,S02001499,S01007997
St Johns Parish Church of Scotland - Onthank: Kilmarnock,SC033107,East Ayrshire,KA3 1TR,55.62534089,-4.49096663,S02001499,S01007997
East Ayrshire Women's Aid,SC001205,East Ayrshire,KA1 1JB,55.61060649,-4.49771768,S02001502,S01008012
"St Andrew's & St Marnock's Parish Church Of Scotland, Kilmarnock",SC006345,East Ayrshire,KA1 1DZ,55.60771907,-4.49826446,S02001502,S01008012
Kilmarnock Leisure Centre Trust,SC008314,East Ayrshire,KA1 1QY,55.60495812,-4.49789832,S02001502,S01008012
East Ayrshire Carers Centre,SC024914,East Ayrshire,KA1 1LU,55.61076802,-4.4959653,S02001502,S01008012
East Ayrshire Citizens Advice Bureau,SC028817,East Ayrshire,KA1 1LN,55.61045674,-4.4958026,S02001502,S01008012
East Ayrshire Coalfield Environment Initiative,SC037177,East Ayrshire,KA1 1DD,55.61095578,-4.49866092,S02001502,S01008012
Kilmarnock Town Centre Partnership,SC047064,East Ayrshire,KA1 1PT,55.60889427,-4.49705302,S02001502,S01008012
Cumnock & District Men's Shed,SC051020,East Ayrshire,KA1 1RH,55.60570652,-4.49910499,S02001502,S01008012
St Kentigerns Parish Church Of Scotland: Kilmarnock,SC001324,East Ayrshire,KA3 7PR,55.61770619,-4.47561622,S02001498,S01007986
William Cameron Bequest Fund,SC004552,East Ayrshire,KA1 4UJ,55.58801285,-4.50593096,S02001495,S01007973
East Ayrshire Churches Homelessness Action,SC036849,East Ayrshire,KA1 4UJ,55.58801285,-4.50593096,S02001495,S01007973
Stewarton United Reformed Church: Stewarton,SC004941,East Ayrshire,KA3 3AE,55.6819945,-4.52086565,S02001488,S01007938
1st Stewarton Rainbows,SC034535,East Ayrshire,KA3 3BZ,55.6811189,-4.5267272,S02001488,S01007938
Bill Adams Memorial Award,SC005342,East Ayrshire,KA3 3DZ,55.67799607,-4.53171147,S02001486,S01007929
Stewarton Woodlands Action Trust,SC035744,East Ayrshire,KA3 3BA,55.67572892,-4.53006977,S02001486,S01007929
WrestleKind,SC050688,East Ayrshire,KA3 3BA,55.67572892,-4.53006977,S02001486,S01007929
Hub on the Hill,SC051001,East Ayrshire,KA3 3FL,55.68593006,-4.52355327,S02001486,S01007929
21st Ayrshire Scout Group,SC006386,East Ayrshire,KA3 1RU,55.62031096,-4.48813785,S02001499,S01007998
Kilmaurs Farmers Society,SC015480,East Ayrshire,KA3 1RY,55.62266548,-4.48771526,S02001499,S01007998
New Farm Loch Mother & Under Fives Group,SC006422,East Ayrshire,KA3 7QX,55.6217271,-4.47278829,S02001498,S01007989
1st Galston Brownie Unit,SC036289,East Ayrshire,KA3 7QU,55.62139401,-4.47325971,S02001498,S01007989
Auchinleck Parish Church of Scotland,SC006707,East Ayrshire,KA18 1PQ,55.45639471,-4.26196264,S02001484,S01007918
Yipworld,SC029944,East Ayrshire,KA18 1PG,55.45515969,-4.2621608,S02001484,S01007918
Cumnock Area Musical Production Society - (Camps),SC030575,East Ayrshire,KA18 1PQ,55.45639471,-4.26196264,S02001484,S01007918
Church of Scotland Cumnock Trinity Church,SC034504,East Ayrshire,KA18 1EN,55.45224223,-4.27456665,S02001484,S01007918
Auchinleck and Cumnock Concert Bands' Support Group (SCIO),SC047209,East Ayrshire,KA18 1AP,55.45459858,-4.27013151,S02001484,S01007918
Cumnock Action Plan,SC047436,East Ayrshire,KA18 1AP,55.45459858,-4.27013151,S02001484,S01007918
Cumnock Area Musical Production Society (SCIO),SC047663,East Ayrshire,KA18 1PQ,55.45639471,-4.26196264,S02001484,S01007918
Cumnock Congregational Church,SC006763,East Ayrshire,KA18 1RX,55.45943235,-4.27747992,S02001484,S01007920
1st Cumnock Company Boys Brigade,SC036909,East Ayrshire,KA18 1RX,55.45943235,-4.27747992,S02001484,S01007920
2nd Cumnock Brownie Unit,SC039235,East Ayrshire,KA18 1RX,55.45943235,-4.27747992,S02001484,S01007920
Friends of Hillside,SC039923,East Ayrshire,KA18 1RS,55.45721441,-4.28026236,S02001484,S01007920
Cumnock Highland Games Association,SC040320,East Ayrshire,KA18 1AL,55.45876507,-4.27421465,S02001484,S01007920
Hurlford & Crookedholm Old Peoples Welfare Committee,SC006977,East Ayrshire,KA1 5HA,55.60076345,-4.46087959,S02001492,S01007959
Mauchline Parish Church Of Scotland,SC007714,East Ayrshire,KA5 5ES,55.51007674,-4.38061446,S02001480,S01007893
Auchinleck Congregation Of Jehovahs Witnesses,SC007988,East Ayrshire,KA18 2RL,55.45591469,-4.3884052,S02001478,S01007882
Stair Community Association,SC023898,East Ayrshire,KA5 5JE,55.46968452,-4.43988612,S02001478,S01007882
Kilmarnock: Kay Park Parish Church of Scotland,SC008154,East Ayrshire,KA3 7AY,55.61060994,-4.48782488,S02001496,S01007979
5th Kilmarnock Girls Brigade,SC033419,East Ayrshire,KA3 7AQ,55.60843601,-4.48687736,S02001496,S01007979
East Ayrshire Community Play Forum,SC041174,East Ayrshire,KA3 7AQ,55.60843601,-4.48687736,S02001496,S01007979
Ayrshire Muslim Association,SC043592,East Ayrshire,KA3 7AH,55.60778747,-4.48650284,S02001496,S01007979
AYRSHIRE MUSLIM EDUCATION CENTRE,SC049429,East Ayrshire,KA3 7AH,55.60778747,-4.48650284,S02001496,S01007979
"St Maurs Glencairn Church of Scotland, Kilmaurs",SC009036,East Ayrshire,KA3 2SA,55.6359729,-4.52922144,S02001505,S01008030
2nd Kilmaurs Brownies,SC037324,East Ayrshire,KA3 2TD,55.63921329,-4.52332808,S02001505,S01008030
Kilmaurs Senior Citizens Association SCIO ,SC047684,East Ayrshire,KA3 2RP,55.63809758,-4.53123356,S02001505,S01008030
27th Ayrshire (Kilmaurs) Scout Group,SC048631,East Ayrshire,KA3 2TS,55.63517837,-4.52634185,S02001505,S01008030
Kilmarnock Leisure  Education Association,SC009665,East Ayrshire,KA1 2NA,55.61379805,-4.51438927,S02001502,S01008015
Crosshouse Parish Church (Church of Scotland),SC011414,East Ayrshire,KA1 2NG,55.61491667,-4.51199928,S02001502,S01008015
Bonnyton Thistle Football Club,SC044922,East Ayrshire,KA1 2LT,55.61357282,-4.51046814,S02001502,S01008015
Kilmarnock Leisure Education SCIO,SC047711,East Ayrshire,KA1 2NA,55.61379805,-4.51438927,S02001502,S01008015
Bonnyton Community Association,SC048232,East Ayrshire,KA1 2NG,55.61491667,-4.51199928,S02001502,S01008015
Faith In Throughcare (FiT)  for Change   ,SC049183,East Ayrshire,KA1 2NA,55.61379805,-4.51438927,S02001502,S01008015
Fenwick Parish Church (Church of Scotland),SC010062,East Ayrshire,KA3 6EQ,55.66291314,-4.4421855,S02001486,S01007928
Fenwick Pre-5s,SC020460,East Ayrshire,KA3 6DE,55.65807817,-4.43899073,S02001486,S01007928
Ayrshire Communities Enterprise Ltd,SC038345,East Ayrshire,KA3 6DY,55.66207326,-4.4437391,S02001486,S01007928
Galston Parish Church of Scotland,SC010370,East Ayrshire,KA4 8HY,55.59665619,-4.37799984,S02001491,S01007950
1st Newmilns Brownie Unit,SC036288,East Ayrshire,KA4 8JA,55.59654137,-4.37372294,S02001491,S01007950
1st Galston Rainbow Unit,SC036292,East Ayrshire,KA4 8HY,55.59665619,-4.37799984,S02001491,S01007950
Galston Babies and Toddlers Group,SC043347,East Ayrshire,KA4 8LR,55.59657871,-4.37504269,S02001491,S01007950
The STAR Centre,SC010678,East Ayrshire,KA1 2DL,55.60786452,-4.5039106,S02001502,S01008013
East Ayrshire Advocacy Services,SC023540,East Ayrshire,KA1 2BB,55.60895759,-4.50320222,S02001502,S01008013
