Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Doon Valley South,2,75,69,32.0,2.87,0.96
Doon Valley North,3,79,77,22.0,1.2,0.72
Mauchline Rural,4,80,77,44.0,2.03,0.61
Drongan,4,83,76,16.0,0.66,0.66
Mauchline,6,81,77,27.0,2.06,0.77
Cumnock Rural,4,81,77,54.0,2.76,0.42
New Cumnock,2,79,76,25.0,0.77,0.39
Cumnock South and Craigens,3,78,75,12.0,1.48,0.42
Cumnock North,5,78,75,51.0,3.39,1.3
Auchinleck,2,79,73,25.0,0.83,0.83
Northern and Irvine Valley Rural,7,83,80,68.0,2.86,0.16
Stewarton East,7,84,80,41.0,3.69,0.74
Stewarton West,5,83,79,16.0,2.37,0.4
Darvel,5,82,77,28.0,2.63,0.53
Newmilns,3,84,71,29.0,2.95,0.74
Galston,4,83,77,30.0,1.7,0.43
Earlston and Hurlford Rural,3,80,75,34.0,1.81,0.18
Shortlees,1,76,69,16.0,1.14,0.23
Bellfield and Kirkstyle,3,77,76,13.0,0.46,0.23
Kilmarnock South Central and Caprington,4,79,71,86.0,2.87,0.0
Piersland,6,85,76,35.0,1.59,0.63
New Farm Loch South,4,83,76,20.0,0.36,0.0
Dean and New Farm Loch North,4,83,78,8.0,1.66,0.28
Southcraig and Beansburn,8,83,81,24.0,1.21,0.0
Altonhill North and Onthank,3,74,72,10.0,0.66,0.22
"Altonhill South, Longpark and Hillhead",2,78,72,27.0,1.04,1.04
Bonnyton and Town Centre,4,79,74,130.0,4.54,1.07
"Grange, Howard and Gargieston",9,84,81,26.0,1.63,0.16
"Crosshouse, Gatehead and Kilmaurs Rural",5,77,71,27.0,0.85,0.43
Kilmaurs,5,82,79,23.0,3.08,0.77
