2011 scottish intermediate zone,Total
S02001521 : Auchinairn,175
S02001508 : Barloch,110
S02001519 : Bishopbriggs North and Kenmure,95
S02001520 : Bishopbriggs West and Cadder,280
S02001507 : East Clober and Mains Estate,95
S02001531 : Harestanes,45
S02001528 : Hillhead,60
S02001517 : Kessington East,90
S02001516 : Kessington West,120
S02001509 : Keystone and Dougalston,220
S02001510 : Kilmardinny East,105
S02001511 : Kilmardinny West,185
S02001526 : Kirkintilloch South,95
S02001527 : Kirkintilloch West,440
S02001533 : Lennoxtown,145
S02001524 : Lenzie North,135
S02001525 : Lenzie South,80
S02001532 : Milton of Campsie,80
S02001512 : North Castlehill and Thorn,105
S02001529 : Rosebank and Waterside,130
S02001513 : South Castlehill and Thorn,135
S02001518 : Torrance and Balmore,110
S02001530 : Twechar and Harestanes East,50
S02001506 : West Clober and Mains Estate,80
S02001515 : Westerton East,105
S02001514 : Westerton West,40
S02001522 : Woodhill East,30
S02001523 : Woodhill West,85
