name,postcode
Allander Leisure Centre,G61 3DF
Auchinairn Community Centre,G64 1NG
B M a C C,G61 2LX
Bearsden Hall,G61 3QT
Bearsden Library,G61 3QT
Bishopbriggs Guide Hall,G64 2BP
Bishopbriggs Library,G64 2LX
Bishopbriggs Media Centre,G64 1QY
Bishopbriggs Mosque and Community Centre,G64 1NQ
Cadder North Hall,G64 3JJ
Cadder South Halls & Coffee Shop,G64 2JA
Campsie Memorial Hall,G66 7HA
Corbie Ha',G62 6PJ
Craighead Community Education Centre,G66 8DL
E D L C,G66 1AD
East Dunbartonshire Citizens Advice,G66 1HB
"Guide Hall, Milngavie",G62 7NR
Hillhead Community Centre,G66 2JT
Hillhead Community Club (HUSC Hall),G66 2PU
Huntershill Community Sports Hub,G64 1RU
Kessington Public Hall,G61 2DP
Kirkintilloch Baby Café,G66 2JT
Kirkintilloch Leisure Centre,G66 3DD
Kirkintilloch Town Hall,G66 1HN
Lennoxtown Enterprise Centre,G66 7LL
Lennoxtown Library,G66 7JJ
Lenzie Library,G66 5BG
Lillie Art Gallery,G62 8BZ
McGregor House,G66 1XF
Milngavie Community Library & Education Centre,G62 8PN
Milngavie Town Hall,G62 8BZ
Milngavie Youth Centre,G62 8PD
Milton of Campsie Village Hall,G66 8DD
St Andrew's Episcopal Church Hall,G62 6BW
The Fraser Centre,G62 6PA
The Leisuredrome,G64 3HD
Torrance Community Centre,G64 4DB
Twechar Healthy Living & Enterprise Centre,G65 9TA
Twechar Institute,G65 9QQ
War Memorial Hall,G64 3BS
Westerton Hall,G61 1NZ
Westerton Library,G61 1NZ
William Patrick Library,G66 1AD
