Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Campsie Parish Church of Scotland,SC000835,East Dunbartonshire,G66 7EP,55.97295552,-4.18958537,S02001533,S01008158
Campsie Football Club,SC048574,East Dunbartonshire,G66 7ER,55.97239861,-4.19057959,S02001533,S01008158
212th Glasgow Boys Brigade Company,SC001145,East Dunbartonshire,G64 3AG,55.91120237,-4.22975347,S02001519,S01008092
Auchinairn Parent / Toddler Group,SC001348,East Dunbartonshire,G64 1NN,55.89956491,-4.21025769,S02001521,S01008106
Baldernock Childcare,SC002127,East Dunbartonshire,G64 4AS,55.94427988,-4.26302812,S02001518,S01008085
Torrance Guides,SC032216,East Dunbartonshire,G64 4LW,55.93780381,-4.22085822,S02001518,S01008085
32nd Glasgow 1st Kirkintilloch Scout Group,SC002267,East Dunbartonshire,G66 1EU,55.93787131,-4.16150514,S02001527,S01008133
Ethnic Minority Forum In East Dunbartonshire,SC031863,East Dunbartonshire,G66 1DH,55.93920881,-4.16108327,S02001527,S01008133
Care and Repair in East Dunbartonshire,SC040240,East Dunbartonshire,G66 1HW,55.94059455,-4.15790981,S02001527,S01008133
East Dunbartonshire Leisure and Culture Trust,SC041942,East Dunbartonshire,G66 1DH,55.93920881,-4.16108327,S02001527,S01008133
Kirkintilloch Hillhead Church Of Scotland,SC002424,East Dunbartonshire,G64 2LH,55.90937392,-4.21254396,S02001520,S01008096
Kirkintilloch Players Club,SC002574,East Dunbartonshire,G66 1PY,55.94203829,-4.15449914,S02001527,S01008135
Friends Of Kelvinbank,SC021133,East Dunbartonshire,G66 1RP,55.94543643,-4.143109,S02001527,S01008135
Stewart Family Trust,SC028166,East Dunbartonshire,G66 1SH,55.94110712,-4.16352698,S02001527,S01008135
Kirkintilloch Skatepark Initiative,SC034393,East Dunbartonshire,G66 2BL,55.93959043,-4.14851856,S02001527,S01008135
4th Glasgow Scout Group,SC050280,East Dunbartonshire,G66 1RW,55.95254449,-4.15859084,S02001527,S01008135
St Pauls Parish Church Of Scotland: Milngavie,SC002737,East Dunbartonshire,G62 8DP,55.94199297,-4.31020067,S02001508,S01008044
Standing Tall Arts,SC047472,East Dunbartonshire,G62 6AT,55.94049046,-4.30980693,S02001508,S01008044
St Cyprians Episcopal Church: Lenzie,SC003826,East Dunbartonshire,G66 4LE,55.9224481,-4.15798931,S02001524,S01008122
Lenzie Old Parish Church of Scotland,SC008935,East Dunbartonshire,G66 4LJ,55.9226035,-4.15116352,S02001524,S01008122
Lenzie Union Church of Scotland,SC015287,East Dunbartonshire,G66 4LD,55.9236158,-4.15597343,S02001524,S01008122
St Lukes Church Of Scotland: Milngavie,SC003870,East Dunbartonshire,G62 7RB,55.9417693,-4.34580315,S02001506,S01008034
Waterside Miners Charitable Society,SC003983,East Dunbartonshire,G66 3JQ,55.93244595,-4.12831899,S02001529,S01008144
Lenzie Old Parish Church Parent & Toddler Group,SC011608,East Dunbartonshire,G66 3US,55.92656426,-4.13582398,S02001529,S01008144
5th Kirkintilloch Guides,SC041401,East Dunbartonshire,G66 3FD,55.93890494,-4.11439037,S02001529,S01008144
St Joseph's Nursery,SC004008,East Dunbartonshire,G62 7AA,55.9409193,-4.32379658,S02001509,S01008047
"Westerton Fairlie Memorial Parish Church of Scotland, Bearsden",SC004489,East Dunbartonshire,G61 2SB,55.91357967,-4.32852914,S02001516,S01008076
Milngavie Churches Assoc Friendship House,SC004739,East Dunbartonshire,G62 6PJ,55.93911017,-4.31869209,S02001509,S01008046
"Springfield Cambridge Church of Scotland, Bishopbriggs",SC005642,East Dunbartonshire,G64 1PN,55.90404902,-4.21428843,S02001523,S01008111
Baldernock Parish Church of Scotland,SC006355,East Dunbartonshire,G61 4PP,55.91956884,-4.3364108,S02001513,S01008066
Bearsden Academy Parent Teacher Assoc,SC006983,East Dunbartonshire,G61 3SF,55.92789081,-4.34400363,S02001512,S01008061
"St Marys Parish Church of Scotland, Kirkintilloch",SC007260,East Dunbartonshire,G66 1JT,55.93917535,-4.15581329,S02001527,S01008134
Contact Point in East Dunbartonshire SCIO,SC008184,East Dunbartonshire,G66 1LF,55.93801103,-4.15866278,S02001527,S01008134
East Dunbartonshire Citizens Advice Bureau,SC023348,East Dunbartonshire,G66 1HB,55.93817427,-4.15601385,S02001527,S01008134
Park Centre (Strathkelvin) Limited,SC025724,East Dunbartonshire,G66 1LF,55.93801103,-4.15866278,S02001527,S01008134
Abbeyfield Bearsden Society Ltd,SC007636,East Dunbartonshire,G61 3PL,55.92090264,-4.32672761,S02001511,S01008054
Bearsden And Milngavie Talking Newspaper Association (Beam),SC015177,East Dunbartonshire,G61 2SY,55.91811142,-4.33174579,S02001511,S01008054
St Andrews Episcopal Church: Milngavie,SC008683,East Dunbartonshire,G62 7LF,55.95069877,-4.32849927,S02001507,S01008040
Kilmardinny Music Circle,SC028581,East Dunbartonshire,G62 7LE,55.9504001,-4.32860948,S02001507,S01008040
3rd Milngavie Rainbow Unit,SC046696,East Dunbartonshire,G62 7LE,55.9504001,-4.32860948,S02001507,S01008040
"St Columba Parish Church of Scotland, Kirkintilloch",SC008735,East Dunbartonshire,G66 3HS,55.93401374,-4.13535345,S02001526,S01008128
3rd Kirkintilloch Brownie Pack,SC034763,East Dunbartonshire,G66 3JN,55.93352918,-4.13996972,S02001526,S01008128
Guides - Kirkintilloch Division,SC008778,East Dunbartonshire,G66 5LS,55.91797535,-4.14290521,S02001525,S01008124
1st Lenzie Girls Brigade Company,SC034588,East Dunbartonshire,G66 5NJ,55.91920124,-4.13804357,S02001525,S01008124
Milngavie Choir,SC008971,East Dunbartonshire,G61 1QR,55.90724939,-4.31534957,S02001515,S01008075
The Church of Scotland Bearsden Cross Church,SC009082,East Dunbartonshire,G61 1AU,55.90514999,-4.32754377,S02001515,S01008074
Bearsden Primary After School Club Ltd,SC023318,East Dunbartonshire,G61 1HU,55.90442685,-4.333932,S02001515,S01008074
9th Bearsden Guide Unit,SC037262,East Dunbartonshire,G61 1AX,55.90540341,-4.32935088,S02001515,S01008074
Bishopbriggs Congregation Of Jehovahs Witnesses,SC009325,East Dunbartonshire,G66 4JG,55.92623831,-4.16529123,S02001524,S01008118
Lenzie District Guides,SC034325,East Dunbartonshire,G66 4HJ,55.92863508,-4.15930983,S02001524,S01008118
The Church of God Kirkintilloch,SC049313,East Dunbartonshire,G66 4HS,55.92582877,-4.16149072,S02001524,S01008118
2nd Lenzie Guide Unit,SC050499,East Dunbartonshire,G66 4HJ,55.92863508,-4.15930983,S02001524,S01008118
Mosshead Pre-School and Playgroup,SC009508,East Dunbartonshire,G61 3RS,55.92805771,-4.34137227,S02001511,S01008056
New Kilpatrick Parish Church of Scotland,SC012997,East Dunbartonshire,G61 3AP,55.92880792,-4.33831179,S02001511,S01008056
Way Ahead Group (A Stroke Club For Bearsden),SC033194,East Dunbartonshire,G61 3AD,55.92501559,-4.33592231,S02001511,S01008056
