Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
West Clober and Mains Estate,9,84.0,81.0,29.0,1.1,0.0
East Clober and Mains Estate,6,83.0,81.0,28.0,1.16,0.29
Barloch,9,88.0,84.0,34.0,2.76,0.61
Keystone and Dougalston,8,84.0,79.0,53.0,0.96,1.21
Kilmardinny East,10,90.0,84.0,32.0,0.9,0.3
Kilmardinny West,9,86.0,84.0,49.0,2.66,0.53
North Castlehill and Thorn,9,83.0,81.0,24.0,0.9,0.0
South Castlehill and Thorn,9,87.0,83.0,32.0,0.72,0.0
Westerton West,9,86.0,81.0,14.0,0.36,0.0
Westerton East,9,83.0,81.0,29.0,2.48,0.55
Kessington West,10,88.0,84.0,37.0,2.17,0.0
Kessington East,10,88.0,85.0,31.0,3.45,0.69
Torrance and Balmore,7,83.0,80.0,39.0,2.13,0.35
Bishopbriggs North and Kenmure,9,86.0,84.0,19.0,0.8,0.4
Bishopbriggs West and Cadder,8,87.0,82.0,44.0,0.94,0.47
Auchinairn,5,81.0,76.0,30.0,0.52,0.7
Woodhill East,10,84.0,81.0,12.0,0.41,0.0
Woodhill West,9,86.0,81.0,21.0,0.97,0.0
Lenzie North,8,88.0,82.0,26.0,1.96,0.0
Lenzie South,10,85.0,83.0,24.0,0.6,0.3
Kirkintilloch South,7,82.0,77.0,28.0,1.76,0.29
Kirkintilloch West,5,79.0,75.0,105.0,4.77,0.72
Hillhead,2,76.0,76.0,15.0,0.97,0.73
Rosebank and Waterside,8,83.0,82.0,23.0,0.54,0.0
Twechar and Harestanes East,4,82.0,80.0,17.0,1.75,0.7
Harestanes,4,83.0,75.0,14.0,0.64,0.0
Milton of Campsie,7,81.0,79.0,20.0,2.99,0.5
Lennoxtown,5,80.0,78.0,31.0,1.07,0.64
