Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Pencaitland Playgroup,SC000003,East Lothian,EH34 5DN,55.91148116,-2.88740259,S02001547,S01008245
Tranent Methodist Church,SC038084,East Lothian,EH34 5HE,55.91007105,-2.88482685,S02001547,S01008245
Friends of Pencaitland Parks,SC049830,East Lothian,EH34 5DN,55.91148116,-2.88740259,S02001547,S01008245
Stenton Community Association,SC000388,East Lothian,EH42 1TE,55.95960474,-2.60768939,S02001553,S01008281
Spott Parish Church (Church of Scotland),SC008667,East Lothian,EH42 1TE,55.95960474,-2.60768939,S02001553,S01008281
Traprain Parish Church (Church of Scotland),SC012277,East Lothian,EH42 1TE,55.95960474,-2.60768939,S02001553,S01008281
Gullane Community Association,SC000497,East Lothian,EH31 2BL,56.03453507,-2.83023598,S02001550,S01008263
Gullane Playgroup,SC009712,East Lothian,EH31 2AF,56.03310416,-2.82924239,S02001550,S01008263
Gullane Day Centre,SC017615,East Lothian,EH31 2HP,56.03509716,-2.82681365,S02001550,S01008263
The Athelstaneford Primary School Parent Council ,SC044133,East Lothian,EH39 5BU,56.00638038,-2.7899251,S02001550,S01008263
Gullane Community Children's Hub,SC048602,East Lothian,EH31 2AF,56.03310416,-2.82924239,S02001550,S01008263
Gullane Village Association,SC051012,East Lothian,EH31 2AP,56.03428083,-2.83329574,S02001550,S01008263
Lennoxlove Trust,SC000671,East Lothian,EH41 4NZ,55.9391128,-2.77810129,S02001547,S01008250
1st East Linton Brownie Unit,SC038763,East Lothian,EH41 4HA,55.94782158,-2.80157408,S02001547,S01008250
St Baldreds Church: North Berwick,SC000772,East Lothian,EH39 4AX,56.05796543,-2.73122786,S02001551,S01008269
4th North Berwick Brownie Unit,SC034332,East Lothian,EH39 4QN,56.05648058,-2.74065754,S02001551,S01008269
Musselburgh: St Clement's and St Ninian's Parish Church (Church of Scotland),SC001726,East Lothian,EH21 7NT,55.94511345,-3.03365311,S02001538,S01008193
1st Longniddry Scout Group,SC002346,East Lothian,EH32 0LE,55.97801013,-2.89817224,S02001546,S01008242
Longniddry Community Centre Association,SC014138,East Lothian,EH32 0LD,55.9770252,-2.89770072,S02001546,S01008242
Gosford Bay Outdoors SCIO,SC050941,East Lothian,EH32 0NZ,55.97435252,-2.89207863,S02001546,S01008242
The Scottish Flag Trust,SC002778,East Lothian,EH42 1EG,56.00077635,-2.52704299,S02001554,S01008287
Dunbar Area Christian Youth Project,SC036138,East Lothian,EH42 1EG,56.00077635,-2.52704299,S02001554,S01008287
Garden Elf ,SC046471,East Lothian,EH42 1NS,55.99909987,-2.53866035,S02001554,S01008287
St Peters Episcopal Church: Musselburgh,SC003445,East Lothian,EH21 7AG,55.94313585,-3.04652123,S02001538,S01008192
Pinkie St Peter's Out Of School Club,SC033580,East Lothian,EH21 7HA,55.94193533,-3.03867575,S02001538,S01008192
Musselburgh Windsor Community Football Club,SC048570,East Lothian,EH21 7HA,55.94193533,-3.03867575,S02001538,S01008192
Musselburgh Shed Project,SC048959,East Lothian,EH21 7AJ,55.94223372,-3.04800188,S02001538,S01008192
Holy Trinity Episcopal Church,SC003630,East Lothian,EH41 3EX,55.95489956,-2.77382164,S02001549,S01008259
Haddington: St Mary's Parish Church (Church of Scotland),SC010614,East Lothian,EH41 3EX,55.95489956,-2.77382164,S02001549,S01008259
Haddington Congregation Of Jehovahs Witnesses,SC014395,East Lothian,EH41 4DB,55.95176113,-2.77994043,S02001549,S01008259
The Lamp Of Lothian Trust,SC015250,East Lothian,EH41 4DA,55.95196698,-2.77437166,S02001549,S01008259
The Haddington Bridge Centre,SC019857,East Lothian,EH41 4DA,55.95196698,-2.77437166,S02001549,S01008259
St Mary's Playgroup,SC020161,East Lothian,EH41 4DA,55.95196698,-2.77437166,S02001549,S01008259
East Lothian Cardio-Pulmonary Rehabilitation Group,SC021161,East Lothian,EH41 4BU,55.95453537,-2.7745831,S02001549,S01008259
Haddington Music Initiative,SC029306,East Lothian,EH41 4DA,55.95196698,-2.77437166,S02001549,S01008259
East Lothian Young Carers Limited,SC032902,East Lothian,EH41 4EX,55.95062596,-2.78183923,S02001549,S01008259
Haddington Community Development Trust,SC044691,East Lothian,EH41 4DA,55.95196698,-2.77437166,S02001549,S01008259
The Lammermuir Festival,SC049521,East Lothian,EH41 4DA,55.95196698,-2.77437166,S02001549,S01008259
Musselburgh Museum and Heritage Group,SC003967,East Lothian,EH21 7BZ,55.9430795,-3.04892134,S02001537,S01008186
Hollies Day Centre SCIO,SC010650,East Lothian,EH21 7DE,55.94236263,-3.05290461,S02001537,S01008186
Musselburgh and District Citizens Advice Bureau SCIO,SC013364,East Lothian,EH21 7DD,55.94250613,-3.05188382,S02001537,S01008186
Wallyford Community Centre Association,SC004042,East Lothian,EH21 8LE,55.93714906,-3.01133333,S02001534,S01008169
Aberlady Parish Church (Church of Scotland),SC004580,East Lothian,EH32 0SB,56.01075687,-2.86093674,S02001546,S01008244
Aberlady Community Association,SC008764,East Lothian,EH32 0RA,56.00966046,-2.85839436,S02001546,S01008244
Cockenzie and Port Seton: Chalmers Memorial Parish Church (Church of Scotland),SC004630,East Lothian,EH32 0HF,55.97088063,-2.95722495,S02001542,S01008211
1st Longniddry Rainbows,SC031716,East Lothian,EH32 0HA,55.97170736,-2.95373643,S02001542,S01008211
Wallyford Children's Gala Day Committee,SC042400,East Lothian,EH32 0HW,55.9708134,-2.96124486,S02001542,S01008211
"Abbey Church, North Berwick, Church of Scotland",SC004761,East Lothian,EH39 4AD,56.05840498,-2.72219545,S02001551,S01008271
North Berwick Youth Project Limited,SC020152,East Lothian,EH39 4JD,56.05914862,-2.71947942,S02001551,S01008271
Baptist Church North Berwick,SC023582,East Lothian,EH39 4JL,56.06021957,-2.71763654,S02001551,S01008271
North Berwick Day Care Association Limited,SC028007,East Lothian,EH39 4NU,56.05775723,-2.72080236,S02001551,S01008271
North Berwick Harbour Trust Association,SC045318,East Lothian,EH39 4JL,56.06021957,-2.71763654,S02001551,S01008271
