Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Wallyford/Whitecraig,4,79,78,20.0,0.84,0.42
Musselburgh South,6,86,78,30.0,0.67,0.0
Musselburgh West,8,84,83,49.0,2.72,0.0
Musselburgh North,4,84,78,40.0,1.9,1.48
Musselburgh East,4,82,77,23.0,2.57,0.21
Pinkie Braes,3,82,75,11.0,0.85,0.85
Prestonpans West,4,82,78,21.0,2.51,0.36
Prestonpans East,5,82,76,20.0,1.66,0.24
Cockenzie,7,84,82,24.0,2.31,0.36
Tranent North,4,80,76,25.0,3.7,0.57
Tranent South,6,84,80,20.0,1.5,0.17
Ormiston,4,81,74,30.0,3.28,0.98
Longniddry and Aberlady,7,84,83,45.0,2.45,0.87
Haddington Rural,7,85,82,54.0,4.93,1.04
Haddington North,7,83,79,28.0,2.92,0.0
Haddington South,5,82,76,47.0,4.64,2.95
Gullane and Drem,8,84,82,55.0,4.17,0.44
North Berwick North,9,84,83,70.0,4.11,0.95
North Berwick South,8,88,81,40.0,3.88,0.41
East Linton and Rural,8,86,80,61.0,3.37,1.24
Dunbar West,6,82,78,22.0,1.95,0.35
Dunbar East,7,84,78,38.0,3.72,0.44
