2011 scottish intermediate zone,Total
S02001560 : Auchenback,25
S02001567 : Busby,110
S02001568 : Clarkston and Sheddens,200
S02001561 : Crookfur and Fruin,245
S02001557 : Cross Stobbs,70
"S02001558 : Dunterlie, East Arthurlie and Dovecothall",250
S02001565 : Eaglesham and Waterfoot,150
S02001573 : Lower Whitecraigs and South Giffnock,170
"S02001562 : Mearns Village, Westacres and Greenfarm",215
S02001564 : Mearnskirk and South Kirkhill,245
S02001572 : Merrylee and Braidbar,120
S02001571 : Netherlee,130
S02001574 : North Giffnock and North Thornliebank,225
S02001566 : North Kirkhill,120
S02001575 : South Thornliebank and Woodfarm,170
S02001570 : Stamperland,80
S02001559 : West Arthurlie and North Neilston,80
S02001556 : West Neilston and Uplawmoor,170
S02001563 : Whitecraigs and Broom,165
S02001569 : Williamwood,115
