name,postcode
Albertslund Hall,G77 6WW
Arthurlie House,G78 2SE
Auchenback Resource Centre,G78 2LW
Barrhead Community Sport Hub,G78 1SQ
Barrhead Foundry,G78 1SQ
Busby Library,G76 8DX
Carmichael Hall,G46 7JS
Clarkston Hall,G76 8NE
Clarkston Library,G76 8NE
Cowan Park Gate House Lodge,G78 1SS
Dalmeny Community Centre,G78 1EQ
Duff Memorial Hall,G76 8DX
Dunterlie Community Centre,G78 1UZ
Dunterlie Resource Centre,G78 1AL
Eaglesham Community Library,G76 0LH
East Ren Centre,G77 5AA
East Renfrewshire Carers Centre,G46 7JS
East Renfrewshire Citizens Advice,G78 1SN
Eastwood High Sports Centre,G77 6NQ
Eastwood House,G46 7JL
Eastwood Park Leisure,G46 6UG
Eastwood Park Theatre & Gallery,G46 6UG
Fairweather Hall,G77 6BB
Giffnock Community Hub,G46 6JW
Giffnock Library,G46 6JF
Glen Community Hall,G78 3NL
Maccabi Youth and Sports Center,G46 6LD
Mearns Community Sport Hub,G77 6NQ
Mearns Library,G77 6EZ
Montgomerie Hall,G76 0LH
Muirend Pavillion,G44 3HQ
Mure Hall,G78 4AD
Neilston Leisure Centre,G78 3NN
Neilston Library,G78 3NN
Neilston Scout Group & Community Hall,G78 3LB
Netherlee Library,G44 3PH
Netherlee Pavilion,G44 3PL
St Andrews House,G78 1EB
Stamperland Community Hall and Residents Association,G76 8AJ
The Edge,G77 6BD
The Market Place Barrhead,G78 1LR
The Scottish Council of Jewish Communities (SCoJeC),G46 6UE
Thornliebank Library,G46 7SJ
Thorntree Hall,G46 7SF
Uplawmoor Library,G78 4AD
Voluntary Action East Renfrewshire,G78 1LR
Woodfarm Education Centre,G46 7HF
Woodfarm Pavilion,G46 7AA
