Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Uplawmoor Playgroup,SC000297,East Renfrewshire,G78 4AL,55.7660665,-4.49598391,S02001556,S01008302
Caldwell Parish Church of Scotland,SC008214,East Renfrewshire,G78 4AE,55.76328159,-4.49370157,S02001556,S01008302
1st Uplawmoor Rainbow Unit,SC036797,East Renfrewshire,G78 4AL,55.7660665,-4.49598391,S02001556,S01008302
1st Uplawmoor Brownie Unit,SC038531,East Renfrewshire,G78 4AD,55.76431801,-4.4940069,S02001556,S01008302
Mearns Parish Kirk Playgroup,SC002168,East Renfrewshire,G77 5BU,55.7684177,-4.32770768,S02001564,S01008352
Friends Of East Renfrewshire Schools Music,SC032346,East Renfrewshire,G77 5PG,55.76655774,-4.32625764,S02001564,S01008352
1st Mearns Senior Section Unit,SC045513,East Renfrewshire,G77 5BU,55.7684177,-4.32770768,S02001564,S01008352
Mearns Kirk Helping Hands ,SC046646,East Renfrewshire,G77 5BU,55.7684177,-4.32770768,S02001564,S01008352
Giffnock Park Church of Scotland,SC002965,East Renfrewshire,G46 7PE,55.80312812,-4.29810437,S02001574,S01008406
Giffnock Theatre Players,SC014906,East Renfrewshire,G46 6JX,55.80097648,-4.29492991,S02001574,S01008406
Broom Parish Church Of Scotland,SC003290,East Renfrewshire,G77 5HN,55.7785302,-4.3071489,S02001566,S01008363
Maxwell Mearns Church Of Scotland,SC017317,East Renfrewshire,G77 5SF,55.77749927,-4.30796502,S02001566,S01008363
3rd Whitecraigs Guide Unit,SC039432,East Renfrewshire,G77 5HN,55.7785302,-4.3071489,S02001566,S01008363
4th Broom Brownies,SC041874,East Renfrewshire,G77 5HN,55.7785302,-4.3071489,S02001566,S01008363
Newton Mearns Parish Church Of Scotland,SC004219,East Renfrewshire,G77 6AA,55.77287245,-4.33261329,S02001562,S01008336
3rd Mearns Rainbow Unit,SC045480,East Renfrewshire,G77 6AA,55.77287245,-4.33261329,S02001562,S01008336
171st Glasgow Scout Group,SC005916,East Renfrewshire,G77 5FJ,55.76376993,-4.33439692,S02001564,S01008349
Eaglesham Parish Church Of Scotland,SC006377,East Renfrewshire,G76 0AR,55.73946165,-4.27336224,S02001565,S01008358
3rd Eaglesham Brownie Unit,SC035377,East Renfrewshire,G76 0LR,55.74353239,-4.27970128,S02001565,S01008358
Girl Guiding East Renfrewshire,SC036354,East Renfrewshire,G76 0LR,55.74353239,-4.27970128,S02001565,S01008358
Eaglesham Fair,SC045316,East Renfrewshire,G76 0HZ,55.74350644,-4.27431451,S02001565,S01008358
Galloway Association of Glasgow,SC006642,East Renfrewshire,G76 7JL,55.78687854,-4.28073408,S02001568,S01008377
Newton Mearns Baptist Church,SC007105,East Renfrewshire,G77 6FA,55.78124406,-4.34279435,S02001561,S01008331
Mearns Kirk (Church of Scotland),SC007125,East Renfrewshire,G77 5TB,55.77237238,-4.30625876,S02001566,S01008362
7th Mearns Brownie Unit,SC032075,East Renfrewshire,G77 5US,55.77142444,-4.30121222,S02001566,S01008362
3rd Whitecraigs Brownie Unit,SC032735,East Renfrewshire,G77 5UN,55.77298558,-4.29991705,S02001566,S01008362
4th Mearns Brownies,SC040887,East Renfrewshire,G77 5TS,55.77116637,-4.30634695,S02001566,S01008362
2nd Whitecraigs Rainbow Unit,SC049467,East Renfrewshire,G77 5UN,55.77298558,-4.29991705,S02001566,S01008362
Braidholm Playgroup,SC008472,East Renfrewshire,G46 6BJ,55.80952279,-4.28533051,S02001572,S01008400
East Renfrewshire Mental Health Forum,SC028035,East Renfrewshire,G46 6BS,55.8102356,-4.28518078,S02001572,S01008400
Eastwood Link Club,SC028593,East Renfrewshire,G46 6BS,55.8102356,-4.28518078,S02001572,S01008400
2nd Giffnock Brownies,SC030860,East Renfrewshire,G46 6HR,55.80893838,-4.28920633,S02001572,S01008400
South Glasgow Church,SC044480,East Renfrewshire,G46 6DX,55.80925802,-4.2874855,S02001572,S01008400
79th Glasgow Scouts Troup,SC009546,East Renfrewshire,G76 8AW,55.79630332,-4.27022888,S02001570,S01008386
2nd Netherlee Guide Company,SC032843,East Renfrewshire,G76 8AW,55.79630332,-4.27022888,S02001570,S01008386
1st Stamperland Guides,SC033333,East Renfrewshire,G76 8LT,55.79560907,-4.27034801,S02001570,S01008386
