Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
West Neilston and Uplawmoor,6,83.0,77,27.0,1.89,0.95
Cross Stobbs,8,81.0,80,20.0,2.52,0.0
"Dunterlie, East Arthurlie and Dovecothall",3,77.0,70,41.0,1.79,1.62
West Arthurlie and North Neilston,6,83.0,79,19.0,0.72,0.24
Auchenback,3,81.0,76,6.0,1.22,0.24
Crookfur and Fruin,9,85.0,83,28.0,0.35,0.0
"Mearns Village, Westacres and Greenfarm",8,81.0,79,36.0,1.49,0.83
Whitecraigs and Broom,10,86.0,87,42.0,0.51,0.0
Mearnskirk and South Kirkhill,10,85.0,82,36.0,1.91,0.0
Eaglesham and Waterfoot,7,86.0,83,30.0,1.78,0.39
North Kirkhill,10,84.0,82,33.0,2.77,0.0
Busby,7,81.0,80,30.0,0.55,0.55
Clarkston and Sheddens,10,88.0,83,32.0,0.97,0.0
Williamwood,10,84.0,83,35.0,1.84,0.0
Stamperland,9,85.0,83,21.0,0.81,0.81
Netherlee,10,87.0,81,28.0,1.49,0.43
Merrylee and Braidbar,9,88.0,83,25.0,1.85,0.21
Lower Whitecraigs and South Giffnock,10,83.0,83,50.0,2.34,0.29
North Giffnock and North Thornliebank,7,81.0,80,60.0,1.34,0.8
South Thornliebank and Woodfarm,7,88.0,79,41.0,1.22,1.46
