2011 scottish intermediate zone,Total
"S02001700 : Banknock, Haggs and Longcroft",85
"S02001737 : Blackness, Bo'ness - Carriden and Grahamsdyke",140
S02001734 : Bo'ness - Douglas,70
S02001736 : Bo'ness - Kinneil,120
S02001735 : Bo'ness - Newtown,40
S02001701 : Bonnybridge,120
S02001723 : Braes Villages,175
S02001725 : Brightons and Wallacestone,105
S02001708 : Carron,45
S02001709 : Carronshore,50
S02001710 : Carse and Grangemouth Old Town,180
S02001698 : Denny - Nethermains,40
S02001696 : Dunipace,60
S02001711 : Falkirk - Bainsford and Langlees,45
S02001716 : Falkirk - Bantaskin,145
S02001717 : Falkirk - Camelon East,110
S02001718 : Falkirk - Camelon West,45
S02001713 : Falkirk - Grahamston,205
S02001720 : Falkirk - Lochgreen and Lionthorn,105
S02001712 : Falkirk - Merchiston and New Carron Village,185
S02001714 : Falkirk - Middlefield,185
S02001719 : Falkirk - Tamfourhill,35
S02001715 : Falkirk - Town Centre and Callendar Park,475
"S02001697 : Fankerton, Stoneywood and Denny Town",225
S02001733 : Grangemouth - Bowhouse,30
S02001732 : Grangemouth - Kersiebank,125
S02001730 : Grangemouth - Newlands,180
S02001731 : Grangemouth - Town Centre,170
S02001721 : Hallglen and Glen Village,30
S02001699 : Head of Muir and Dennyloanhead,45
S02001702 : High Bonnybridge and Greenhill,100
S02001703 : Larbert - North Broomage and Inches,230
S02001704 : Larbert - South Broomage and Village,120
S02001729 : Laurieston and Westquarter,60
S02001726 : Maddiston and Rumford,75
S02001727 : Polmont,170
S02001728 : Redding,50
S02001724 : Reddingmuirhead and Overton,105
S02001722 : Shieldhill,45
S02001707 : Stenhousemuir - Antonshill,50
S02001706 : Stenhousemuir East,55
S02001705 : Stenhousemuir West,85
