Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Forth Valley Medical Benevolent Trust,SC000014,Falkirk,FK2 7ES,56.00320758,-3.78664807,S02001713,S01009138
Falkirk Caledonia Choir,SC000411,Falkirk,FK2 7LT,56.00898122,-3.78696276,S02001713,S01009138
Falkirk Citizens Advice Bureau Ltd,SC006183,Falkirk,FK2 7EW,56.00313457,-3.78486452,S02001713,S01009138
Falkirk & District Community Safety Panel,SC026075,Falkirk,FK2 7EX,56.00423434,-3.78834739,S02001713,S01009138
Committed To Ending Abuse (CEA) Limited,SC000058,Falkirk,FK1 5RL,56.00136829,-3.78954603,S02001716,S01009154
Larbert Old Church of Scotland,SC000445,Falkirk,FK5 3ER,56.01710313,-3.82754296,S02001704,S01009094
Larbert Churches Youth Trust,SC040524,Falkirk,FK5 3EZ,56.01536926,-3.82386745,S02001704,S01009094
3rd Falkirk Boys' Brigade Company,SC046807,Falkirk,FK5 3EG,56.01874928,-3.83046057,S02001704,S01009094
Falkirk Trinity Church of Scotland,SC000652,Falkirk,FK1 1JN,56.00005154,-3.78491479,S02001715,S01009153
Lodge Callendar No 588 Benevolent Fund,SC004081,Falkirk,FK1 1DG,56.00025601,-3.78692878,S02001715,S01009153
Grahamston Senior Citizens' Treat Committee,SC008906,Falkirk,FK1 1RE,56.00112109,-3.7830397,S02001715,S01009153
Olivet Evangelical Church 2019,SC049791,Falkirk,FK1 1RS,56.00087328,-3.77717489,S02001715,S01009153
Falkirk Baptist Church SCIO,SC050038,Falkirk,FK1 1RF,56.00067103,-3.78184829,S02001715,S01009153
Grangemouth Abbotsgrange Church Of Scotland,SC000775,Falkirk,FK3 9JN,56.01507779,-3.7138981,S02001732,S01009237
Moray Busy Bees Playgroup,SC001664,Falkirk,FK3 9DL,56.01373731,-3.7127158,S02001732,S01009237
Brightons Parish Church of Scotland,SC001385,Falkirk,FK2 0HB,55.98246328,-3.72189575,S02001725,S01009196
Brightons Hall Management Committee,SC025252,Falkirk,FK2 0HA,55.98283664,-3.72154368,S02001725,S01009196
Larbert Musical Theatre,SC001411,Falkirk,FK3 9BN,56.01887815,-3.71395418,S02001731,S01009230
Lodge St Andrew No 176 Denny & Loanhead Benevolent Fund,SC001413,Falkirk,FK6 5HF,56.01679583,-3.91932996,S02001698,S01009063
Falkirk Local History Society,SC001552,Falkirk,FK1 3EZ,55.93663504,-3.83564672,S02001723,S01009184
Slamannan Parish Church of Scotland,SC013602,Falkirk,FK1 3EL,55.93940665,-3.83539358,S02001723,S01009184
Slamannan Community Education Association,SC028142,Falkirk,FK1 3EZ,55.93663504,-3.83564672,S02001723,S01009184
"Grangemouth, Kirk Of The Holy Rood, Church of Scotland",SC001603,Falkirk,FK1 5UD,55.98591899,-3.80077487,S02001720,S01009175
16th Forth Valley (Laurieston) Scout Group,SC030733,Falkirk,FK1 5PJ,55.98587274,-3.80516509,S02001720,S01009175
Grahamston Evangelical Church,SC001761,Falkirk,FK2 8DX,56.02517181,-3.78714918,S02001708,S01009113
Grangemouth Carers,SC001790,Falkirk,FK3 8LL,56.01303806,-3.72612765,S02001730,S01009226
Bowhouse Community Association,SC032602,Falkirk,FK3 8ND,56.00965483,-3.72451708,S02001730,S01009226
First 4 Kids SCIO,SC047149,Falkirk,FK3 8XS,56.01124713,-3.74483159,S02001730,S01009226
Grangemouth Stags Rugby Football Club Limited,SC049309,Falkirk,FK3 8XL,56.01927367,-3.74914051,S02001730,S01009226
Beancross and Newlands Community Centre,SC051047,Falkirk,FK3 8ND,56.00965483,-3.72451708,S02001730,S01009226
Denny Community Support Group,SC001855,Falkirk,FK6 6PD,56.02393063,-3.91936311,S02001696,S01009053
St Catharines Episcopal Church: Bo'ness,SC002083,Falkirk,FK3 8DG,56.0202539,-3.72291985,S02001731,S01009229
Citizens Advice Bureau (Grangemouth & Bo'ness) Limited,SC013233,Falkirk,FK3 8BA,56.01918298,-3.72367436,S02001731,S01009229
Grangemouth Old Peoples Welfare Committee,SC014001,Falkirk,FK3 8HU,56.01794514,-3.72093992,S02001731,S01009229
Kersiebank Community Projects Association,SC035800,Falkirk,FK3 8BG,56.01849058,-3.72370768,S02001731,S01009229
Project Theatre ,SC046661,Falkirk,FK3 8BG,56.01849058,-3.72370768,S02001731,S01009229
4 The Benefit of All,SC050292,Falkirk,FK3 8DG,56.0202539,-3.72291985,S02001731,S01009229
Stenhouse & Carron Parish Church Of Scotland: Stenhousemuir,SC002263,Falkirk,FK5 4BU,56.02738979,-3.8063806,S02001706,S01009105
Blackbraes & Shieldhill Parish Church Of Scotland,SC002512,Falkirk,FK1 2DB,55.96562221,-3.75255057,S02001723,S01009186
Adult ICT forum,SC040602,Falkirk,FK1 2BP,55.96683426,-3.75199652,S02001723,S01009186
California Primary School Parent Council,SC045489,Falkirk,FK1 2AD,55.96830969,-3.75124604,S02001723,S01009186
California Community Hub (SCIO),SC049619,Falkirk,FK1 2BW,55.96682953,-3.75422343,S02001723,S01009186
Larbert Baptist Church,SC002680,Falkirk,FK5 3AH,56.01783773,-3.83314489,S02001704,S01009095
J T Borland Charitable Trust,SC002725,Falkirk,FK1 1XR,55.99555378,-3.76023883,S02001715,S01009149
Falkirk & District Spiritualist Church,SC023819,Falkirk,FK1 1UG,55.99800971,-3.78069952,S02001715,S01009149
The Falkirk Muslim Educational and Cultural Community Centre,SC043620,Falkirk,FK1 1UG,55.99800971,-3.78069952,S02001715,S01009149
Al Masaar SCIO,SC049883,Falkirk,FK1 1UJ,55.99921089,-3.78214991,S02001715,S01009149
Falkirk & District Arts and Civic Council (SCIO),SC002879,Falkirk,FK3 0HQ,56.00382241,-3.71939776,S02001733,S01009241
Scottish Community Drama Association Falkirk District,SC007161,Falkirk,FK3 0HB,56.00387544,-3.72010578,S02001733,S01009241
3rd Falkirk Guides,SC040121,Falkirk,FK3 0JB,56.00655472,-3.71871721,S02001733,S01009241
Dunipace Parish Church Of Scotland,SC002943,Falkirk,FK6 5PJ,56.00804571,-3.9075716,S02001699,S01009070
Denny Baptist Church,SC003231,Falkirk,FK6 5PG,56.00939569,-3.90802313,S02001699,S01009070
6th Denny Brownie Unit,SC034790,Falkirk,FK6 5PG,56.00939569,-3.90802313,S02001699,S01009070
Tryst Theatre,SC003303,Falkirk,FK2 0JE,55.97833775,-3.71744916,S02001725,S01009197
Polmont Age Concern,SC012547,Falkirk,FK2 0JB,55.97920656,-3.71958728,S02001725,S01009197
Bailliefields Community Hub,SC050740,Falkirk,FK2 0RN,55.97666512,-3.71753528,S02001725,S01009197
Polmont Old Parish Church Of Scotland,SC003421,Falkirk,FK2 0PT,55.99089861,-3.7085311,S02001727,S01009209
Falkirk Town Mission Charitable Trust,SC013619,Falkirk,FK2 0PW,55.98958708,-3.70914657,S02001727,S01009209
"Bainsford Parish Church Of Scotland, Falkirk",SC004142,Falkirk,FK2 7LJ,56.01082645,-3.7947957,S02001712,S01009134
Kinneil Miners Charitable Society,SC004200,Falkirk,EH51 0BH,56.01010783,-3.62569763,S02001736,S01009253
27th Bonnybridge Scout Group,SC004214,Falkirk,FK4 2DE,55.99469187,-3.89006129,S02001702,S01009086
Denny & Dunipace Citizens Advice Bureau,SC004864,Falkirk,FK6 6DD,56.02322917,-3.90955603,S02001697,S01009057
St Andrews West Church Of Scotland: Falkirk,SC005066,Falkirk,FK5 4FJ,56.0356686,-3.82938365,S02001703,S01009091
Connect2,SC049717,Falkirk,FK5 4FG,56.03369894,-3.82888918,S02001703,S01009091
15th Forth Valley Scout Group,SC006072,Falkirk,FK1 5NG,55.98860306,-3.80035461,S02001720,S01009176
Grange Community Education Association,SC028212,Falkirk,FK1 5NH,55.98901012,-3.80508689,S02001720,S01009176
Denny Westpark Church of Scotland,SC007072,Falkirk,FK6 6JF,56.02535909,-3.90954887,S02001697,S01009058
Gill Park Residents and Tenants Association,SC041225,Falkirk,FK6 6HJ,56.0247314,-3.90539379,S02001697,S01009058
Denny & Bonnybridge Men's Shed,SC047350,Falkirk,FK6 6QE,56.02595512,-3.90121755,S02001697,S01009058
S Kids Pre School Centre,SC007329,Falkirk,FK1 2DT,55.97142153,-3.76680217,S02001722,S01009182
Laurieston Parish Church of Scotland,SC007383,Falkirk,FK2 9JA,55.99366896,-3.74807983,S02001729,S01009216
Laurieston Hall Management Committee,SC028308,Falkirk,FK2 9JE,55.99290517,-3.74934404,S02001729,S01009216
