Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Dunipace,5,80.0,75.0,19.0,1.25,0.0
"Fankerton, Stoneywood and Denny Town",5,82.0,78.0,45.0,1.59,0.6
Denny - Nethermains,5,82.0,77.0,10.0,0.49,0.0
Head of Muir and Dennyloanhead,8,80.0,79.0,15.0,1.97,0.33
"Banknock, Haggs and Longcroft",5,80.0,74.0,21.0,0.98,0.73
Bonnybridge,5,79.0,77.0,25.0,0.21,0.41
High Bonnybridge and Greenhill,6,81.0,77.0,26.0,0.53,0.0
Larbert - North Broomage and Inches,7,81.0,77.0,32.0,1.69,0.0
Larbert - South Broomage and Village,9,80.0,80.0,30.0,1.27,0.0
Stenhousemuir West,3,77.0,74.0,27.0,0.64,1.27
Stenhousemuir East,6,83.0,81.0,16.0,0.88,0.0
Stenhousemuir - Antonshill,8,85.0,83.0,15.0,0.31,0.0
Carron,8,78.0,80.0,17.0,1.14,0.0
Carronshore,5,80.0,78.0,18.0,1.1,0.37
Carse and Grangemouth Old Town,6,81.0,77.0,36.0,1.39,0.4
Falkirk - Bainsford and Langlees,2,78.0,68.0,12.0,1.09,0.27
Falkirk - Merchiston and New Carron Village,7,79.0,76.0,40.0,0.87,0.0
Falkirk - Grahamston,3,79.0,73.0,62.0,2.72,0.91
Falkirk - Middlefield,4,77.0,76.0,40.0,1.51,0.0
Falkirk - Town Centre and Callendar Park,4,83.0,76.0,138.0,3.2,2.33
Falkirk - Bantaskin,7,80.0,79.0,40.0,1.1,0.28
Falkirk - Camelon East,2,75.0,69.0,38.0,2.06,1.03
Falkirk - Camelon West,2,77.0,73.0,17.0,0.37,0.0
Falkirk - Tamfourhill,4,80.0,75.0,13.0,1.11,0.37
Falkirk - Lochgreen and Lionthorn,9,88.0,87.0,28.0,2.43,0.0
Hallglen and Glen Village,2,80.0,78.0,10.0,0.98,0.65
Shieldhill,6,80.0,78.0,18.0,1.21,0.81
Braes Villages,4,79.0,77.0,37.0,2.53,0.84
Reddingmuirhead and Overton,9,80.0,77.0,21.0,0.6,0.0
Brightons and Wallacestone,8,85.0,81.0,25.0,1.21,0.48
Maddiston and Rumford,6,81.0,78.0,14.0,1.33,0.57
Polmont,8,85.0,82.0,44.0,3.86,0.77
Redding,5,79.0,77.0,15.0,0.93,0.31
Laurieston and Westquarter,4,80.0,78.0,18.0,1.52,0.61
Grangemouth - Newlands,4,77.0,75.0,39.0,1.29,1.08
Grangemouth - Town Centre,5,79.0,76.0,57.0,3.01,1.34
Grangemouth - Kersiebank,5,81.0,76.0,30.0,0.72,0.72
Grangemouth - Bowhouse,4,81.0,72.0,8.0,0.83,0.0
Bo'ness - Douglas,7,84.0,78.0,17.0,0.24,0.0
Bo'ness - Newtown,6,84.0,77.0,13.0,0.97,0.0
Bo'ness - Kinneil,5,79.0,75.0,40.0,1.66,0.99
"Blackness, Bo'ness - Carriden and Grahamsdyke",6,80.0,79.0,27.0,1.16,0.58
