2011 scottish intermediate zone,Total
S02001779 : Aberdour and Auchtertool,160
S02001832 : Anstruther,205
S02001824 : Auchtermuchty and Gateside,155
S02001775 : Ballingry,35
S02001839 : Balmullo and Gauldry,170
"S02001813 : Buckhaven, Denbeath and Muiredge",75
S02001781 : Burntisland East,35
S02001780 : Burntisland West,135
S02001742 : Cairneyhill and Crombie,65
S02001776 : Cardenden,150
S02001771 : Cowdenbeath North,165
S02001770 : Cowdenbeath South,95
S02001833 : Crail and Boarhills,130
S02001743 : Crossford Charlestown and Limekilns,140
S02001768 : Crossgates and Halbeath,160
S02001827 : Cupar Central,200
S02001828 : Cupar East,160
S02001826 : Cupar West and Springfield,125
S02001829 : Dairsie Ceres and Dunino,165
S02001766 : Dalgety Bay Central,115
S02001767 : Dalgety Bay East,365
S02001765 : Dalgety Bay West and Hillend,75
S02001753 : Dunfermline Abbeyview North,65
S02001754 : Dunfermline Abbeyview South,30
S02001745 : Dunfermline Baldridgeburn,105
S02001750 : Dunfermline Bellyeoman and Townhill,110
S02001748 : Dunfermline Brucefield,55
S02001747 : Dunfermline Central,540
S02001751 : Dunfermline Duloch North and Lynebank,95
S02001755 : Dunfermline Duloch South,105
S02001749 : Dunfermline Garvock Hill,60
S02001746 : Dunfermline Headwell,95
S02001756 : Dunfermline Masterton,65
S02001744 : Dunfermline Milesmark and Wellwood,75
S02001757 : Dunfermline Pitcorthie East,225
S02001758 : Dunfermline Pitcorthie West,115
S02001752 : Dunfermline Touch and Woodmill,40
S02001796 : Dysart,80
S02001830 : Elie Colinsburgh and Largoward,120
S02001823 : Falkland and Freuchie,100
S02001803 : Glenrothes Auchmuty,215
S02001810 : Glenrothes Balfarg Pitcairn and Coul,35
S02001807 : Glenrothes Balgeddie and Town Park,80
S02001809 : Glenrothes Cadham and Pitcoudie,35
S02001802 : Glenrothes Caskieberran and Rimbleton,105
S02001808 : Glenrothes Collydean,20
S02001800 : Glenrothes Macedonia and Tanshall,40
S02001805 : Glenrothes Pitteuchar,205
S02001801 : Glenrothes South Parks,40
S02001804 : Glenrothes Stenton and Finglassie,280
S02001806 : Glenrothes Woodside,40
S02001769 : Hill of Beath and Kingseat,60
S02001764 : Inverkeithing East,70
S02001773 : Kelty East,75
S02001772 : Kelty West,35
S02001821 : Kennoway and Bonnybank,110
S02001822 : Kettle and Ladybank,170
S02001738 : Kincardine,95
S02001782 : Kinghorn,60
S02001785 : Kirkcaldy Bennochy East,80
S02001786 : Kirkcaldy Bennochy West,30
S02001784 : Kirkcaldy Central,420
S02001792 : Kirkcaldy Chapel,180
S02001791 : Kirkcaldy Dunnikier,40
S02001795 : Kirkcaldy Gallatown and Sinclairtown,420
S02001793 : Kirkcaldy Hayfield and Smeaton,110
S02001783 : Kirkcaldy Linktown & Seafield,110
S02001788 : Kirkcaldy Newliston and Redcraigs,30
S02001794 : Kirkcaldy Pathhead,110
S02001787 : Kirkcaldy Raith,60
S02001790 : Kirkcaldy Templehall East,55
S02001789 : Kirkcaldy Templehall West,50
S02001820 : Largo,120
S02001799 : Leslie and Newcastle,105
S02001838 : Leuchars and Guardbridge,70
S02001817 : Leven East,220
S02001819 : Leven North,40
S02001818 : Leven West,70
S02001777 : Lochgelly East,120
S02001778 : Lochgelly West and Lumphinnans,50
S02001774 : Lochore and Crosshill,50
S02001811 : Markinch and Star,100
S02001816 : Methil East,90
S02001814 : Methil Methilhill,45
S02001815 : Methil West,45
S02001825 : Newburgh,115
S02001841 : Newport and Wormit,105
S02001763 : North Queensferry and Inverkeithing West,135
S02001739 : Oakley Comrie and Blairhall,80
S02001761 : Rosyth Central,55
S02001760 : Rosyth East,55
S02001759 : Rosyth North,60
S02001762 : Rosyth South,155
S02001740 : Saline and Gowkhall,165
S02001835 : St Andrews Central,275
S02001837 : St Andrews North and Strathkinness,180
S02001834 : St Andrews South East,65
S02001836 : St Andrews South West,80
S02001831 : St Monans and Pittenweem,135
S02001840 : Tayport,80
S02001798 : Thornton and Kinglassie,145
S02001741 : Valleyfield Culross and Torryburn,100
S02001797 : Wemyss,55
S02001812 : Windygates and Coaltown,95
