name,postcode
35th Fife Scout Hall,KY1 3AT
Aberdour Community Leisure Centre,KY3 0TR
Aberdour Library,KY3 0TR
Anstruther Easter Town Hall,KY10 3DF
Anstruther Wester Town Hall,KY10 3DJ
Argos Centre,KY2 6EJ
Association of Polish Veterans Club,KY2 5TA
Auchmuchty Learning Centre,KY7 4EF
Auchterderran Church Hall,KY5 0NE
Auchtermuchty Library,KY14 7AP
Auchtermuchty Town Hall,KY14 7AP
Auchtertool Village Hall,KY2 5XW
Baldridgeburn Community Centre,KY12 9EH
Ballast Bank Community Leisure Centre,KY11 1DS
Balmaise Community Centre,KY8 5AE
Benarty Library,KY5 8JH
Blairhall Community Centre,KY12 9PS
Blyth Hall Community Centre,DD6 8DB
Bowhill Centre,KY5 0BW
Broomhead Residents and Community Centre,KY12 9AA
Buckhaven Community Education Centre,KY8 1BH
Buckhaven Library,KY8 1LD
"Burgh Council Chambers, Burntisland",KY3 9AS
Burntisland Library,KY3 9AS
Cadham Library,KY7 6RU
Cadham Neighbourhood Centre,KY7 6RU
Cairneyhill Scout Hall,KY12 8RN
Camdean Community Centre,KY11 2UW
Cardenden Library,KY5 0EL
Carnock and Gowkhall Community Centre,KY12 9JP
Carstairs Hall,KY8 5HX
Cellardyke Town Hall,KY10 3BQ
Ceres Memorial Hall,KY15 5NN
Chapel Neighbourhood Centre,KY2 6TT
Co-operative Hall Cowdenbeath,KY4 9NT
Coaltown of Wemyss Village Hall,KY1 4NP
Colinsburgh Town Hall,KY9 1LN
Collessie Victory Hall,KY15 7RQ
Collydean Community Centre,KY7 6UL
Comrie Community Centre,KY12 9XS
Corrie Centre,KY5 0EL
Cosmos Community Centre,KY16 9LB
Cowdenbeath Citizens Advice,KY4 9NT
Cowdenbeath Co-op Hall,KY4 9QY
Cowdenbeath Library,KY4 9QA
Craigrothie Village Hall,KY15 5QD
Crail Community Hall,KY10 3UH
Crail Town Hall,KY10 3TL
Crombie Community Leisure Centre,KY12 8LD
Crossford Village Hall,KY12 8NJ
Crossgates Community Leisure Centre,KY4 8AL
Cupar Burgh Chambers,KY15 4LS
Cupar Citizens Advice,KY15 4TA
Cupar Corn Exchange,KY15 4BT
Cupar Library,KY15 5AS
Cupar YMCA-YWCA,KY15 4LG
Cupar Youth Cafe,KY15 4HA
Dairsie War Memorial Hall,KY15 4SR
Dalgety Bay Community Leisure Centre,KY11 9UZ
Dalgety Bay Library,KY11 9UY
Dalgety Bay Parish Church,KY11 9UY
Dalgety Bay Sports and Leisure Centre,KY11 9NA
Dell Farquharson Community Leisure Centre,KY12 7DS
Dolphin Community Centre,DD6 9EW
Duloch Leisure Centre,KY11 8LW
Duloch Library,KY11 8LW
Dunfermline Carnegie Library & Galleries,KY12 7NL
Dunfermline Citizens Advice,KY12 7AW
Dunnikier Community Hall,KY2 6JD
Dunshalt Village Hall,KY14 7HL
Dysart Community Hall,KY1 2TD
Earlsferry Town Hall,KY9 1AF
East Neuk Centre,KY10 3EX
East Wemyss Senior Citizens Club,KY1 4RQ
Elie Library,KY9 1AZ
Elie and Earlsferry Town Hall,KY9 1AF
Erskine Hall,KY10 3EX
Exit Community Centre,KY7 4RH
Falkland Community Hall,KY15 7BX
Free Gardiners Hall,KY8 1JX
Gallatown Community Hub,KY1 3EZ
Gateside Memorial Hall,KY14 7SY
Glebe Park Centre,KY1 1BL
Glenrothes Citizens Advice,KY6 2DA
Gregory Hall,DD6 9NR
Greig Institute,KY8 5DG
Guardbridge Bowling Club,KY16 0XB
Hayfield Community Centre,KY2 5DG
Hill of Beath Community Hub,KY4 8DP
Hive LGBT Centre,KY1 1XF
Inchkeith Court,KY7 6RX
Inverkeithing Library and Heritage Centre,KY11 1PA
James Allan Community Leisure Centre,KY12 0BU
Jennie Lee Library (Lochgelly Library),KY5 9RD
John Marshall Community Centre,KY11 8AB
Johnston Hall,KY11 1LG
Jubilee Centre,KY7 4SH
Kelty Community Centre,KY4 0AQ
Kelty Library,KY4 0AQ
Kennoway Community Centre,KY8 5HX
Kennoway Library,KY8 5LA
Kettle Memorial Hall,KY15 7PN
Kincardine Community Centre,FK10 4SF
Kincardine Library,FK10 4ND
Kinghorn Community Centre,KY3 9SS
Kinglassie Community Halls,KY5 0XA
Kingseat Community Leisure Centre,KY12 0TH
Kingskettle Memorial Hall,KY15 7PN
Kirkcaldy Citizens Advice,KY1 1XT
Kirkcaldy Town House,KY1 1XW
Ladybank Library,KY15 7JS
Largoward Village Hall,KY9 1HZ
Leslie Library,KY6 3AX
Letham Village Hall,KY15 7RS
Leven Citizens Advice,KY8 4PF
Leven Library,KY8 4HE
Linton Lane Centre,KY2 6LF
Lochgelly Town Hall,KY5 9RE
Lumphinnans Sports Hub,KY4 9HW
Lumsden Memorial Hall,KY15 7EX
Luthrie Village Hall,KY15 4NY
Markinch Town Hall,KY7 6AA
Maxwell Centre,KY4 9DD
Memorial Park Neighbourhood Centre,KY8 3PD
"Merry Poppins Centre, Kirkcaldy",KY2 6AG
Methil Community Education Centre,KY8 3DH
Methil Library,KY8 3PA
Methilhill Senior Citizens Centre,KY8 2DP
Michael Woods Sports & Leisure Centre,KY6 2RD
Milton of Balgonie Village Hall,KY7 6QG
Newburgh Library and Heritage Centre,KY14 6DA
Newport Library and Heritage Centre,DD6 8DD
North Queensferry Community Centre,KY11 1JD
Oakley Community Centre,KY12 9QF
Oakley Library,KY12 9RJ
Old Parish Centre,KY15 5EQ
Old Townhouse,KY11 1LX
Overton Community Centre,KY1 3JP
Park Road Centre,KY1 3EL
Parkgate Community Centre,KY11 2JW
Pathhead Hall,KY1 2NX
Paxton Centre,KY8 6AT
Philp Hall,KY1 1QX
Pitreavie Athletics Centre,KY11 8PP
Pittenweem New Town Hall,KY10 2QL
Pitteuchar Tenants Meeting Room,KY7 4PY
Queens Hall,KY11 3EG
Raeburn Hall,KY2 5QQ
Rainbow Roomz,KY6 3DA
Rio Community Centre,DD6 8AH
Rosie McDuff Hall,KY1 4QH
Rosyth Community Hub,KY11 2RD
Rosyth Library,KY11 2JW
Rothes Halls Library,KY7 5NX
Sailors Rest Centre,KY8 3EF
Saline Community Leisure Centre,KY12 9TL
Sandy Brae Community Centre,KY8 5JN
Savoy Sports Pavilion,KY8 3JQ
Scout Hut,DD6 8HX
Senior Citizens Club,KY1 4RQ
Simpson Institute,KY8 6EU
Smeaton Community Centre,KY12 9NB
Springfield Church Hall,KY15 5RY
St Andrews Citizens Advice,KY16 9UY
St Andrews Library,KY16 9NN
St Andrews Town Hall,KY16 9TA
St Andrews Victory Memorial Hall,KY16 9UY
St Clair Centre,KY1 3DT
"St Columbas Church Hall, Rosyth",KY11 2QL
St Monans Library,KY10 2DH
St Monans Town Hall,KY10 2DH
Star Of Markinch Village Hall,KY7 6LB
Stenton Jubilee Community Centre,KY7 4SH
Stephen Memorial Hall,KY12 8HP
Stephen Memorial Hall,KY12 8HP
Strathmiglo Public Hall,KY14 7QL
Tayport Burgh Chambers,DD6 9JY
Tayport Library,DD6 9JY
Tayside Institute Community Centre,KY14 6DA
Templehall Community Centre,KY2 6EX
Templehall Library,KY2 6EX
The Centre,KY8 4QP
The Cottage Family Centre,KY2 6LH
The International Centre,KY1 1NJ
The Larick Centre,DD6 9EA
The Lomond Centre,KY7 5RA
The Veronica Hall,KY1 2LJ
Thornton O.A.P Club,KY1 4AN
Thornton Public Hall,KY1 4AG
Toll Community Centre,KY3 9HA
Toll Community Hub,KY3 9AE
Torryburn Community Centre,KY12 8SR
Touch Community Centre,KY11 4UG
Tower House Centre,KY12 7JT
Townhill Community Centre,KY12 0EN
Townhill Sports Complex,KY12 0HT
Upper Library Hall,KY3 9AS
Valleyfield Community Centre,KY12 8SJ
Valleyfield Library,KY12 8UA
Victoria Hall,KY14 7AJ
Victory Memorial Hall,KY16 9XE
Waid Community Campus,KY10 3GY
Waid Library,KY10 3GY
Waterstone Crook Sports Centre,DD6 8HY
Wilkie Memorial Hall,KY15 7SP
Windmill Community Campus,KY1 3AL
Windmill Library,KY1 3AL
Woodside Community Centre,KY7 5DF
Young Community Hall,KY3 0EQ
