Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
"St Ayle Parish Church of Scotland, Anstruther and Cellardyke",SC000181,Fife,KY10 2LR,56.21560816,-2.72423051,S02001831,S01009703
Anstruther Harbour Festival Trust,SC046562,Fife,KY10 2NG,56.21271278,-2.72615898,S02001831,S01009703
Pittenweem Community Library and Information Centre,SC047013,Fife,KY10 2LE,56.21334143,-2.72773479,S02001831,S01009703
Kirkcaldy and District Men's Shed,SC048357,Fife,KY10 2LT,56.21501418,-2.72286493,S02001831,S01009703
Victoria Radio Network.,SC000302,Fife,KY2 5QL,56.11166592,-3.18155679,S02001787,S01009493
"Abbotshall Parish Church of Scotland, Kirkcaldy",SC002586,Fife,KY2 5NW,56.10940834,-3.17237014,S02001787,S01009493
Kirkcaldy Music Society,SC002806,Fife,KY2 5NB,56.10658654,-3.18090268,S02001787,S01009493
Friends Of Kirkcaldy Galleries,SC017811,Fife,KY2 5LT,56.10228906,-3.17268425,S02001787,S01009493
Kirkcaldy Choral Union,SC020568,Fife,KY2 5NB,56.10658654,-3.18090268,S02001787,S01009493
Capshard Rainbow Guides Kirkcaldy - District 3,SC035285,Fife,KY2 5NN,56.11136848,-3.17411826,S02001787,S01009493
5th Fife (Khs) Scout Group,SC035501,Fife,KY2 5LX,56.10251519,-3.16968467,S02001787,S01009493
Decimal Club,SC000303,Fife,KY7 6HG,56.18468389,-3.1242516,S02001812,S01009612
East Neuk Baptist Fellowship,SC000433,Fife,KY10 2QL,56.21486311,-2.73174613,S02001831,S01009704
East Neuk Fife Round Table No 1120 - Charitable Fund,SC001047,Fife,KY10 2PZ,56.21443036,-2.73502704,S02001831,S01009704
Anstruther & District Amateur Operatic Society,SC037015,Fife,KY10 2QJ,56.21598024,-2.73426664,S02001831,S01009704
St. Monans Community Trust,SC039444,Fife,KY10 2NL,56.21209917,-2.72966205,S02001831,S01009704
The West Braes Project,SC047249,Fife,KY10 2PH,56.2129511,-2.7299362,S02001831,S01009704
Pittenweem New Town Hall ,SC047861,Fife,KY10 2QS,56.21463087,-2.73151598,S02001831,S01009704
Pittenweem Tennis Club Ltd,SC049465,Fife,KY10 2PZ,56.21443036,-2.73502704,S02001831,S01009704
Dunfermline South Congregation Of Jehovahs Witnesses,SC000596,Fife,KY11 4JJ,56.07437626,-3.42186907,S02001752,S01009336
Touch Trust (Dunfermline),SC048217,Fife,KY11 4JJ,56.07437626,-3.42186907,S02001752,S01009336
