Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Burntisland Community Development Trust,56.06449018,-3.2170063,KY3 9JP,S02001781
CLEAR Buckhaven & Methil,56.17227614,-3.03253434,KY8 1JY,S02001813
Crail Community Partnership,56.25886918,-2.62713073,KY10 3SJ,S02001833
Cupar Development Trust,56.31950808,-3.01443618,KY15 4BY,S02001827
Falkland Community Development Trust,56.25264168,-3.2067988,KY15 7BX,S02001823
Falkland Gardening Group,56.25264168,-3.2067988,KY15 7BX,S02001823
Forgan Arts Centre,56.21600744,-3.11213983,KY7 6LA,S02001811
Greener Kirkcaldy,56.11005258,-3.16410832,KY1 1XT,S02001784
Kincardine Community Association Ltd ,56.06925248,-3.71602913,FK10 4SF,S02001738
Kinghorn Community Land Association,56.07513099,-3.19192542,KY3 9YG,S02001783
Ladybank Development Trust,56.27912953,-3.1336278,KY15 7NX,S02001822
Largo Communities Together,56.21287328,-2.95033377,KY8 6BH,S02001820
Newburgh Community Trust,56.3490311,-3.24689625,KY14 6DP,S02001825
Ore Valley Housing Association,56.14559972,-3.26185164,KY5 0BW,S02001776
St Andrews Environmental Network Limited,56.33705533,-2.83108579,KY16 9UA,S02001837
Tayport Community Trust,56.45024428,-2.88147943,DD6 9AJ,S02001840
