Name,Longitude,Latitude,postcode,Local authority
Let’s Support Leuchars through the Coronavirus Crisis,-2.8885486,56.3819004,KY16 0HT,Fife
"Covid-19 Mutual Aid. Dysart, Kirkcaldy.",-3.122933,56.127911,KY1 2XJ,Fife
Dysart Covid-19,-3.122933,56.127911,KY1 2XJ,Fife
Fife Covid-19 Mutual Aid Group (Coronavirus),-3.1495175,56.2082078,KY7 6NR,Fife
Corona community support - fife,-3.1495175,56.2082078,KY7 6NR,Fife
Abbeyview Community Solidarity,-3.4174629,56.06648569999999,KY11 4LS,Fife
North Queensferry Support,-3.3945958,56.0101001,KY11 1JJ,Fife
Fife Covid-19 Mutual Aid Group,-3.452151,56.071741,KY12 7ET,Fife
Kats Mission SOS (KM SOS),-3.240616,56.173911,KY5 0XS,Fife
Covid-19 Mutual Aid. Falkland and Newton.,-3.2134362,56.2537501,KY15 7BW,Fife
Benarty Emergency Response Group,-3.3642222,56.1660277,KY5 8PA,Fife
Levenmouth Covid-19 Mutual Aid,-2.996578,56.19632,KY8 4HE,Fife
Cupar COVID-19 Mutual Aid,-3.010137,56.320235,KY15 4HB,Fife
Tay Bridgehead Foodbank,-2.940732,56.440473,DD6 8AH,Fife
Newport Covid-19 Mutual Aid Group,-2.940732,56.440473,DD6 8AH,Fife
Covid-19 Mutual Aid. Falkland and Newton.,-3.206429,56.256285,KY15 7DB,Fife
Glenrothes Covid-19 Mutual Aid Group,-3.2037011,56.19057100000001,KY6 2LU,Fife
Saline & Steelend covid19 support,-3.569448,56.114761,KY12 9TL,Fife
buckhaven community covid aid response,-3.030789,56.17450100000001,KY8 1HX,Fife
