name,postcode
Acre Community Hall,G20 0TW
African Arts Centre,G51 2YU
African and Caribbean Centre,G1 5RB
Ahl Al Bait Society,G3 7QL
Al-Farooq Education and Community Centre,G42 8EJ
Alive and Kicking Project,G21 4PH
Anniesland Library,G13 1LE
Arden Community Hall,G46 8BW
Bahatt Jiayah Communuity Centre,G41 1DL
Baillieston Library,G69 6AH
Balgrayhill Community Centre,G21 3AE
Barlanark Community Centre,G33 4RZ
Barmulloch Community Centre,G21 3PX
Barmulloch Library,G21 3PX
Barmulloch Recreation Hall,G21 3BA
Barmulloch Residents Centre,G21 3ET
Barrowfield Community Centre,G31 4AQ
Battlefield Court,G42 9ER
Beatroute Arts,G21 3RP
Bellcraig Community Centre,G23 5QA
Bishoploch Residents Hall,G34 0LF
Bluevale Community Centre,G31 3SZ
Bridgeton Citizens Advice,G40 1HA
Bridgeton Community Learning Campus,G40 4TL
Bridgeton Library,G40 2QH
Bridging the Gap,G5 0YT
Broomfield Road Centre,G21 3HW
Broomhouse Community Hall,G71 7SB
Brunswick Centre,G21 3NN
Cadder Community Centre,G23 5AE
Capoeira Senzala Glasgow,G20 7QE
Cardonald Library,G52 3BU
Carmyle Community Centre,G32 8AG
Carnwadric Community Hall,G46 8PQ
Castlemilk Community Centre,G45 9UG
Castlemilk Library,G45 9TN
Castlemilk Youth Complex,G45 0EQ
City Halls,G1 1NQ
Clyde Community Hall,G51 2YB
Common Village,G4 0ET
Community Central Hall,G20 7YE
Connect Community Trust,G33 4HG
Couper Institute,G44 3DA
Cranhill Community Centre,G33 3HE
Cranhill Development Trust,G33 3HE
Crookston Community Group,G53 5TF
Dalmarnock Community Centre,G40 3HE
Darnley Community Centre,G53 7LA
Dennistoun Library,G31 2NA
Drumchapel Bowls and Tennis,G15 8LY
Drumchapel Community Centre,G15 7HA
Drumchapel Library,G15 8LX
Easterhouse Citizens Advice,G34 9DT
Eastwood House,G46 7JL
Elder Park Library,G51 3TZ
Elderpark Community Centre,G51 3ST
FARE,G34 0JF
Fearless Space,G31 1SG
Gallery of Modern Art,G1 3AH
Garnethill Multicultural Centre,G3 6RE
Garrowhill Community Centre,G69 6LU
Geoff Shaw Community Centre,G42 0DN
Geoff Shaw Community Centre,G42 0DN
Glasgow Central Citizens Advice,G3 7DN
Glasgow Citizens Advice,G15 8NS
Glasgow Club Bellahouston,G52 1HH
Glasgow Club Castlemilk,G45 9NH
Glasgow Club Castlemilk Pool,G45 9UG
Glasgow Club Crownpoint Sports Complex,G40 2AL
Glasgow Club Donald Dewar,G15 8SX
Glasgow Club Drumchapel Pool,G15 8NS
Glasgow Club Drumoyne,G51 4AW
Glasgow Club Easterhouse,G34 9HQ
Glasgow Club Gorbals,G5 0YP
Glasgow Club Haghill,G31 3LS
Glasgow Club Holyrood,G42 8BA
Glasgow Club John Paul,G23 5LY
Glasgow Club Kelvin Hall,G3 8AW
Glasgow Club Maryhill,G20 8YE
Glasgow Club Milton,G22 7QR
Glasgow Club Nethercraigs,G52 1RR
Glasgow Club North Woodside,G4 9YQ
Glasgow Club Palace of Art,G52 1EQ
