Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
"Newlands South Church of Scotland, Glasgow",SC000042,Glasgow City,G43 2EG,55.82252241,-4.28029764,S02001877,S01009957
Cathcart United Free Church,SC001573,Glasgow City,G43 2HW,55.82089528,-4.27498207,S02001877,S01009957
Queen's Park Arena,SC042014,Glasgow City,G43 2HW,55.82089528,-4.27498207,S02001877,S01009957
Sir John Maxwell School Trust  ,SC049283,Glasgow City,G43 2HW,55.82089528,-4.27498207,S02001877,S01009957
Kennyhill Bequest Fund,SC000122,Glasgow City,G2 6TS,55.86105111,-4.26086935,S02001934,S01010275
Duncan Campbell's Junior Trust,SC001326,Glasgow City,G2 5EZ,55.86085584,-4.2573103,S02001934,S01010275
Incorporation Of Maltmen In Glasgow,SC002427,Glasgow City,G1 3HL,55.85925504,-4.2549163,S02001934,S01010275
Grand Antiquity Society Of Glasgow,SC003224,Glasgow City,G1 3HL,55.85925504,-4.2549163,S02001934,S01010275
Clappers Trust,SC004471,Glasgow City,G2 4TB,55.86458528,-4.26075511,S02001934,S01010275
"St Georges Tron Church of Scotland, Glasgow",SC004931,Glasgow City,G1 2JX,55.86167868,-4.25409791,S02001934,S01010275
Baillie's Institution ,SC005097,Glasgow City,G2 6PH,55.86089271,-4.25823932,S02001934,S01010275
Martin Scott Prize Fund,SC006077,Glasgow City,G2 2SG,55.86344568,-4.26065692,S02001934,S01010275
North Parish Washing Green Society,SC006597,Glasgow City,G2 6PH,55.86089271,-4.25823932,S02001934,S01010275
Friends Of Glasgow Museums,SC008995,Glasgow City,G2 4HU,55.86442835,-4.26293554,S02001934,S01010275
James Alexander Paterson's Bursary Trust,SC009001,Glasgow City,G1 3PL,55.86024085,-4.25506932,S02001934,S01010275
Weavers Society Of Anderston,SC009763,Glasgow City,G2 6PH,55.86089271,-4.25823932,S02001934,S01010275
Association Of Deacons Of The Fourteen Incorporated Trades Of Glasgow,SC014595,Glasgow City,G2 6PH,55.86089271,-4.25823932,S02001934,S01010275
Christina Gould Trust,SC027122,Glasgow City,G2 5QY,55.86206617,-4.2633415,S02001934,S01010275
Scottish Detainee Visitors,SC033781,Glasgow City,G2 5AH,55.86113796,-4.25711892,S02001934,S01010275
Al-Meezan,SC034182,Glasgow City,G2 5SG,55.86226254,-4.26097172,S02001934,S01010275
293rd City of Glasgow Rainbow Unit,SC037199,Glasgow City,G2 1PB,55.86205371,-4.25570178,S02001934,S01010275
Church Street Practice Research Fund,SC043050,Glasgow City,G2 6HJ,55.85937254,-4.26075584,S02001934,S01010275
Scottish Muslim Heritage Trust,SC044443,Glasgow City,G1 2JA,55.86097255,-4.25437662,S02001934,S01010275
City of Glasgow College Foundation,SC044620,Glasgow City,G2 5SG,55.86226254,-4.26097172,S02001934,S01010275
The Wild Olive Tree,SC045792,Glasgow City,G1 2JX,55.86167868,-4.25409791,S02001934,S01010275
The Misses Nisbet Educational Trust,SC047190,Glasgow City,G2 5AP,55.86127449,-4.25653555,S02001934,S01010275
Glasgow Street Pastors (SCIO),SC050255,Glasgow City,G1 2JX,55.86167868,-4.25409791,S02001934,S01010275
"Eastwood Parish Church of Scotland, Glasgow",SC000277,Glasgow City,G43 1TW,55.81699075,-4.30126833,S02001876,S01009954
St Andrew and St Nicholas Church of Scotland Glasgow,SC011527,Glasgow City,G43 1DD,55.81609332,-4.30215713,S02001876,S01009954
"Wellington Church of Scotland, Glasgow",SC000289,Glasgow City,G12 8LE,55.87304601,-4.28682414,S02001952,S01010379
Queen Margaret Union,SC001239,Glasgow City,G12 8QN,55.87376005,-4.29143815,S02001952,S01010379
The Church in Glasgow,SC046490,Glasgow City,G12 8BT,55.87557336,-4.29010619,S02001952,S01010379
Drumchapel Community Business Ltd,SC000299,Glasgow City,G15 8TE,55.90617358,-4.36811634,S02001974,S01010489
Drumchapel St Andrews Parish Church of Scotland. Glasgow,SC022128,Glasgow City,G15 6QB,55.90504573,-4.36132787,S02001974,S01010489
Drumchapel Heritage Group,SC029181,Glasgow City,G15 6BT,55.90696325,-4.35741243,S02001974,S01010489
Men Matter Scotland,SC049483,Glasgow City,G15 6QE,55.90595176,-4.36282292,S02001974,S01010489
Orchard Community Trust [SCIO],SC051125,Glasgow City,G15 6PR,55.90683889,-4.36436489,S02001974,S01010489
Volunteer Tutors Organisation Ltd,SC000403,Glasgow City,G20 6BG,55.87962291,-4.27966441,S02001951,S01010369
"Carmyle Church of Scotland, Glasgow",SC000532,Glasgow City,G32 9NT,55.84262218,-4.14626322,S02001899,S01010080
Glasgow Shettleston New Church Of Scotland,SC004642,Glasgow City,G32 9NB,55.84647871,-4.14826496,S02001899,S01010080
The Glasgow Care Foundation ,SC000906,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
Glasgow Govan And Linthouse Parish Church Of Scotland,SC004153,Glasgow City,G51 2YL,55.86282845,-4.31080326,S02001859,S01009860
Money Matters Money Advice Centre,SC017868,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
Govan Youth Information Project,SC030358,Glasgow City,G51 3UW,55.86309744,-4.31179413,S02001859,S01009860
Govan Home and Education Link Project ,SC034834,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Glasgow Churches Social Action Alliance,SC034853,Glasgow City,G51 2YL,55.86282845,-4.31080326,S02001859,S01009860
The Pearce Institute,SC037617,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Tea In The Pot,SC038663,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Govan Community Project,SC042012,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Beachcombers,SC043333,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
Community Veterans Support,SC045047,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Govan Docks Regeneration Trust,SC046875,Glasgow City,G51 3UW,55.86309744,-4.31179413,S02001859,S01009860
The Glasgow Barons,SC047454,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
SWAYED SCIO,SC047652,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
Billboard Junction SCIO,SC048181,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
Ubuntu Women Shelter,SC048645,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Friends of Househill Park SCIO,SC049735,Glasgow City,G51 2BX,55.86127211,-4.30848946,S02001859,S01009860
Tea in the Pot SCIO,SC050210,Glasgow City,G51 3UU,55.86362946,-4.31265681,S02001859,S01009860
Inclusive Homework Club,SC050226,Glasgow City,G51 2LP,55.86240601,-4.30601568,S02001859,S01009860
Bridgeton Citizens Advice Bureau,SC000930,Glasgow City,G40 1HA,55.84812722,-4.22687387,S02001892,S01010043
Bridgeton Citizens Advice Bureau SCIO,SC049586,Glasgow City,G40 1QB,55.84729021,-4.22644258,S02001892,S01010043
Parkhead Congregational Church,SC001033,Glasgow City,G31 5EU,55.85174348,-4.19418467,S02001894,S01010052
Parkhead Citizens Advice Bureau,SC014413,Glasgow City,G31 4DN,55.85222059,-4.19967566,S02001894,S01010052
Connect 2 Out of School Care Services,SC028538,Glasgow City,G31 4DN,55.85222059,-4.19967566,S02001894,S01010052
NRPC - (New Revelation Pentecostal Church),SC046768,Glasgow City,G31 5BJ,55.85132152,-4.1951674,S02001894,S01010052
Langside & Shawlands United Free Church,SC001110,Glasgow City,G41 3SQ,55.83024011,-4.29203896,S02001869,S01009918
Castlemilk Citizens Advice Centre,SC001279,Glasgow City,G45 9AD,55.80724682,-4.23460804,S02001882,S01009980
Glasgow: Castlemilk Parish Church Of Scotland,SC015309,Glasgow City,G45 9NP,55.80514218,-4.23172673,S02001882,S01009980
The Senior Centre Castlemilk,SC027449,Glasgow City,G45 9AH,55.80610917,-4.23637802,S02001882,S01009980
Castlemilk Law & Money Advice Centre,SC027619,Glasgow City,G45 9UG,55.80547291,-4.23083606,S02001882,S01009980
Second Opportunities,SC028441,Glasgow City,G45 9AD,55.80724682,-4.23460804,S02001882,S01009980
Waves (Women Against Violent Environments),SC033076,Glasgow City,G45 9UG,55.80547291,-4.23083606,S02001882,S01009980
The Daisy Project ,SC034381,Glasgow City,G45 9UG,55.80547291,-4.23083606,S02001882,S01009980
Castlemilk Community Timebank SCIO,SC047406,Glasgow City,G45 9UG,55.80547291,-4.23083606,S02001882,S01009980
Auldhouse Community Church,SC001443,Glasgow City,G43 2NY,55.81924729,-4.28291559,S02001876,S01009951
Glasgow Dental Educational Trust,SC008984,Glasgow City,G43 2NY,55.81924729,-4.28291559,S02001876,S01009951
29th Glasgow (1st Newlands) Scout Group,SC022392,Glasgow City,G43 2RX,55.81533099,-4.28037167,S02001876,S01009951
Cameron Charitable Trust,SC049559,Glasgow City,G43 2RX,55.81533099,-4.28037167,S02001876,S01009951
East End Team Ministry,SC001473,Glasgow City,G32 9AL,55.85086853,-4.15830063,S02001910,S01010139
Glasgow East End Community Carers,SC022118,Glasgow City,G32 9AT,55.85127256,-4.15832303,S02001910,S01010139
Tictacs After School Services Limited,SC029501,Glasgow City,G32 9AL,55.85086853,-4.15830063,S02001910,S01010139
Fuse Youth Cafe Glasgow,SC037434,Glasgow City,G32 9AS,55.85110191,-4.15677985,S02001910,S01010139
Glasgow City Mission,SC001499,Glasgow City,G2 8PW,55.8579401,-4.26533862,S02001934,S01010273
Principal Maclean's Memorial Fund,SC011788,Glasgow City,G2 8JX,55.85830868,-4.26240385,S02001934,S01010273
Wayside Club Centre,SC021137,Glasgow City,G1 4PR,55.8577267,-4.2593499,S02001934,S01010273
Durisdeer Foundation,SC023584,Glasgow City,G2 8JX,55.85830868,-4.26240385,S02001934,S01010273
Chanan (Glasgow),SC040518,Glasgow City,G2 8LY,55.85895668,-4.26186625,S02001934,S01010273
Glasgow West Housing Association Limited,SC001667,Glasgow City,G3 7SL,55.86595473,-4.28247544,S02001936,S01010288
Incorporation Of Gardeners Of Glasgow,SC004606,Glasgow City,G3 7SL,55.86595473,-4.28247544,S02001936,S01010288
Broomhill Community Church Of The Nazarene,SC001701,Glasgow City,G11 7BL,55.87586096,-4.3250868,S02001959,S01010418
2nd Milngavie Rainbow Unit,SC046714,Glasgow City,G11 7LA,55.8761774,-4.31975,S02001959,S01010418
Look Who's Learning Ltd,SC001919,Glasgow City,G44 5UW,55.81834499,-4.25486315,S02001884,S01009998
Air Training Corps No 32F 1st Glasgow Squadron Non Public Sports & Welfare Funds,SC024720,Glasgow City,G44 5SS,55.81756411,-4.25186483,S02001884,S01009998
Spiritual Assembly Of The Baha'is Of Glasgow,SC001967,Glasgow City,G44 5DQ,55.81058331,-4.24681717,S02001879,S01009968
Friends of the King's Park Glasgow,SC039324,Glasgow City,G44 5BD,55.81462972,-4.2476889,S02001879,S01009968
G15 Youth Project,SC002034,Glasgow City,G15 7HA,55.91662228,-4.36832154,S02001976,S01010496
3DDrumchapel,SC025820,Glasgow City,G15 7HA,55.91662228,-4.36832154,S02001976,S01010496
Cernach Housing Association Limited,SC036607,Glasgow City,G15 7AJ,55.91539776,-4.37170362,S02001976,S01010496
Drumchapel Arts Workshop,SC041525,Glasgow City,G15 7EP,55.91081082,-4.36673495,S02001976,S01010496
Drumchapel High School Learning Community Charitable Association,SC044838,Glasgow City,G15 7SQ,55.91397729,-4.36705599,S02001976,S01010496
The Gaelic Society of Glasgow,SC002042,Glasgow City,G14 9HA,55.87870404,-4.34623351,S02001962,S01010429
Scotstoun Parish Church of Scotland,SC030418,Glasgow City,G14 9DR,55.87836605,-4.34840351,S02001962,S01010429
263rd Scotstoun Rainbow Unit,SC047076,Glasgow City,G14 9DU,55.87918301,-4.34750953,S02001962,S01010429
"Maryhill Parish Church of Scotland, Glasgow",SC002102,Glasgow City,G20 0EF,55.89742742,-4.29993598,S02001946,S01010346
"Gorbals Parish Church of Scotland, Glasgow",SC002214,Glasgow City,G5 0RA,55.84856335,-4.24982372,S02001889,S01010027
Givin' it Laldie,SC043406,Glasgow City,G5 0RA,55.84856335,-4.24982372,S02001889,S01010027
Glasgow: Mure Memorial Church of Scotland,SC002220,Glasgow City,G69 6HX,55.85120359,-4.12408211,S02001902,S01010099
Annexe Communities,SC002491,Glasgow City,G11 5PE,55.87120973,-4.30479529,S02001953,S01010386
"Partick South Church of Scotland, Glasgow",SC008315,Glasgow City,G11 6AB,55.87057919,-4.30391073,S02001953,S01010386
Baillieston Evangelical Church,SC002559,Glasgow City,G69 7EX,55.85012179,-4.10860653,S02001901,S01010090
144th Glasgow (1st Baillieston) Scout Troop,SC032585,Glasgow City,G69 7XY,55.84833742,-4.1057462,S02001901,S01010090
Celestial Church of Christ - House of Prayer Parish,SC050230,Glasgow City,G69 7XY,55.84833742,-4.1057462,S02001901,S01010090
"Hillington Park Church of Scotland, Glasgow",SC002614,Glasgow City,G52 2UD,55.84636078,-4.34322933,S02001851,S01009814
John Marnoch's Educational Trust,SC002693,Glasgow City,G1 3DN,55.859646,-4.25172695,S02001932,S01010265
Volunteer Centre -The Centre For Volunteering Community Action And Employment Initiatives Ltd,SC005462,Glasgow City,G1 1UZ,55.858728,-4.24934078,S02001932,S01010265
Incorporation Of Tailors In Glasgow,SC007955,Glasgow City,G1 1UH,55.85960791,-4.24889626,S02001932,S01010265
Incorporation Of Weavers Of Glasgow,SC008691,Glasgow City,G1 1UH,55.85960791,-4.24889626,S02001932,S01010265
Alexander Williams Davie Trust Fund,SC024169,Glasgow City,G1 3DN,55.859646,-4.25172695,S02001932,S01010265
Cockburn Trust For Future Education,SC028324,Glasgow City,G1 3DN,55.859646,-4.25172695,S02001932,S01010265
Coalition for Racial Equality and Rights,SC029007,Glasgow City,G1 1JQ,55.86003672,-4.24756272,S02001932,S01010265
The Chalmers Charitable Trust,SC047103,Glasgow City,G1 3BX,55.86038687,-4.25151414,S02001932,S01010265
Thriving Survivors Ltd,SC047181,Glasgow City,G1 1DT,55.85921755,-4.25058356,S02001932,S01010265
United Glasgow Football Club [SCIO],SC047338,Glasgow City,G1 1DT,55.85921755,-4.25058356,S02001932,S01010265
Weekday Wow Factor,SC050760,Glasgow City,G1 1DT,55.85921755,-4.25058356,S02001932,S01010265
Pollokshields Burgh Hall Trust Ltd,SC002793,Glasgow City,G41 4LL,55.8385912,-4.28615782,S02001869,S01009914
"Kinning Park Parish Church of Scotland, Glasgow",SC014895,Glasgow City,G41 4RR,55.83787005,-4.30072929,S02001869,S01009914
The Friends of Maxwell Park,SC038570,Glasgow City,G41 4DG,55.83685277,-4.29215666,S02001869,S01009914
"Easterhouse Parish Church of Scotland, Glasgow",SC003021,Glasgow City,G69 7AH,55.84634163,-4.1204303,S02001900,S01010084
Braehead United Free Church,SC039036,Glasgow City,G69 7BT,55.84763589,-4.12459033,S02001900,S01010084
Tollcross YMCA,SC003047,Glasgow City,G32 8HB,55.84320972,-4.16963221,S02001896,S01010061
"Ruchazie Parish Church of Scotland, Glasgow",SC003149,Glasgow City,G33 3QN,55.86930722,-4.17124757,S02001916,S01010178
Riddrie Congregation Of Jehovahs Witnesses,SC007923,Glasgow City,G33 2TA,55.8698558,-4.1737717,S02001916,S01010178
Hope Connections Ltd,SC028928,Glasgow City,G33 3QN,55.86930722,-4.17124757,S02001916,S01010178
