Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Annexe Communities,55.87120973,-4.30479529,G11 5PE,S02001953
Barmulloch Community Development Company Limited,55.88313962,-4.19801906,G21 3ET,S02001917
Broadford and Strath Community Company,55.86162319,-4.25172952,G2 1BA,S02001934
Brunswick Youth Centre,55.88926579,-4.21123919,G21 3NN,S02001919
Cassiltoun Housing Association,55.80792458,-4.22151277,G45 0AZ,S02001882
Connect Community Trust,55.86169156,-4.13550542,G33 4HG,S02001907
Cranhill Development Trust,55.86624045,-4.16779997,G33 3HE,S02001914
Fuse Youth Cafe,55.85110191,-4.15677985,G32 9AS,S02001910
Glasgow Eco Trust,55.87853986,-4.35341835,G14 0BL,S02001963
Govanhill Baths Community Trust,55.8373555,-4.26209669,G42 7QP,S02001865
Govanhill Community Development Trust,55.83983288,-4.26080313,G42 7JG,S02001865
Growing21,55.87302941,-4.16453373,G33 3TJ,S02001916
Lambhill Stables Ltd,55.89720128,-4.26561177,G22 6RD,S02001943
Maryhill Burgh Halls Trust,55.89078723,-4.29117858,G20 8YE,S02001949
Possilpark People's Trust,55.88456945,-4.25214709,G22 5LQ,S02001942
Rosemount Development Trust,55.87202799,-4.22669167,G21 2QA,S02001925
South Seeds,55.83417249,-4.26607991,G42 8BG,S02001868
The Pavillion (Greater Easterhouse),55.86668158,-4.11457052,G34 9HX,S02001905
Thenue Housing Association Ltd,55.85169798,-4.23316533,G40 1AG,S02001892
Woodlands Community Development Trust,55.87065222,-4.27244094,G3 6HW,S02001937
