Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Darnley East,4,79.0,75.0,26.0,0.96,0.19
Darnley North,4,77.0,72.0,29.0,1.09,0.27
Darnley West,6,77.0,76.0,18.0,0.92,0.0
Nitshill,1,77.0,70.0,35.0,0.46,0.46
Crookston South,1,73.0,71.0,12.0,0.28,0.28
Crookston North,2,78.0,75.0,10.0,0.65,0.0
Pollok South and West,8,87.0,82.0,17.0,0.47,0.0
Pollok North and East,2,79.0,73.0,13.0,1.18,0.67
Cardonald South and East,3,77.0,73.0,31.0,0.93,0.0
Cardonald North,2,80.0,72.0,9.0,0.7,0.0
Cardonald West and Central,5,84.0,78.0,26.0,1.19,0.2
Penilee,2,77.0,71.0,10.0,0.19,0.19
Hillington,4,81.0,76.0,13.0,0.0,0.0
Drumoyne and Shieldhall,2,71.0,63.0,50.0,1.3,0.16
Govan and Linthouse,1,75.0,68.0,52.0,2.28,0.81
Craigton,2,79.0,71.0,26.0,1.7,0.0
Mosspark,3,81.0,76.0,13.0,1.18,0.2
Ibrox,1,74.0,68.0,65.0,6.6,1.1
Ibrox East and Cessnock,3,74.0,69.0,80.0,1.19,1.49
Kinning Park and Festival Park,5,77.0,73.0,70.0,2.94,0.9
Kingston West and Dumbreck,3,78.0,77.0,68.0,1.07,0.0
Pollokshields West,5,85.0,83.0,41.0,2.37,0.43
Pollokshields East,4,78.0,75.0,46.0,1.73,0.58
Govanhill West,2,83.0,73.0,37.0,1.74,0.7
Govanhill East and Aikenhead,1,78.0,72.0,25.0,0.87,0.22
Battlefield,6,81.0,75.0,32.0,1.17,0.39
Strathbungo,5,80.0,76.0,101.0,1.55,0.17
Maxwell Park,8,82.0,80.0,34.0,2.07,0.0
Shawlands West,7,84.0,77.0,57.0,1.51,0.0
Shawlands East,7,84.0,78.0,42.0,0.0,0.0
Langside,8,85.0,80.0,21.0,1.31,0.22
Pollokshaws,3,80.0,72.0,33.0,2.45,1.12
Carnwadric West,2,76.0,69.0,13.0,1.43,0.48
Carnwadric East,3,80.0,73.0,11.0,0.0,0.32
Newlands,7,86.0,77.0,24.0,1.73,0.0
Merrylee and Millbrae,8,80.0,80.0,27.0,2.01,0.29
Muirend and Old Cathcart,8,84.0,79.0,34.0,1.31,0.0
Carmunnock North,8,83.0,80.0,19.0,1.05,0.0
Carmunnock South,4,82.0,79.0,31.0,2.14,0.0
Glenwood South,2,78.0,71.0,9.0,1.2,0.0
Glenwood North,1,74.0,64.0,31.0,3.72,1.16
Castlemilk,3,78.0,72.0,9.0,0.2,0.2
Kingspark South,6,86.0,78.0,20.0,1.51,0.0
Kingspark North,7,82.0,79.0,19.0,0.25,0.0
Cathcart,5,80.0,77.0,24.0,0.73,0.0
Mount Florida,5,81.0,75.0,32.0,0.9,0.23
Toryglen and Oatlands,2,77.0,72.0,24.0,0.88,0.88
Gorbals and Hutchesontown,2,75.0,70.0,30.0,1.45,0.48
Laurieston and Tradeston,4,83.0,76.0,95.0,2.23,0.48
Calton and Gallowgate,3,78.0,73.0,49.0,1.05,0.63
Bridgeton,2,78.0,71.0,25.0,1.18,0.71
Dalmarnock,1,75.0,69.0,31.0,1.03,0.77
Parkhead West and Barrowfield,1,74.0,64.0,80.0,2.14,0.8
Parkhead East and Braidfauld North,2,79.0,73.0,15.0,0.55,0.82
Braidfauld,2,74.0,69.0,28.0,1.35,0.45
Shettleston South,5,82.0,77.0,76.0,0.0,0.0
Carmyle and Mount Vernon South,4,76.0,74.0,29.0,0.77,0.38
Mount Vernon North and Sandyhills,8,86.0,79.0,30.0,2.56,0.28
Baillieston West,4,82.0,78.0,13.0,0.84,0.0
Baillieston East,4,78.0,77.0,31.0,0.68,0.27
Garrowhill West,7,87.0,80.0,32.0,0.49,0.25
Garrowhill East and Swinton,7,82.0,79.0,40.0,0.48,0.0
Easterhouse East,1,77.0,70.0,11.0,1.22,0.61
Central Easterhouse,1,74.0,68.0,15.0,2.13,0.43
"Garthamlock, Auchinlea and Gartloch",4,77.0,75.0,37.0,1.48,0.21
North Barlanark and Easterhouse South,1,77.0,70.0,19.0,3.03,1.38
Barlanark,2,76.0,71.0,52.0,1.41,0.2
Greenfield,3,79.0,72.0,17.0,0.39,0.0
Shettleston North,2,78.0,69.0,32.0,1.05,0.21
Tollcross,2,76.0,71.0,17.0,0.98,0.24
Old Shettleston and Parkhead North,1,75.0,69.0,26.0,0.6,0.0
Carntyne,2,78.0,71.0,16.0,0.29,0.29
"Cranhill, Lightburn and Queenslie South",2,77.0,70.0,11.0,0.91,0.61
Craigend and Ruchazie,1,75.0,71.0,19.0,1.23,0.0
Riddrie and Hogganfield,2,81.0,73.0,16.0,1.59,0.18
Blackhill and Barmulloch East,2,77.0,72.0,13.0,1.32,0.88
