2011 scottish intermediate zone,Total
S02002020 : Alness,215
S02001983 : Badenoch and Strathspey Central,340
S02001984 : Badenoch and Strathspey North,290
S02001982 : Badenoch and Strathspey South,240
S02002019 : Black Isle North,270
S02002018 : Black Isle South,345
S02002029 : Caithness North East,325
S02002030 : Caithness North West,370
S02002026 : Caithness South,245
S02002016 : Conon,130
S02002017 : Dingwall,355
S02001979 : Fort William North,150
S02001980 : Fort William South,280
S02002021 : Invergordon,210
S02002000 : Inverness Ballifeary and Dalneigh,100
"S02001998 : Inverness Central, Raigmore and Longman",1170
S02001999 : Inverness Crown and Haugh,230
S02001989 : Inverness Culloden and Balloch,80
S02001997 : Inverness Drakies,40
S02001995 : Inverness Drummond,95
S02001988 : Inverness East Rural,325
S02001996 : Inverness Hilton,55
S02001992 : Inverness Inshes,165
S02002004 : Inverness Kinmylies and South West,80
S02001994 : Inverness Lochardil and Holm Mains,160
S02002002 : Inverness Merkinch,100
S02002001 : Inverness Muirtown,280
S02002003 : Inverness Scorguie,65
S02001993 : Inverness Slackbuie,110
S02001990 : Inverness Smithton,55
S02002005 : Inverness West Rural,360
S02001991 : Inverness Westhill,190
S02002006 : Loch Ness,315
S02001981 : Lochaber East and North,305
S02001978 : Lochaber West,520
S02002007 : Lochlash,225
S02002015 : Muir of Ord,160
S02001986 : Nairn East,215
S02001985 : Nairn Rural,265
S02001987 : Nairn West,120
S02002013 : Ross and Cromarty Central,230
S02002014 : Ross and Cromarty East,200
S02002012 : Ross and Cromarty North West,305
S02002011 : Ross and Cromarty South West,275
S02002022 : Seaboard,230
S02002009 : Skye North East,350
S02002010 : Skye North West,280
S02002008 : Skye South,290
S02002025 : Sutherland East,295
S02002033 : Sutherland North and West,330
S02002024 : Sutherland South,545
S02002023 : Tain,220
S02002031 : Thurso East,200
S02002032 : Thurso West,165
S02002028 : Wick North,145
S02002027 : Wick South,165
