Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Melness Community Centre,SC000035,Highland,IV27 4YP,58.5219561,-4.42566575,S02002033,S01010812
Durness Parish Hall Trustees,SC021539,Highland,IV27 4PN,58.56822393,-4.75042727,S02002033,S01010812
Durness Community Group,SC032179,Highland,IV27 4QA,58.5635271,-4.72458978,S02002033,S01010812
Marty Mackay Memorial Fund,SC044264,Highland,IV27 4PN,58.56822393,-4.75042727,S02002033,S01010812
Durness Active Health,SC044267,Highland,IV27 4QA,58.5635271,-4.72458978,S02002033,S01010812
Alvie and Insh Church of Scotland,SC000043,Highland,PH22 1QJ,57.20210722,-3.82921245,S02001983,S01010538
Rothiemurchus & Aviemore Church Of Scotland,SC003282,Highland,PH22 1SH,57.20515208,-3.82495929,S02001983,S01010538
Aviemore Tiny Tots,SC034881,Highland,PH22 1TS,57.20450731,-3.82295737,S02001983,S01010538
1st Aviemore and  Rothiemurchus Rainbow Unit,SC044800,Highland,PH22 1QQ,57.20303145,-3.82867876,S02001983,S01010538
1st Aviemore and Rothiemurchus Guide Unit,SC045805,Highland,PH22 1US,57.19353224,-3.83252877,S02001983,S01010538
Bonar Bridge Community Hall,SC000057,Highland,IV24 3EN,57.89379102,-4.34488238,S02002024,S01010763
Culrain & District Hall Committee,SC000517,Highland,IV24 3EL,57.89397663,-4.34553567,S02002024,S01010763
"Kinlochbervie,Lairg,Rogart Congregation of the Associated Presbyterian Churches of Scotland",SC022824,Highland,IV24 3AR,57.8984332,-4.30927346,S02002024,S01010763
River Naver Foundation,SC030277,Highland,IV24 3EA,57.89397177,-4.34725647,S02002024,S01010763
Bonar Bridge O.A.P Fund,SC033569,Highland,IV24 3AP,57.89254121,-4.33371544,S02002024,S01010763
North Highlands Refuge,SC048791,Highland,IV24 3AR,57.8984332,-4.30927346,S02002024,S01010763
Bonar Bridge Football Club,SC050022,Highland,IV24 3AW,57.91063628,-4.37111702,S02002024,S01010763
Rosemarkie Parent & Toddler Group,SC000093,Highland,IV10 8XB,57.58711093,-4.11430011,S02002018,S01010719
Knockbain Parish Church Of Scotland,SC014467,Highland,IV10 8UP,57.59229253,-4.1166088,S02002018,S01010719
Gordon Memorial Hall,SC021298,Highland,IV10 8UL,57.58930752,-4.112972,S02002018,S01010719
Black Isle Swimming Pool Foundation,SC024448,Highland,IV10 8UL,57.58930752,-4.112972,S02002018,S01010719
Royal British Legion Scotland Black Isle Branch,SC029753,Highland,IV10 8UF,57.59060553,-4.11540647,S02002018,S01010719
Rosemarkie and Fortrose Trust ,SC049686,Highland,IV10 8UF,57.59060553,-4.11540647,S02002018,S01010719
The Laurandy Centre,SC000156,Highland,KW1 4QS,58.45033785,-3.08988893,S02002029,S01010788
Ackergill Village Hall,SC009973,Highland,KW1 4RL,58.47401858,-3.09988089,S02002029,S01010788
Reiss and Killimster Village Hall SCIO,SC043939,Highland,KW1 4RT,58.47480148,-3.14688639,S02002029,S01010788
Dornoch Cathedral (Church of Scotland),SC000315,Highland,IV25 3NH,57.89833275,-4.10848817,S02002024,S01010761
Carnegie Hall Trust,SC016552,Highland,IV24 3AB,57.87187075,-4.2970311,S02002024,S01010761
Spinningdale Ladies Committee,SC042027,Highland,IV24 3AD,57.87802134,-4.2348682,S02002024,S01010761
The Dornoch Trust,SC051210,Highland,IV25 3RW,57.87093561,-4.0748813,S02002024,S01010761
Dingwall Primary School Parents Association,SC000356,Highland,IV15 9UT,57.6089293,-4.42287966,S02002017,S01010718
Friends Of Urray House,SC012527,Highland,IV15 9UB,57.60701462,-4.42993399,S02002017,S01010718
Kingussie & Alvie Free Church,SC015150,Highland,IV15 9PB,57.60762851,-4.42791583,S02002017,S01010718
Dingwall & District Choral Society,SC022971,Highland,IV15 9UB,57.60701462,-4.42993399,S02002017,S01010718
 Ross Skye and Lochalsh District Scout Council,SC038366,Highland,IV15 9PE,57.60621809,-4.42040574,S02002017,S01010718
Rionnagan Rois,SC045872,Highland,IV15 9RB,57.60798155,-4.42216365,S02002017,S01010718
Dingwall Men's Shed,SC047255,Highland,IV15 9RB,57.60798155,-4.42216365,S02002017,S01010718
Tain & Easter Ross Civic Trust,SC000364,Highland,IV20 1UX,57.7500155,-3.920282,S02002022,S01010751
Seaboard Mother & Toddler Group,SC022905,Highland,IV20 1UP,57.75488971,-3.9158179,S02002022,S01010751
Balintore & District Residents Group,SC044952,Highland,IV20 1UU,57.75032447,-3.91945816,S02002022,S01010751
Portree Church of Scotland,SC000416,Highland,IV51 9NH,57.33251903,-6.1099803,S02002009,S01010677
Braes Village Hall,SC034804,Highland,IV51 9NJ,57.34039903,-6.1162171,S02002009,S01010677
Raasay Community Association (Comann Muinntir Ratharsair),SC036239,Highland,IV40 8PA,57.34816328,-6.06833245,S02002009,S01010677
Collie and Mackenzie Heritage Group,SC038527,Highland,IV48 8TD,57.31114979,-6.11282626,S02002009,S01010677
