Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Acharacle Community Company,56.74084886,-5.79332276,PH36 4JJ,S02001978
Aird Community Trust,57.47405899,-4.3709902,IV3 8RL,S02002005
Applecross Community Company,57.43225038,-5.81628582,IV54 8LR,S02002011
Arisaig Community Trust,56.90274473,-5.85271612,PH39 4NU,S02001978
Assynt Development Trust,58.14653807,-5.24284243,IV27 4LE,S02002033
Brora and District Action Group,58.01305653,-3.8472656,KW9 6QS,S02002025
Camuscross & Duisdale Initiative,57.1323086,-5.8064746,IV43 8QT,S02002008
Coigach Community Development Company,58.02143199,-5.34628536,IV26 2YG,S02002012
Cromarty Community Development Trust,57.68111387,-4.03525271,IV11 8UY,S02002019
Culbokie Community Trust,57.47814099,-4.22392737,IV1 1HT,S02001998
Dingwall Community Development Company,57.60381187,-4.42779516,IV15 9LL,S02002017
East Nairnshire Community Organisation (SCIO),57.47086552,-3.74487374,IV12 5UP,S02001985
Evanton Community Trust,57.62478355,-4.39346952,IV15 9TT,S02002013
Gairloch & Loch Ewe Action Forum,57.72417875,-5.68859968,IV21 2BH,S02002011
Garbh Allt Community Initiative,58.11694954,-3.66432256,KW8 6HH,S02002025
Glen Urquhart Rural Community Association,57.33274862,-4.4721859,IV63 6TP,S02002006
Glenelg & Arnisdale Development Trust,57.22047324,-5.56325053,IV40 8LA,S02002007
Go Golspie,57.97312792,-3.97659126,KW10 6TG,S02002025
Helmsdale & District Development Trust,58.12008882,-3.6564217,KW8 6JL,S02002025
Invergordon Development Trust,57.7009313,-4.2366157,IV17 0PQ,S02002020
Isle of Canna Community Development Trust,57.0568028,-6.50368059,PH44 4RS,S02001978
Isle of Eigg Heritage Trust,56.90188681,-6.1427697,PH42 4RL,S02001978
Isle of Rum Community Trust,57.01541289,-6.28150839,PH43 4RR,S02001978
John O'Groats Development Trust,58.63954416,-3.07319531,KW1 4YR,S02002029
Kinlochleven Community Trust,56.71403562,-4.96060476,PH50 4SH,S02001981
Kyle of Sutherland Development Trust,57.88143244,-4.36398163,IV24 3AL,S02002024
Lairg & District Community Initiatives,58.02355863,-4.39720036,IV27 4DD,S02002024
"Latheron, Lybster & Clyth Community Development Company",58.29953595,-3.28647278,KW3 6AH,S02002026
Lochcarron Community Development Company,57.41488052,-5.47327872,IV54 8YS,S02002011
Minginish Community Hall Association,57.31807517,-6.37594526,IV47 8SJ,S02002008
Morar Community Trust,56.9720403,-5.82322966,PH40 4PA,S02001978
Muir of Ord Development Trust,57.50472494,-4.49092218,IV6 7TN,S02002015
Nairn Improvement Community Enterprise,57.57683447,-3.91359001,IV12 5NT,S02001985
Portree & Braes Community Trust,57.41336293,-6.19705354,IV51 9ER,S02002009
Uig Community Trust,57.41336293,-6.19705354,IV51 9ER,S02002009
Raasay Development Trust,57.34816328,-6.06833245,IV40 8PA,S02002009
Rogart Development Trust,58.00097603,-4.22325302,IV28 3UD,S02002024
Scourie Community Development Company Limited,58.35076171,-5.14964558,IV27 4TE,S02002033
Shieldaig Community Association SCIO,57.52303364,-5.65049574,IV54 8XN,S02002011
Sleat Community Trust,57.06226132,-5.90324927,IV45 8RS,S02002008
Staffin Community Trust,57.6233679,-6.20088738,IV51 9JX,S02002009
Strathdearn Community Developments,57.3318394,-3.98951035,IV13 7YN,S02001988
Stratherrick and Foyers Community Trust,57.20836879,-4.50618763,IV2 6UN,S02002006
Strathglass and Affric Community Co Ltd,57.34435138,-4.75617146,IV4 7LJ,S02002005
Strathnairn Development Company,57.38790912,-4.18027006,IV2 6AX,S02001988
Sunart Community Company,56.6910964,-5.58885567,PH36 4HY,S02001978
Tain & District Development Ltd,57.8102981,-4.05340173,IV19 1AZ,S02002023
The Garve & District Development Company,57.89758022,-5.1636831,IV26 2XB,S02002012
The Glendale Trust,57.40284494,-6.54492598,IV55 8ZA,S02002010
The Knoydart Foundation,57.04052258,-5.69779614,PH41 4PL,S02001978
The Laggan Forest Trust,57.00133697,-4.31781942,PH20 1BU,S02001981
Thurso Community Development Trust,58.59514274,-3.51985488,KW14 8AA,S02002031
Ullapool Community Trust,57.89652339,-5.15812108,IV26 2UB,S02002012
West Ardnamurchan Community Development Company ,56.74375206,-6.17355239,PH36 4LW,S02001978
Wester Loch Ewe Trust,57.82038382,-5.6684263,IV22 2LR,S02002011
