Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Lochaber West,6,85.0,80.0,109.0,11.99,1.26
Fort William North,6,79.0,79.0,32.0,3.22,0.64
Fort William South,5,80.0,76.0,50.0,5.03,0.54
Lochaber East and North,6,84.0,77.0,65.0,10.62,0.85
Badenoch and Strathspey South,7,86.0,80.0,63.0,9.93,0.78
Badenoch and Strathspey Central,7,85.0,85.0,65.0,5.13,0.76
Badenoch and Strathspey North,7,84.0,80.0,60.0,6.58,0.21
Nairn Rural,7,86.0,83.0,52.0,3.96,0.0
Nairn East,5,79.0,74.0,54.0,4.28,0.5
Nairn West,7,81.0,79.0,27.0,5.87,0.45
Inverness East Rural,6,84.0,79.0,57.0,5.06,0.7
Inverness Culloden and Balloch,8,85.0,78.0,20.0,3.56,0.51
Inverness Smithton,5,85.0,80.0,18.0,2.0,0.33
Inverness Westhill,7,81.0,77.0,30.0,3.02,0.0
Inverness Inshes,8,89.0,87.0,28.0,2.07,0.17
Inverness Slackbuie,8,83.0,79.0,30.0,3.52,0.0
Inverness Lochardil and Holm Mains,8,84.0,80.0,29.0,3.03,0.36
Inverness Drummond,5,85.0,77.0,28.0,3.81,0.0
Inverness Hilton,4,81.0,77.0,15.0,1.6,0.27
Inverness Drakies,10,84.0,80.0,18.0,4.43,0.44
"Inverness Central, Raigmore and Longman",4,82.0,69.0,299.0,9.98,2.05
Inverness Crown and Haugh,7,80.0,80.0,52.0,5.23,0.0
Inverness Ballifeary and Dalneigh,3,81.0,71.0,23.0,2.07,0.46
Inverness Muirtown,3,78.0,74.0,76.0,4.87,0.0
Inverness Merkinch,1,79.0,71.0,30.0,3.28,0.3
Inverness Scorguie,7,79.0,74.0,22.0,2.06,0.0
Inverness Kinmylies and South West,5,84.0,78.0,19.0,0.97,0.49
Inverness West Rural,6,85.0,83.0,52.0,2.48,0.29
Loch Ness,6,84.0,81.0,68.0,7.13,1.08
Lochalsh,6,83.0,82.0,86.0,11.07,2.29
Skye South,6,83.0,81.0,81.0,7.5,0.83
Skye North East,5,82.0,78.0,100.0,11.99,2.0
Skye North West,5,85.0,81.0,82.0,8.53,0.0
Ross and Cromarty South West,6,83.0,81.0,91.0,14.56,1.98
Ross and Cromarty North West,6,84.0,81.0,94.0,11.05,1.84
Ross and Cromarty Central,6,84.0,78.0,61.0,5.86,0.27
Ross and Cromarty East,6,85.0,81.0,62.0,4.03,0.93
Muir of Ord,6,83.0,77.0,45.0,2.8,0.56
Conon,6,81.0,79.0,33.0,3.86,0.26
Dingwall,5,81.0,78.0,68.0,6.66,1.14
Black Isle South,7,86.0,81.0,50.0,5.46,0.86
Black Isle North,7,86.0,82.0,75.0,5.87,0.56
Alness,4,80.0,75.0,36.0,2.53,0.51
Invergordon,4,78.0,75.0,48.0,2.97,0.46
Seaboard,4,84.0,78.0,53.0,6.19,0.46
Tain,5,81.0,78.0,59.0,3.78,0.81
Sutherland South,6,83.0,78.0,88.0,8.41,0.97
Sutherland East,5,82.0,82.0,72.0,13.47,0.98
Caithness South,5,84.0,83.0,83.0,9.14,0.0
Wick South,4,81.0,72.0,48.0,6.73,0.58
Wick North,4,81.0,78.0,46.0,5.36,0.32
Caithness North East,5,84.0,81.0,93.0,10.26,0.0
Caithness North West,6,86.0,82.0,74.0,7.19,0.2
Thurso East,4,80.0,75.0,78.0,7.42,1.17
Thurso West,6,80.0,76.0,36.0,5.03,0.0
Sutherland North and West,5,82.0,78.0,103.0,20.31,0.94
