2011 scottish intermediate zone,Total
"S02002044 : Bow Farm, Barrs Cottage, Cowdenknowes and Overton",50
"S02002040 : Braeside, Branchton, Lower Larkfield and Ravenscraig",65
"S02002039 : Gourock Central, Upper East and IRH",110
"S02002042 : Gourock East, Greenock West and Lyle Road",120
S02002038 : Gourock Upper and West Central and Upper Larkfield,80
S02002047 : Greenock East,125
S02002046 : Greenock Town Centre and East Central,380
S02002045 : Greenock Upper Central,75
S02002043 : Greenock West and Central,210
S02002036 : Inverkip and Wemyss Bay,130
S02002034 : Kilmacolm Central,155
"S02002035 : Kilmacolm, Quarriers, Greenock Upper East/Central",150
"S02002041 : Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",40
"S02002049 : Port Glasgow Mid, East and Central",80
S02002050 : Port Glasgow Upper East,30
"S02002048 : Port Glasgow Upper, West and Central",180
"S02002037 : West Braeside, East Inverkip and West Gourock",85
