Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
42nd Renfrewshire Kilmacolm Scouts Group,SC000210,Inverclyde,PA13 4DH,55.89359636,-4.62184877,S02002034,S01010818
St Columbas School Society,SC016292,Inverclyde,PA13 4PW,55.8982471,-4.61913911,S02002034,S01010818
Kilmacolm Civic Trust,SC032744,Inverclyde,PA13 4DQ,55.8943719,-4.62257295,S02002034,S01010818
2nd Johnstone (Fordbank) Scout Group,SC048912,Inverclyde,PA13 4QG,55.89621638,-4.62922417,S02002034,S01010818
Port Glasgow United Reformed Church,SC000582,Inverclyde,PA14 5YH,55.92263429,-4.66594274,S02002050,S01010923
"Ambassador Church, Port Glasgow",SC000755,Inverclyde,PA13 4SF,55.90178345,-4.64208038,S02002035,S01010819
Port Glasgow: New Parish Church (Church of Scotland),SC009018,Inverclyde,PA13 4QU,55.90043036,-4.62971739,S02002035,S01010819
Local Association Of Guides - Kilmacolm Branch,SC030876,Inverclyde,PA13 4SF,55.90178345,-4.64208038,S02002035,S01010819
Inverkip Church of Scotland,SC001079,Inverclyde,PA16 0FR,55.90533785,-4.87102801,S02002036,S01010825
League of Hospital Friends - Inverclyde,SC001318,Inverclyde,PA13 4LR,55.88847124,-4.63119513,S02002035,S01010821
St Ninian's 5th Gourock Brownie Pack,SC031127,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
2nd Gourock Guide Unit,SC032285,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
4th Gourock Guide Company,SC032344,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
6th Greenock Brownie Pack,SC033972,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
6th Finnart Rainbows,SC033974,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
Greenock Ranger Guide Unit,SC034173,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
1st Inverkip Brownie Unit,SC035096,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
20th A Greenock Brownie Unit,SC037120,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
23rd Greenock Brownie Unit,SC038835,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
39th Greenock Brownie Unit,SC039017,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
4th Gourock Brownie Unit,SC039151,Inverclyde,PA13 4TD,55.86826439,-4.64632472,S02002035,S01010821
John Kerr Trust,SC001423,Inverclyde,PA16 8BG,55.95624535,-4.7752336,S02002042,S01010868
Inverclyde Youth Theatre,SC023142,Inverclyde,PA16 8PB,55.9545354,-4.77692162,S02002042,S01010868
Inverclyde District Talking Newspaper Association,SC002020,Inverclyde,PA14 5NA,55.93393426,-4.68530995,S02002048,S01010911
Church Of The Nazarene,SC002195,Inverclyde,PA15 4EW,55.94029716,-4.76454683,S02002035,S01010823
St Mary The Virgin Episcopal Church: Port Glasgow,SC002931,Inverclyde,PA13 4HQ,55.89380911,-4.63293227,S02002034,S01010817
St Columbas School Development Appeal,SC002963,Inverclyde,PA13 4EQ,55.89212526,-4.63475358,S02002034,S01010817
St Columbas School Educational Trust,SC006505,Inverclyde,PA13 4EQ,55.89212526,-4.63475358,S02002034,S01010817
Sir Gabriel Wood's Mariners' Home,SC003763,Inverclyde,PA16 7TQ,55.95924349,-4.78735386,S02002042,S01010866
Greenock West United Reform Church,SC012931,Inverclyde,PA16 8JA,55.95693214,-4.78303775,S02002042,S01010866
Greenock & District Scout Council,SC004127,Inverclyde,PA15 1BS,55.94755425,-4.75598168,S02002046,S01010891
Inverclyde Community Development Trust,SC007212,Inverclyde,PA15 1JZ,55.95049514,-4.76032389,S02002046,S01010891
Inverclyde Family Contact Centre,SC035041,Inverclyde,PA15 1XU,55.95169451,-4.76295654,S02002046,S01010891
