Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Kilmacolm Central,9,81,84,62.0,3.57,1.59
"Kilmacolm, Quarriers, Greenock Upper East/Central",7,82,78,47.0,6.64,0.0
Inverkip and Wemyss Bay,8,88,81,22.0,1.5,0.67
"West Braeside, East Inverkip and West Gourock",8,89,83,28.0,1.0,0.0
Gourock Upper and West Central and Upper Larkfield,7,83,81,19.0,1.44,0.48
"Gourock Central, Upper East and IRH",5,82,74,29.0,1.3,0.52
"Braeside, Branchton, Lower Larkfield and Ravenscraig",2,75,73,10.0,0.64,0.32
"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",2,76,71,9.0,0.44,0.66
"Gourock East, Greenock West and Lyle Road",8,81,77,25.0,3.89,0.0
Greenock West and Central,4,79,75,39.0,3.19,0.38
"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",5,79,75,13.0,1.01,0.5
Greenock Upper Central,1,78,70,20.0,1.08,1.08
Greenock Town Centre and East Central,1,76,67,79.0,3.95,2.91
Greenock East,2,78,71,19.0,1.07,0.61
"Port Glasgow Upper, West and Central",4,78,75,33.0,0.93,0.93
"Port Glasgow Mid, East and Central",2,78,71,18.0,0.68,0.68
Port Glasgow Upper East,2,80,76,6.0,0.86,0.43
