2011 scottish intermediate zone,Total
S02002061 : Bonnyrigg North,170
S02002060 : Bonnyrigg South,65
S02002066 : Dalkeith,175
S02002068 : Easthouses,35
S02002063 : Eskbank,300
S02002072 : Gorebridge and Middleton,75
S02002059 : Loanhead,140
S02002069 : Mayfield,50
S02002062 : Newbattle and Dalhousie,255
S02002070 : Newtongrange,115
S02002071 : North Gorebridge,50
S02002067 : Pathhead and Rural East Midlothian,230
S02002054 : Penicuik East,70
S02002055 : Penicuik North,45
S02002052 : Penicuik Southeast,130
S02002053 : Penicuik Southwest,70
S02002056 : Pentland,230
S02002057 : Roslin and Bilston,75
S02002051 : Rural South Midlothian,200
S02002064 : Shawfair,160
S02002058 : Straiton,285
S02002065 : Thornybank,70
