Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Bilston Miners Welfare Society & Social Club,SC000099,Midlothian,EH25 9SF,55.87003476,-3.18016835,S02002057,S01010961
Bilston Parish Church (Church of Scotland),SC032180,Midlothian,EH25 9RZ,55.87025704,-3.18041481,S02002057,S01010961
Dalkeith Congregation Of Jehovahs Witnesses,SC000901,Midlothian,EH23 4LS,55.83183287,-3.09209555,S02002051,S01010931
Temple Village Halls Association,SC004324,Midlothian,EH23 4SQ,55.81462638,-3.09099111,S02002051,S01010931
Temple & District Playgroup,SC020435,Midlothian,EH23 4SQ,55.81462638,-3.09099111,S02002051,S01010931
1st A Loanhead Brownie Pack,SC033694,Midlothian,EH23 4FT,55.85357485,-3.06163574,S02002051,S01010931
Temple Old Kirk Friends [SCIO],SC049931,Midlothian,EH23 4SH,55.81786998,-3.09505581,S02002051,S01010931
The Glencorse Association,SC001050,Midlothian,EH26 0QZ,55.84772614,-3.19108771,S02002056,S01010956
Penicuik House Preservation Trust,SC014118,Midlothian,EH25 9RD,55.86446877,-3.18618333,S02002056,S01010956
Rosslyn Chapel Trust,SC024324,Midlothian,EH25 9PU,55.85615458,-3.15910727,S02002056,S01010956
1st Rosslyn Rainbows,SC031122,Midlothian,EH25 9TG,55.87414661,-3.17866286,S02002056,S01010956
Free Baptist Church,SC046125,Midlothian,EH26 0QZ,55.84772614,-3.19108771,S02002056,S01010956
Dalkeith Miners' Charitable Society,SC001182,Midlothian,EH22 2AT,55.892265,-3.0575914,S02002066,S01011013
Midlothian Advice & Resource Centre,SC009769,Midlothian,EH22 2AT,55.892265,-3.0575914,S02002066,S01011013
11th Midlothian Penicuik Scout Group,SC001286,Midlothian,EH26 8DQ,55.83043587,-3.217891,S02002052,S01010937
Air Training Corps No 1739 2nd Midlothian Squadron Non-Public Sports & Welfare Funds,SC024679,Midlothian,EH26 8DD,55.83146416,-3.2184021,S02002052,S01010937
Peniciuk Youth Band,SC041549,Midlothian,EH26 8DQ,55.83043587,-3.217891,S02002052,S01010937
Penicuik Congregation Of Jehovahs Witnesses,SC001374,Midlothian,EH25 9LN,55.85908069,-3.16325246,S02002057,S01010959
Roslin Men's Shed,SC048103,Midlothian,EH25 9LW,55.85954876,-3.16601446,S02002057,S01010959
Miners Welfare Society Arniston,SC001535,Midlothian,EH23 4AQ,55.84828341,-3.05630057,S02002071,S01011039
Gorebridge And District Environmental Group,SC035327,Midlothian,EH23 4BG,55.85013597,-3.05716544,S02002071,S01011039
St Marys Episcopal Church: Dalkeith,SC001677,Midlothian,EH22 3BB,55.89184424,-3.07195481,S02002066,S01011010
Midlothian Voluntary Action,SC008286,Midlothian,EH22 1AE,55.89308182,-3.07016604,S02002066,S01011010
Volunteer Centre Midlothian,SC027578,Midlothian,EH22 1AE,55.89308182,-3.07016604,S02002066,S01011010
Kilbrandon Fund (Midlothian),SC028873,Midlothian,EH22 3BB,55.89184424,-3.07195481,S02002066,S01011010
Royal British Legion Scotland Dalkeith Branch,SC029871,Midlothian,EH22 1HA,55.89271137,-3.07143506,S02002066,S01011010
8th Penicuik Brownie Pack,SC032449,Midlothian,EH22 3BB,55.89184424,-3.07195481,S02002066,S01011010
Midlothian Financial Inclusion Network,SC035964,Midlothian,EH22 1AE,55.89308182,-3.07016604,S02002066,S01011010
Midsafe,SC047969,Midlothian,EH22 3AA,55.89186746,-3.06928514,S02002066,S01011010
One Dalkeith ,SC048018,Midlothian,EH22 1AG,55.89316503,-3.06989649,S02002066,S01011010
Easthouses Miners Charitable Society,SC002122,Midlothian,EH22 4ED,55.88002407,-3.04952176,S02002068,S01011021
Loanhead Miners Charitable Society,SC002860,Midlothian,EH20 9AQ,55.87686349,-3.15270745,S02002059,S01010967
Loanhead Parish Church (Church of Scotland),SC014420,Midlothian,EH20 9AJ,55.87639154,-3.156082,S02002059,S01010967
2nd Loanhead Guides,SC039577,Midlothian,EH20 9AJ,55.87639154,-3.156082,S02002059,S01010967
Bonnyrigg Parish Church (Church of Scotland),SC003482,Midlothian,EH19 2AZ,55.87582195,-3.1115993,S02002061,S01010981
Bright Sparks Playgroup,SC029148,Midlothian,EH19 2AD,55.87751536,-3.1101452,S02002061,S01010981
