Community,Mean SIMD Decile,Female life expectancy,Male life expectancy,Businesses per 1000 people,Local charities per 1000 people,Community spaces per 1000 people
Rural South Midlothian,7,87.0,79.0,53.0,3.48,1.6
Penicuik Southeast,6,85.0,77.0,35.0,3.5,1.89
Penicuik Southwest,7,87.0,83.0,19.0,2.45,0.27
Penicuik East,4,80.0,76.0,25.0,1.09,0.36
Penicuik North,6,82.0,77.0,13.0,3.24,0.88
Pentland,8,82.0,78.0,65.0,2.25,0.28
Roslin and Bilston,6,84.0,78.0,23.0,3.03,2.12
Straiton,5,78.0,78.0,116.0,1.22,0.41
Loanhead,5,81.0,78.0,36.0,3.12,0.78
Bonnyrigg South,5,80.0,76.0,14.0,0.63,0.84
Bonnyrigg North,5,78.0,74.0,30.0,3.03,1.96
Newbattle and Dalhousie,8,84.0,83.0,29.0,1.13,0.45
Eskbank,9,83.0,79.0,61.0,2.45,1.22
Shawfair,5,82.0,78.0,33.0,1.44,1.03
Thornybank,3,79.0,76.0,15.0,1.32,0.66
Dalkeith,2,80.0,74.0,60.0,4.78,3.75
Pathhead and Rural East Midlothian,6,84.0,81.0,29.0,1.54,0.9
Easthouses,3,82.0,77.0,11.0,0.66,0.66
Mayfield,3,81.0,79.0,11.0,3.1,0.44
Newtongrange,4,81.0,77.0,28.0,2.91,0.73
North Gorebridge,3,80.0,80.0,16.0,0.94,0.94
Gorebridge and Middleton,3,81.0,74.0,21.0,3.64,1.68
